X,Y
0,-86.91104
0.1,-86.91104
0.2,-86.91104
0.3,-86.91104
0.4,-86.91104
0.5,-86.91104
0.6,-77.46526
0.7,-77.46526
0.8,-77.46526
0.9,-77.46526
1,-77.46526
1.1,-77.46526
1.2,-77.46526
1.3,-77.46526
1.4,-77.46526
1.5,-77.46526
1.6,-67.3338
1.7,-67.3338
1.8,-67.3338
1.9,-67.3338
2,-67.3338
2.1,-67.3338
2.2,-67.3338
2.3,-67.3338
2.4,-67.3338
2.5,-67.3338
2.6,-21.37964
2.7,-21.37964
2.8,-21.37964
2.9,-21.37964
3,-21.37964
3.1,-21.37964
3.2,-21.37964
3.3,-21.37964
3.4,-21.37964
3.5,-21.37964
3.6,-11.39522
3.7,-11.39522
3.8,-11.39522
3.9,-11.39522
4,-11.39522
4.1,-11.39522
4.2,-11.39522
4.3,-11.39522
4.4,-11.39522
4.5,-11.39522
4.6,-14.348
4.7,-14.348
4.8,-14.348
4.9,-14.348
5,-14.348
5.1,-14.348
5.2,-14.348
5.3,-14.348
5.4,-14.348
5.5,-14.348
5.6,-17.28154
5.7,-17.28154
5.8,-17.28154
5.9,-17.28154
6,-17.28154
6.1,-17.28154
6.2,-17.28154
6.3,-17.28154
6.4,-17.28154
6.5,-17.28154
6.6,-19.74092
6.7,-19.74092
6.8,-19.74092
6.9,-19.74092
7,-19.74092
7.1,-19.74092
7.2,-19.74092
7.3,-19.74092
7.4,-19.74092
7.5,-19.74092
7.6,-21.62698
7.7,-21.62698
7.8,-21.62698
7.9,-21.62698
8,-21.62698
8.1,-21.62698
8.2,-21.62698
8.3,-21.62698
8.4,-21.62698
8.5,-21.62698
8.6,-22.964958
8.7,-22.964958
8.8,-22.964958
8.9,-22.964958
9,-22.964958
9.1,-22.964958
9.2,-22.964958
9.3,-22.964958
9.4,-22.964958
9.5,-22.964958
9.6,-23.822422
9.7,-23.822422
9.8,-23.822422
9.9,-23.822422
10,-23.822422
10.1,-23.822422
10.2,-23.822422
10.3,-23.822422
10.4,-23.822422
10.5,-23.822422
10.6,12.22762
10.7,12.22762
10.8,12.22762
10.9,12.22762
11,12.22762
11.1,12.22762
11.2,12.22762
11.3,12.22762
11.4,12.22762
11.5,12.22762
11.6,21.921468
11.7,21.921468
11.8,21.921468
11.9,21.921468
12,21.921468
12.1,21.921468
12.2,21.921468
12.3,21.921468
12.4,21.921468
12.5,21.921468
12.6,20.19895
12.7,20.19895
12.8,20.19895
12.9,20.19895
13,20.19895
13.1,20.19895
13.2,20.19895
13.3,20.19895
13.4,20.19895
13.5,20.19895
13.6,18.692606
13.7,18.692606
13.8,18.692606
13.9,18.692606
14,18.692606
14.1,18.692606
14.2,18.692606
14.3,18.692606
14.4,18.692606
14.5,18.692606
14.6,17.666572
14.7,17.666572
14.8,17.666572
14.9,17.666572
15,17.666572
15.1,17.666572
15.2,17.666572
15.3,17.666572
15.4,17.666572
15.5,17.666572
15.6,16.990054
15.7,16.990054
15.8,16.990054
15.9,16.990054
16,16.990054
16.1,16.990054
16.2,16.990054
16.3,16.990054
16.4,16.990054
16.5,16.990054
16.6,16.555592
16.7,16.555592
16.8,16.555592
16.9,16.555592
17,16.555592
17.1,16.555592
17.2,16.555592
17.3,16.555592
17.4,16.555592
17.5,16.555592
17.6,16.29341
17.7,16.29341
17.8,16.29341
17.9,16.29341
18,16.29341
18.1,16.29341
18.2,16.29341
18.3,16.29341
18.4,16.29341
18.5,16.29341
18.6,16.155812
18.7,16.155812
18.8,16.155812
18.9,16.155812
19,16.155812
19.1,16.155812
19.2,16.155812
19.3,16.155812
19.4,16.155812
19.5,16.155812
19.6,16.108374
