X,Y
0,14.07126427
0.1,14.07126425
0.2,14.07126416
0.3,14.0712639
0.4,14.07126341
0.5,14.07126259
0.6,14.07126137
0.7,14.07125968
0.8,14.07125743
0.9,14.07125455
1,14.07125095
1.1,14.07124656
1.2,14.0712413
1.3,14.07123509
1.4,14.07122785
1.5,14.07121951
1.6,14.07120999
1.7,14.0711992
1.8,14.07118709
1.9,14.07117355
2,14.07115853
2.1,14.07114194
2.2,14.0711237
2.3,14.07110374
2.4,14.07108198
2.5,14.07105835
2.6,14.07103276
2.7,14.07100515
2.8,14.07097544
2.9,14.07094354
3,14.07090939
3.1,14.07087291
3.2,14.07083403
3.3,14.07079266
3.4,14.07074874
3.5,14.07070218
3.6,14.07065292
3.7,14.07060088
3.8,14.07054598
3.9,14.07048815
4,14.07042732
4.1,14.07036341
4.2,14.07029634
4.3,14.07022605
4.4,14.07015245
4.5,14.07007548
4.6,14.06999507
4.7,14.06991113
4.8,14.06982359
4.9,14.06973239
5,14.06963745
5.1,14.06953869
5.2,14.06943605
5.3,14.06932945
5.4,14.06921881
5.5,14.06910407
5.6,14.06898516
5.7,14.06886199
5.8,14.06873451
5.9,14.06860263
6,14.06846629
6.1,14.06832541
6.2,14.06817993
6.3,14.06802977
6.4,14.06787486
6.5,14.06771513
6.6,14.06755051
6.7,14.06738092
6.8,14.06720631
6.9,14.06702659
7,14.06684169
7.1,14.06665156
7.2,14.06645611
7.3,14.06625527
7.4,14.06604899
7.5,14.06583718
7.6,14.06561977
7.7,14.06539671
7.8,14.06516791
7.9,14.06493331
8,14.06469285
8.1,14.06444644
8.2,14.06419403
8.3,14.06393554
8.4,14.06367091
8.5,14.06340007
8.6,14.06312294
8.7,14.06283946
8.8,14.06254957
8.9,14.06225319
9,14.06195026
9.1,14.06164071
9.2,14.06132448
9.3,14.06100148
9.4,14.06067167
9.5,14.06033497
9.6,14.05999131
9.7,14.05964062
9.8,14.05928285
9.9,14.05891792
10,14.05854577
10.1,14.05816633
10.2,14.05777953
10.3,14.05738531
10.4,14.05698361
10.5,14.05657435
10.6,14.05615748
10.7,14.05573292
10.8,14.05530061
10.9,14.05486049
11,14.05441248
11.1,14.05395654
11.2,14.05349258
11.3,14.05302055
11.4,14.05254038
11.5,14.052052
11.6,14.05155536
11.7,14.05105038
11.8,14.05053701
11.9,14.05001518
12,14.04948483
12.1,14.04894588
12.2,14.04839829
12.3,14.04784198
12.4,14.04727689
12.5,14.04670296
12.6,14.04612013
12.7,14.04552833
12.8,14.04492749
12.9,14.04431757
13,14.04369849
13.1,14.04307019
13.2,14.04243261
13.3,14.04178569
13.4,14.04112936
13.5,14.04046356
13.6,14.03978824
13.7,14.03910333
13.8,14.03840876
13.9,14.03770448
14,14.03699042
14.1,14.03626653
14.2,14.03553275
14.3,14.034789
14.4,14.03403523
14.5,14.03327139
14.6,14.0324974
14.7,14.03171322
14.8,14.03091877
14.9,14.030114
15,14.02929885
15.1,14.02847326
15.2,14.02763716
15.3,14.02679051
15.4,14.02593323
15.5,14.02506528
15.6,14.02418658
15.7,14.02329709
15.8,14.02239673
15.9,14.02148546
16,14.02056322
16.1,14.01962994
16.2,14.01868556
16.3,14.01773004
16.4,14.0167633
16.5,14.0157853
16.6,14.01479597
16.7,14.01379525
16.8,14.01278309
