X,Y
0,-86.94062489
0.01,-86.94062489
0.02,-86.94062489
0.03,-86.94062489
0.04,-86.94062489
0.05,-86.94062489
0.06,-86.94062489
0.07,-86.94062489
0.08,-86.94062489
0.09,-86.94062489
0.1,-86.94062489
0.11,-86.94062489
0.12,-86.94062489
0.13,-86.94062489
0.14,-86.94062489
0.15,-86.94062489
0.16,-86.94062489
0.17,-86.94062489
0.18,-86.94062489
0.19,-86.94062489
0.2,-86.94062489
0.21,-86.94062489
0.22,-86.94062489
0.23,-86.94062489
0.24,-86.94062489
0.25,-86.94062489
0.26,-86.94062489
0.27,-86.94062489
0.28,-86.94062489
0.29,-86.94062489
0.3,-86.94062489
0.31,-86.94062489
0.32,-86.94062489
0.33,-86.94062489
0.34,-86.94062489
0.35,-86.94062489
0.36,-86.94062489
0.37,-86.94062489
0.38,-86.94062489
0.39,-86.94062489
0.4,-86.94062489
0.41,-86.94062489
0.42,-86.94062489
0.43,-86.94062489
0.44,-86.94062489
0.45,-86.94062489
0.46,-86.94062489
0.47,-86.94062489
0.48,-86.94062489
0.49,-86.94062489
0.5,-86.94062489
0.51,-77.64518693
0.52,-77.64518693
0.53,-77.64518693
0.54,-77.64518693
0.55,-77.64518693
0.56,-77.64518693
0.57,-77.64518693
0.58,-77.64518693
0.59,-77.64518693
0.6,-77.64518693
0.61,-77.64518693
0.62,-77.64518693
0.63,-77.64518693
0.64,-77.64518693
0.65,-77.64518693
0.66,-77.64518693
0.67,-77.64518693
0.68,-77.64518693
0.69,-77.64518693
0.7,-77.64518693
0.71,-77.64518693
0.72,-77.64518693
0.73,-77.64518693
0.74,-77.64518693
0.75,-77.64518693
0.76,-77.64518693
0.77,-77.64518693
0.78,-77.64518693
0.79,-77.64518693
0.8,-77.64518693
0.81,-77.64518693
0.82,-77.64518693
0.83,-77.64518693
0.84,-77.64518693
0.85,-77.64518693
0.86,-77.64518693
0.87,-77.64518693
0.88,-77.64518693
0.89,-77.64518693
0.9,-77.64518693
0.91,-77.64518693
0.92,-77.64518693
0.93,-77.64518693
0.94,-77.64518693
0.95,-77.64518693
0.96,-77.64518693
0.97,-77.64518693
0.98,-77.64518693
0.99,-77.64518693
1,-77.64518693
1.01,-77.41258685
1.02,-77.41258685
1.03,-77.41258685
1.04,-77.41258685
1.05,-77.41258685
1.06,-77.41258685
1.07,-77.41258685
1.08,-77.41258685
1.09,-77.41258685
1.1,-77.41258685
1.11,-77.41258685
1.12,-77.41258685
1.13,-77.41258685
1.14,-77.41258685
1.15,-77.41258685
1.16,-77.41258685
1.17,-77.41258685
1.18,-77.41258685
1.19,-77.41258685
1.2,-77.41258685
1.21,-77.41258685
1.22,-77.41258685
1.23,-77.41258685
1.24,-77.41258685
1.25,-77.41258685
1.26,-77.41258685
1.27,-77.41258685
1.28,-77.41258685
1.29,-77.41258685
1.3,-77.41258685
1.31,-77.41258685
1.32,-77.41258685
1.33,-77.41258685
1.34,-77.41258685
1.35,-77.41258685
1.36,-77.41258685
1.37,-77.41258685
1.38,-77.41258685
1.39,-77.41258685
1.4,-77.41258685
1.41,-77.41258685
1.42,-77.41258685
1.43,-77.41258685
1.44,-77.41258685
1.45,-77.41258685
1.46,-77.41258685
1.47,-77.41258685
1.48,-77.41258685
1.49,-77.41258685
1.5,-77.41258685
1.51,-67.10430613
1.52,-67.10430613
1.53,-67.10430613
1.54,-67.10430613
1.55,-67.10430613
1.56,-67.10430613
1.57,-67.10430613
1.58,-67.10430613
1.59,-67.10430613
1.6,-67.10430613
1.61,-67.10430613
1.62,-67.10430613
1.63,-67.10430613
1.64,-67.10430613
1.65,-67.10430613
1.66,-67.10430613
1.67,-67.10430613
1.68,-67.10430613
1.69,-67.10430613
1.7,-67.10430613
1.71,-67.10430613
1.72,-67.10430613
1.73,-67.10430613
1.74,-67.10430613
1.75,-67.10430613
1.76,-67.10430613
1.77,-67.10430613
1.78,-67.10430613
1.79,-67.10430613
1.8,-67.10430613
1.81,-67.10430613
1.82,-67.10430613
1.83,-67.10430613
1.84,-67.10430613
1.85,-67.10430613
1.86,-67.10430613
1.87,-67.10430613
1.88,-67.10430613
1.89,-67.10430613
1.9,-67.10430613
