X,Y
6,0.000820113
6.01,0.000820113
6.02,0.000820113
6.03,0.000820113
6.04,0.000820113
6.05,0.000820113
6.06,0.000820113
6.07,0.000820113
6.08,0.000820113
6.09,0.000820113
6.1,0.000820113
6.11,0.000820113
6.12,0.000820113
6.13,0.000820113
6.14,0.000820113
6.15,0.000820113
6.16,0.000820113
6.17,0.000820113
6.18,0.000820113
6.19,0.000820113
6.2,0.000820113
6.21,0.000820113
6.22,0.000820113
6.23,0.000820113
6.24,0.000820113
6.25,0.000820113
6.26,0.000822037
6.27,0.000822037
6.28,0.000823965
6.29,0.000827852
6.3,0.000831753
6.31,0.000831753
6.32,0.00084326
6.33,0.000847165
6.34,0.000861191
6.35,0.000865338
6.36,0.00088862
6.37,0.00089848
6.38,0.000902683
6.39,0.000904754
6.4,0.00091246
6.41,0.00091246
6.42,0.000921213
6.43,0.000943528
6.44,0.000957566
6.45,0.000969216
6.46,0.001039542
6.47,0.001070686
6.48,0.001160906
6.49,0.001213738
6.5,0.00135292
6.51,0.001510823
6.52,0.00154726
6.53,0.001619081
6.54,0.001666491
6.55,0.001722696
6.56,0.001730207
6.57,0.00176282
6.58,0.00176444
6.59,0.001784038
6.6,0.001786268
6.61,0.001803148
6.62,0.001803148
6.63,0.001839711
6.64,0.001839711
6.65,0.001875247
6.66,0.001875247
6.67,0.001939267
6.68,0.001939267
6.69,0.002032845
6.7,0.002032845
6.71,0.002105844
6.72,0.002112105
6.73,0.002128213
6.74,0.002157609
6.75,0.002194397
6.76,0.002221709
6.77,0.002240021
6.78,0.002347547
6.79,0.002415339
6.8,0.002463412
6.81,0.002490107
6.82,0.002622977
6.83,0.002638375
6.84,0.002765366
6.85,0.002815674
6.86,0.002909906
6.87,0.002934026
6.88,0.002968021
6.89,0.002980234
6.9,0.003015129
6.91,0.003027416
6.92,0.003135117
6.93,0.003165215
6.94,0.003290538
6.95,0.003341464
6.96,0.003390351
6.97,0.003404975
6.98,0.003477237
6.99,0.003493977
7,0.003566055
7.01,0.003675224
7.02,0.003680432
7.03,0.003768301
7.04,0.003875451
7.05,0.003923809
7.06,0.004017516
7.07,0.004087802
7.08,0.004173942
7.09,0.004251814
7.1,0.004301653
7.11,0.004361168
7.12,0.004417594
7.13,0.004558933
7.14,0.004564941
7.15,0.004606312
7.16,0.00471805
7.17,0.004766594
7.18,0.004795119
7.19,0.004797219
7.2,0.004884062
7.21,0.005029387
7.22,0.005048496
7.23,0.005116884
7.24,0.005332449
7.25,0.005432326
7.26,0.005549232
7.27,0.005564333
7.28,0.005645447
7.29,0.005663211
7.3,0.005760916
7.31,0.005796654
7.32,0.005898809
7.33,0.005924632
7.34,0.006146753
7.35,0.006186327
7.36,0.006249889
7.37,0.006273462
7.38,0.006344927
7.39,0.006358319
7.4,0.006467964
7.41,0.006487605
7.42,0.006635759
7.43,0.006658855
7.44,0.006839172
7.45,0.006896247
7.46,0.007072491
7.47,0.007101272
7.48,0.007211221
7.49,0.007228835
7.5,0.007341117
7.51,0.007441206
7.52,0.007575165
7.53,0.00760964
7.54,0.007698891
7.55,0.007759038
7.56,0.007831339
7.57,0.007921703
7.58,0.007921703
7.59,0.007953967
7.6,0.008070431
7.61,0.008160552
7.62,0.008323634
7.63,0.008404598
7.64,0.00849963
7.65,0.008558792
7.66,0.008670508
7.67,0.008732885
7.68,0.008825577
7.69,0.008880734
7.7,0.00897977
7.71,0.009112612
7.72,0.009115178
7.73,0.009232241
7.74,0.009243489
7.75,0.009255257
7.76,0.00934522
7.77,0.009350253
7.78,0.009472336
7.79,0.009503388
7.8,0.009630665
7.81,0.009672446
7.82,0.009830572
7.83,0.009843301
7.84,0.009930327
7.85,0.009947675
7.86,0.010032539
7.87,0.010068654
7.88,0.010245122
7.89,0.010293472
7.9,0.010474861
7.91,0.010545637
7.92,0.010548199
7.93,0.010552795
7.94,0.010613826
7.95,0.010628142
7.96,0.010673319
7.97,0.010683543
7.98,0.010687189
7.99,0.010687189
8,0.010687189
8.01,0.010687189
8.02,0.010687189
