membrane | V (mV),sodium_current | i_Na (uA_per_mm2)
-84.624,-0.00404562
-84.624,-0.00404553
-84.624,-0.00404549
-84.6239,-0.00404547
-84.6239,-0.00404546
-84.6239,-0.00404546
-84.6239,-0.00404545
-84.6238,-0.00404545
-84.6238,-0.00404545
-84.6238,-0.00404545
-84.6238,-0.00404545
-84.6238,-0.00404545
-84.6237,-0.00404545
-84.6237,-0.00404545
-84.6237,-0.00404545
-84.6237,-0.00404545
-84.6236,-0.00404545
-84.6236,-0.00404545
-84.6236,-0.00404545
-84.6236,-0.00404545
-84.6236,-0.00404544
-84.6235,-0.00404544
-84.6235,-0.00404544
-84.6235,-0.00404544
-84.6235,-0.00404544
-84.6234,-0.00404544
-84.6234,-0.00404544
-84.6234,-0.00404544
-84.6234,-0.00404544
-84.6234,-0.00404544
-84.6233,-0.00404544
-84.6233,-0.00404544
-84.6233,-0.00404544
-84.6233,-0.00404544
-84.6233,-0.00404544
-84.6232,-0.00404544
-84.6232,-0.00404544
-84.6232,-0.00404543
-84.6232,-0.00404543
-84.6232,-0.00404543
-84.6231,-0.00404543
-84.6231,-0.00404543
-84.6231,-0.00404543
-84.6231,-0.00404543
-84.6231,-0.00404543
-84.623,-0.00404543
-84.623,-0.00404543
-84.623,-0.00404543
-84.623,-0.00404543
-84.623,-0.00404543
-84.6229,-0.00404543
-84.6229,-0.00404543
-84.6229,-0.00404543
-84.6229,-0.00404543
-84.6229,-0.00404543
-84.6228,-0.00404542
-84.6228,-0.00404542
-84.6228,-0.00404542
-84.6228,-0.00404542
-84.6228,-0.00404542
-84.6227,-0.00404542
-84.6227,-0.00404542
-84.6227,-0.00404542
-84.6227,-0.00404542
-84.6227,-0.00404542
-84.6226,-0.00404542
-84.6226,-0.00404542
-84.6226,-0.00404542
-84.6226,-0.00404542
-84.6226,-0.00404542
-84.6226,-0.00404542
-84.6225,-0.00404542
-84.6225,-0.00404542
-84.6225,-0.00404542
-84.6225,-0.00404541
-84.6225,-0.00404541
-84.6224,-0.00404541
-84.6224,-0.00404541
-84.6224,-0.00404541
-84.6224,-0.00404541
-84.6224,-0.00404541
-84.6223,-0.00404541
-84.6223,-0.00404541
-84.6223,-0.00404541
-84.6223,-0.00404541
-84.6223,-0.00404541
-84.6223,-0.00404541
-84.6222,-0.00404541
-84.6222,-0.00404541
-84.6222,-0.00404541
-84.6222,-0.00404541
-84.6222,-0.00404541
-84.6221,-0.00404541
-84.6221,-0.00404541
-84.6221,-0.0040454
-84.6221,-0.0040454
-84.6221,-0.0040454
-84.6221,-0.0040454
-84.622,-0.0040454
-84.622,-0.0040454
-84.622,-0.0040454
-84.622,-0.0040454
-84.622,-0.0040454
-84.622,-0.0040454
-84.6219,-0.0040454
-84.6219,-0.0040454
-84.6219,-0.0040454
-84.6219,-0.0040454
-84.6219,-0.0040454
-84.6219,-0.0040454
-84.6218,-0.0040454
-84.6218,-0.0040454
-84.6218,-0.0040454
-84.6218,-0.0040454
-84.6218,-0.0040454
-84.6218,-0.00404539
-84.6217,-0.00404539
-84.6217,-0.00404539
-84.6217,-0.00404539
-84.6217,-0.00404539
-84.6217,-0.00404539
-84.6217,-0.00404539
-84.6216,-0.00404539
-84.6216,-0.00404539
-84.6216,-0.00404539
-84.6216,-0.00404539
-84.6216,-0.00404539
-84.6216,-0.00404539
-84.6215,-0.00404539
-84.6215,-0.00404539
-84.6215,-0.00404539
-84.6215,-0.00404539
-84.6215,-0.00404539
-84.6215,-0.00404539
-84.6215,-0.00404539
-84.6214,-0.00404539
-84.6214,-0.00404539
-84.6214,-0.00404539
-84.6214,-0.00404538
-84.6214,-0.00404538
-84.6214,-0.00404538
-84.6213,-0.00404538
-84.6213,-0.00404538
-84.6213,-0.00404538
-84.6213,-0.00404538
-84.6213,-0.00404538
-84.6213,-0.00404538
-84.6213,-0.00404538
-84.6212,-0.00404538
-84.6212,-0.00404538
-84.6212,-0.00404538
-84.6212,-0.00404538
-84.6212,-0.00404538
-84.6212,-0.00404538
-84.6211,-0.00404538
-84.6211,-0.00404538
-84.6211,-0.00404538
-84.6211,-0.00404538
-84.6211,-0.00404538
-84.6211,-0.00404538
-84.6211,-0.00404538
-84.621,-0.00404538
-84.621,-0.00404537
-84.621,-0.00404537
-84.621,-0.00404537
-84.621,-0.00404537
-84.621,-0.00404537
-84.621,-0.00404537
-84.6209,-0.00404537
-84.6209,-0.00404537
-84.6209,-0.00404537
-84.6209,-0.00404537
-84.6209,-0.00404537
-84.6209,-0.00404537
-84.6209,-0.00404537
-84.6208,-0.00404537
-84.6208,-0.00404537
-84.6208,-0.00404537
-84.6208,-0.00404537
-84.6208,-0.00404537
-84.6208,-0.00404537
-84.6208,-0.00404537
-84.6207,-0.00404537
-84.6207,-0.00404537
-84.6207,-0.00404537
-84.6207,-0.00404537
-84.6207,-0.00404537
-84.6207,-0.00404537
-84.6207,-0.00404536
-84.6207,-0.00404536
-84.6206,-0.00404536
-84.6206,-0.00404536
-84.6206,-0.00404536
-84.6206,-0.00404536
-84.6206,-0.00404536
-84.6206,-0.00404536
-84.6206,-0.00404536
-84.6206,-0.00404536
-84.6205,-0.00404536
-84.6205,-0.00404536
-84.6205,-0.00404536
-84.6205,-0.00404536
-84.6205,-0.00404536
-84.6205,-0.00404536
-84.6205,-0.00404536
-84.6204,-0.00404536
-84.6204,-0.00404536
