membrane | V (mV),slow_inward_current | i_s (uA_per_mm2)
-44.99,-0.187832
-42.49,-0.228117
-39.99,-0.273313
-37.49,-0.321586
-34.99,-0.370242
-32.49,-0.416779
-29.99,-0.460372
-27.49,-0.50243
-24.99,-0.545444
-22.49,-0.591245
-19.99,-0.640143
-17.49,-0.691097
-14.99,-0.742297
-12.49,-0.79173
-9.99,-0.837585
-7.49,-0.878475
-4.99,-0.913517
-2.49,-0.942307
0.01,-0.964832
2.51,-0.981367
5.01,-0.992367
7.51,-0.998383
10.01,-1
12.51,-0.997791
15.01,-0.992294
17.51,-0.983993
20.01,-0.973317
22.51,-0.960638
25.01,-0.946274
27.51,-0.930494
30.01,-0.913525
32.51,-0.895555
35.01,-0.876742
37.51,-0.857216
40.01,-0.837083
42.51,-0.816434
45.01,-0.795341
47.51,-0.773863
50.01,-0.752052
52.51,-0.729947
55.01,-0.707584
57.51,-0.684989
60.01,-0.662186
62.51,-0.639195
65.01,-0.616032
67.51,-0.59271
70.01,-0.569242
72.51,-0.545636
75.01,-0.521903
77.51,-0.498048
80.01,-0.474079
# x axis: Test potential (mV); y axis: Normalised Peak I_{CaL} current (dimensionless),
