membrane | V (mV),time_independent_outward_current | i_K1 (uA_per_mm2)
-119.99,-1
-114.99,-0.744554
-109.99,-0.537033
-104.99,-0.369022
-99.99,-0.23365
-94.99,-0.125299
-89.99,-0.0393604
-84.99,0.0279631
-79.99,0.0798326
-74.99,0.118913
-69.99,0.147487
-64.99,0.167548
-59.99,0.180861
-54.99,0.189007
-49.99,0.193401
-44.99,0.195296
-39.99,0.195781
-34.99,0.195773
-29.99,0.196012
-24.99,0.197069
-19.99,0.199352
-14.99,0.203133
-9.99,0.208562
-4.99,0.2157
0.01,0.224535
5.01,0.235006
10.01,0.247022
15.01,0.26047
20.01,0.275231
25.01,0.291181
30.01,0.308201
35.01,0.326177
40.01,0.345004
