Environment | time (ms),cell | V (mV)
0,-85.7818
1,-67.369
2,-44.8062
3,41.6014
4,35.6787
5,34.0682
6,33.0807
7,32.1281
8,31.2525
9,30.482
10,29.8147
11,29.2376
12,28.7353
13,28.2937
14,27.9008
15,27.5467
16,27.2235
17,26.9248
18,26.6455
19,26.3818
20,26.1304
21,25.8889
22,25.6553
23,25.4279
24,25.2052
25,24.9862
26,24.7698
27,24.555
28,24.341
29,24.1272
30,23.9129
31,23.6974
32,23.4804
33,23.2612
34,23.0397
35,22.8153
36,22.588
37,22.3573
38,22.1232
39,21.8855
40,21.6441
41,21.3989
42,21.15
43,20.8973
44,20.6409
45,20.3808
46,20.1172
47,19.85
48,19.5794
49,19.3055
50,19.0284
51,18.7484
52,18.4654
53,18.1797
54,17.8914
55,17.6007
56,17.3076
57,17.0124
58,16.7151
59,16.416
60,16.115
61,15.8123
62,15.5081
63,15.2025
64,14.8954
65,14.5871
66,14.2775
67,13.9668
68,13.655
69,13.3421
70,13.0281
71,12.7132
72,12.3973
73,12.0804
74,11.7625
75,11.4436
76,11.1236
77,10.8025
78,10.4804
79,10.157
80,9.83245
81,9.50655
82,9.17926
83,8.85048
84,8.52013
85,8.1881
86,7.85427
87,7.51853
88,7.18075
89,6.8408
90,6.49855
91,6.15384
92,5.80654
93,5.45649
94,5.10353
95,4.7475
96,4.38824
97,4.02559
98,3.65937
99,3.28941
100,2.91556
101,2.53764
102,2.15549
103,1.76894
104,1.37784
105,0.982033
106,0.581379
107,0.175736
108,-0.235022
109,-0.651014
110,-1.07235
111,-1.49911
112,-1.93138
113,-2.36923
114,-2.81268
115,-3.26178
116,-3.71652
117,-4.17689
118,-4.64285
119,-5.11435
120,-5.59131
121,-6.07363
122,-6.56119
123,-7.05387
124,-7.5515
125,-8.05393
126,-8.56099
127,-9.07249
128,-9.58824
129,-10.1081
130,-10.6318
131,-11.1592
132,-11.6902
133,-12.2246
134,-12.7622
135,-13.3029
136,-13.8466
137,-14.3932
138,-14.9426
139,-15.4949
140,-16.0499
141,-16.6078
142,-17.1686
143,-17.7325
144,-18.2997
145,-18.8705
146,-19.4451
147,-20.024
148,-20.6078
149,-21.1969
150,-21.7922
151,-22.3945
152,-23.0047
153,-23.6239
154,-24.2532
155,-24.8941
156,-25.5478
157,-26.216
158,-26.9003
159,-27.6024
160,-28.3239
161,-29.0666
162,-29.8321
163,-30.6222
164,-31.4383
165,-32.2818
166,-33.1542
167,-34.0567
168,-34.9904
169,-35.9567
170,-36.9565
171,-37.9913
172,-39.0623
173,-40.1711
174,-41.3193
175,-42.509
176,-43.7422
177,-45.0215
178,-46.3497
179,-47.7301
180,-49.1663
181,-50.6623
