cell | V (mV),INa | INa (uA_per_uF)
-85.7818,-4.20E-06
-85.5822,-4.43E-06
-85.3832,-4.86E-06
-85.1847,-5.35E-06
-84.9868,-5.89E-06
-84.7894,-6.49E-06
-84.5925,-7.14E-06
-84.3962,-7.86E-06
-84.2003,-8.65E-06
-84.005,-9.51E-06
-83.8101,-1.05E-05
-83.6158,-1.15E-05
-83.4219,-1.26E-05
-83.2285,-1.39E-05
-83.0355,-1.52E-05
-82.8429,-1.67E-05
-82.6508,-1.84E-05
-82.4592,-2.02E-05
-82.2679,-2.21E-05
-82.0771,-2.42E-05
-81.8866,-2.66E-05
-81.6966,-2.91E-05
-81.5069,-3.19E-05
-81.3176,-3.50E-05
-81.1287,-3.83E-05
-80.9402,-4.19E-05
-80.752,-4.59E-05
-80.5641,-5.02E-05
-80.3766,-5.49E-05
-80.1895,-6.01E-05
-80.0026,-6.57E-05
-79.8161,-7.18E-05
-79.6299,-7.85E-05
-79.4439,-8.58E-05
-79.2583,-9.37E-05
-79.073,-0.000102383
-78.888,-0.000111809
-78.7032,-0.000122077
-78.5187,-0.000133257
-78.3344,-0.000145427
-78.1505,-0.000158671
-77.9667,-0.000173082
-77.7832,-0.000188757
-77.6,-0.000205806
-77.417,-0.00022435
-77.2342,-0.000244519
-77.0516,-0.000266454
-76.8692,-0.000290314
-76.6871,-0.000316267
-76.5051,-0.000344481
-76.3233,-0.000375145
-76.1418,-0.000408473
-75.9604,-0.000444693
-75.7791,-0.000484039
-75.5981,-0.000526741
-75.4172,-0.000573089
-75.2365,-0.000623376
-75.0559,-0.000677917
-74.8755,-0.000737099
-74.6952,-0.000801285
-74.5151,-0.000870883
-74.3351,-0.000946337
-74.1552,-0.00102817
-73.9754,-0.00111695
-73.7958,-0.00121324
-73.6162,-0.0013177
-73.4368,-0.00143101
-73.2575,-0.00155382
-73.0783,-0.00168696
-72.8992,-0.00183131
-72.7201,-0.00198777
-72.5412,-0.0021572
-72.3623,-0.00234067
-72.1835,-0.00253926
-72.0048,-0.00275413
-71.8261,-0.00298663
-71.6475,-0.00323819
-71.469,-0.00351025
-71.2905,-0.00380439
-71.112,-0.00412238
-70.9336,-0.00446656
-70.7553,-0.00483912
-70.577,-0.00524247
-70.3987,-0.00567867
-70.2204,-0.00615028
-70.0422,-0.00665995
-69.864,-0.00721067
-69.6858,-0.0078057
-69.5076,-0.00844855
-69.3294,-0.00914306
-69.1512,-0.00989305
-68.9731,-0.0107031
-68.7949,-0.0115779
-68.6167,-0.0125227
-68.4385,-0.0135427
-68.2603,-0.0146438
-68.0821,-0.0158321
-67.9039,-0.0171143
-67.7256,-0.0184977
-67.5473,-0.0199899
-67.369,-0.0215992
-67.1906,-0.0233348
-67.0122,-0.0252062
-66.8337,-0.0272239
-66.6552,-0.0293989
-66.4767,-0.0317432
-66.2981,-0.0342695
-66.1194,-0.0369915
-65.9406,-0.0399239
-65.7618,-0.0430823
-65.5829,-0.0464839
-65.404,-0.0501468
-65.2249,-0.0540902
-65.0458,-0.0583351
-64.8665,-0.0629038
-64.6872,-0.0678204
-64.5077,-0.0731101
-64.3282,-0.0788005
-64.1485,-0.0849213
-63.9687,-0.0915042
-63.7888,-0.098583
-63.6087,-0.106194
-63.4285,-0.114375
-63.2481,-0.123169
-63.0676,-0.132619
-62.8869,-0.142772
-62.706,-0.153681
-62.5249,-0.165398
-62.3437,-0.177982
-62.1622,-0.191494
-61.9805,-0.206002
-61.7986,-0.221575
-61.6164,-0.23829
-61.434,-0.256228
-61.2513,-0.275475
-61.0684,-0.296126
-60.8851,-0.318279
-60.7015,-0.342041
-60.5176,-0.367525
-60.3333,-0.394854
-60.1487,-0.424157
-59.9636,-0.455573
-59.7782,-0.489251
-59.5923,-0.52535
-59.4059,-0.564041
-59.219,-0.605504
-59.0316,-0.649934
-58.8437,-0.697539
-58.6551,-0.748548
-58.466,-0.803197
-58.2761,-0.861743
-58.0856,-0.92446
-57.8943,-0.991651
-57.7022,-1.06363
-57.5092,-1.14073
-57.3154,-1.22333
-57.1206,-1.31181
-56.9247,-1.40661
-56.7278,-1.50818
-56.5297,-1.617
-56.3304,-1.73361
-56.1298,-1.85858
-55.9277,-1.99252
-55.7242,-2.1361
-55.5191,-2.29003
-55.3122,-2.45511
-55.1035,-2.63218
-54.8929,-2.82216
-54.6802,-3.02604
-54.4653,-3.24492
-54.2479,-3.47996
-54.028,-3.73247
-53.8054,-4.00383
-53.5798,-4.2956
-53.3511,-4.60946
-53.119,-4.94723
-52.8832,-5.31096
-52.6436,-5.70288
-52.3997,-6.12545
-52.1514,-6.58138
-51.8981,-7.07367
-51.6396,-7.60563
-51.3754,-8.18094
-51.1051,-8.8037
-50.8281,-9.47848
-50.544,-10.2104
-50.2521,-11.0051
-49.9517,-11.8689
-49.6422,-12.809
-49.3227,-13.8334
-48.9923,-14.9512
-48.6501,-16.1725
-48.2949,-17.5087
-47.9255,-18.973
-47.5406,-20.58
-47.1387,-22.3465
-46.718,-24.2914
-46.2767,-26.4363
-45.8125,-28.8058
-45.3233,-31.4276
-44.8062,-34.3332
-44.2582,-37.5585
-43.676,-41.1435
-43.0556,-45.1336
-42.3929,-49.5788
-41.6829,-54.5333
-40.9203,-60.0551
-40.099,-66.2033
-39.2128,-72.9848
-38.2547,-80.5332
-37.2165,-88.9329
-36.0894,-98.2562
-34.8637,-108.566
-33.5293,-119.908
-32.0758,-132.296
-30.4928,-145.699
-28.7705,-160.022
-26.9006,-175.084
-24.8771,-190.599
-22.6976,-206.157
-20.3642,-221.224
-17.8853,-235.155
-15.2759,-247.242
-12.5581,-256.779
-9.76062,-263.162
-6.91749,-265.975
-4.06551,-265.066
-1.24172,-260.555
1.51934,-252.813
4.18776,-242.388
6.7396,-229.917
9.15745,-216.055
11.4303,-201.407
13.5526,-186.493
15.5237,-171.732
17.3467,-157.439
19.0271,-143.835
20.5723,-131.059
21.9909,-119.187
23.292,-108.245
24.4847,-98.2236
25.578,-89.0896
26.5805,-80.7937
27.5004,-73.2781
28.3451,-66.4813
29.1216,-60.3412
29.8363,-54.7976
30.495,-49.7933
31.1029,-45.2753
31.6649,-41.1947
32.1853,-37.5071
32.668,-34.1725
33.1164,-31.1547
33.5338,-28.4213
33.923,-25.9434
34.2867,-23.6952
34.6272,-21.6536
34.9466,-19.798
35.2468,-18.1102
35.5296,-16.5737
35.7965,-15.1739
36.0489,-13.8977
36.2882,-12.7334
36.5155,-11.6706
36.7319,-10.6997
36.9383,-9.8124
37.1356,-9.001
37.3247,-8.25866
37.5062,-7.5792
37.6808,-6.95703
37.8492,-6.38709
38.0118,-5.86482
38.1692,-5.38606
38.3218,-4.94706
38.4701,-4.5444
38.6144,-4.17498
38.7552,-3.83598
38.8926,-3.52482
39.027,-3.23915
39.1588,-2.97685
39.288,-2.73596
39.415,-2.51471
39.54,-2.31145
39.6631,-2.12471
39.7846,-1.95312
39.9046,-1.79544
40.0232,-1.65053
40.1405,-1.51735
40.2568,-1.39493
40.3721,-1.2824
40.4866,-1.17895
40.6003,-1.08385
40.7133,-0.996413
40.8256,-0.916028
40.9375,-0.842121
41.049,-0.774167
41.16,-0.711686
41.2707,-0.654237
41.3812,-0.601413
41.4914,-0.552842
41.6015,-0.508182
41.5116,-0.471396
41.422,-0.437264
41.3326,-0.405581
41.2435,-0.37618
41.1547,-0.348901
41.0663,-0.323593
40.9782,-0.300117
40.8906,-0.278346
40.8034,-0.258148
40.7167,-0.239406
40.6305,-0.222018
40.5448,-0.205887
40.4596,-0.190924
40.375,-0.177042
40.2909,-0.164163
40.2074,-0.152216
40.1245,-0.141133
40.0423,-0.130853
39.9606,-0.121317
39.8796,-0.112473
39.7992,-0.10427
39.7195,-0.0966624
39.6405,-0.0896066
39.5621,-0.083063
39.4845,-0.0769948
39.4075,-0.0713674
39.3313,-0.0661491
39.2557,-0.0613103
39.1809,-0.0568235
39.1068,-0.0526631
39.0334,-0.0488056
38.9608,-0.0452292
38.8889,-0.0419137
38.8178,-0.03884
38.7474,-0.0359907
38.6777,-0.0333493
38.6088,-0.0309007
38.5407,-0.028631
38.4733,-0.026527
38.4067,-0.0245769
38.3409,-0.0227694
38.2758,-0.0210942
38.2114,-0.0195417
38.1478,-0.0181029
38.085,-0.0167695
38.023,-0.0155338
37.9617,-0.0143887
37.9011,-0.0133277
37.8413,-0.0123445
37.7823,-0.0114335
37.724,-0.0105895
37.6665,-0.00980753
37.6097,-0.00908303
37.5536,-0.00841191
37.4983,-0.00779016
37.4437,-0.00721412
37.3898,-0.00668058
37.3367,-0.00618632
37.2843,-0.00572841
37.2326,-0.0053043
37.1816,-0.00491145
37.1313,-0.00454753
37.0817,-0.00421049
37.0328,-0.00389832
36.9846,-0.00360919
36.937,-0.00334144
36.8902,-0.00309349
36.844,-0.00286385
36.7985,-0.00265122
36.7536,-0.00245432
36.7094,-0.00227199
