cell | V (mV),ICaL | ICaL (uA_per_uF)
-44.99,-0.00509631
-42.49,-0.00722063
-39.99,-0.00976488
-37.49,-0.0129735
-34.99,-0.0175656
-32.49,-0.0231358
-29.99,-0.0295443
-27.49,-0.0384062
-24.99,-0.0516615
-22.49,-0.069257
-19.99,-0.0924115
-17.49,-0.122533
-14.99,-0.161331
-12.49,-0.210769
-9.99,-0.272861
-7.49,-0.349144
-4.99,-0.439823
-2.49,-0.542674
0.01,-0.652222
2.51,-0.759866
5.01,-0.855497
7.51,-0.930172
10.01,-0.978584
12.51,-1
15.01,-0.997427
17.51,-0.975868
20.01,-0.940632
22.51,-0.896279
25.01,-0.846235
27.51,-0.792868
30.01,-0.737721
32.51,-0.681829
35.01,-0.625967
37.51,-0.570838
40.01,-0.517109
42.51,-0.465445
45.01,-0.416434
47.51,-0.370559
50.01,-0.328144
52.51,-0.28936
55.01,-0.254229
57.51,-0.222656
60.01,-0.194465
62.51,-0.169424
65.01,-0.147273
67.51,-0.127747
70.01,-0.110579
72.51,-0.0955163
75.01,-0.0823251
77.51,-0.070793
80.01,-0.0607262
