environment | time (second),E | Na (millimolar),E | E (millimolar),E | E' (millimolar/second),E_ | E_ (millimolar),E_ | E_' (millimolar/second),ECl | ECl (millimolar),ECl | ECl' (millimolar/second),ECl_ | ECl_ (millimolar),ECl_ | ECl_' (millimolar/second),ED | ED (millimolar),ED | ED' (millimolar/second),ED_ | ED_ (millimolar),ED_ | ED_' (millimolar/second),ENa | ENa (millimolar),ENa | ENa' (millimolar/second),ENa_ | ENa_ (millimolar),ENa_ | ENa_' (millimolar/second),ENaCl | ENaCl (millimolar),ENaCl | ENaCl' (millimolar/second),ENaCl_ | ENaCl_ (millimolar),ENaCl_ | ENaCl_' (millimolar/second),ENaD | ENaD (millimolar),ENaD | ENaD' (millimolar/second),ENaD_ | ENaD_ (millimolar),ENaD_ | ENaD_' (millimolar/second),reaction_constants | Cl (millimolar),reaction_constants | Cl_ (millimolar),reaction_constants | D (millimolar),reaction_constants | D_ (millimolar),reaction_constants | k1 (second_order_rate_constant),reaction_constants | k10 (first_order_rate_constant),reaction_constants | k11 (second_order_rate_constant),reaction_constants | k12 (first_order_rate_constant),reaction_constants | k13 (second_order_rate_constant),reaction_constants | k14 (first_order_rate_constant),reaction_constants | k15 (second_order_rate_constant),reaction_constants | k16 (first_order_rate_constant),reaction_constants | k17 (first_order_rate_constant),reaction_constants | k18 (first_order_rate_constant),reaction_constants | k19 (first_order_rate_constant),reaction_constants | k2 (first_order_rate_constant),reaction_constants | k20 (first_order_rate_constant),reaction_constants | k21 (second_order_rate_constant),reaction_constants | k22 (first_order_rate_constant),reaction_constants | k23 (second_order_rate_constant),reaction_constants | k24 (first_order_rate_constant),reaction_constants | k25 (second_order_rate_constant),reaction_constants | k26 (first_order_rate_constant),reaction_constants | k27 (second_order_rate_constant),reaction_constants | k28 (first_order_rate_constant),reaction_constants | k29 (second_order_rate_constant),reaction_constants | k3 (second_order_rate_constant),reaction_constants | k30 (first_order_rate_constant),reaction_constants | k31 (second_order_rate_constant),reaction_constants | k32 (first_order_rate_constant),reaction_constants | k4 (first_order_rate_constant),reaction_constants | k5 (second_order_rate_constant),reaction_constants | k6 (first_order_rate_constant),reaction_constants | k7 (second_order_rate_constant),reaction_constants | k8 (first_order_rate_constant),reaction_constants | k9 (second_order_rate_constant),reaction_constants | Na (millimolar),reaction_constants | Na_ (millimolar)
0,0.08333,0.08333,-800999,0.08333,63247.5,0.08333,-19882.5,0.08333,-157710,0.08333,-381796,0.08333,-71755.5,0.08333,-329426,0.08333,-196100,0.08333,1.12E+06,0.08333,320519,0.08333,381790,0.08333,71755.5,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.001,0.00343099,0.00343099,0.0264021,0.0190227,0.146028,0.00663177,0.0510386,0.0153008,0.117455,0.0124625,-0.397461,0.0203237,-0.00215954,0.0408374,0.3143,0.045932,0.352563,0.36804,2.83274,0.172694,1.32555,0.148966,-4.75091,0.146319,-0.0155475,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.002,0.00345692,0.00345692,0.025507,0.019167,0.142138,0.00668187,0.0492974,0.0154169,0.114333,0.0120713,-0.384972,0.0203215,-0.00215321,0.0411459,0.303518,0.0462806,0.343275,0.37082,2.73553,0.174005,1.29065,0.14429,-4.60162,0.146303,-0.015502,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.003,0.00348202,0.00348202,0.0247055,0.0193069,0.137712,0.0067304,0.0477479,0.0155294,0.110773,0.0116924,-0.372875,0.0203194,-0.00214707,0.0414446,0.293976,0.0466185,0.33259,0.373512,2.64953,0.175275,1.25048,0.139761,-4.45703,0.146288,-0.0154578,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.004,0.00350634,0.00350634,0.0239336,0.0194424,0.133381,0.0067774,0.0462564,0.0156385,0.107289,0.0113254,-0.361159,0.0203172,-0.00214112,0.041734,0.284794,0.0469458,0.322127,0.37612,2.56678,0.176506,1.21114,0.135375,-4.31698,0.146272,-0.0154149,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.005,0.0035299,0.0035299,0.0231855,0.0195737,0.12919,0.00682293,0.0448108,0.0157441,0.103918,0.01097,-0.34981,0.0203151,-0.00213534,0.0420143,0.275895,0.0472628,0.312004,0.378647,2.48657,0.177698,1.17308,0.131126,-4.18133,0.146257,-0.0153733,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.006,0.00355272,0.00355272,0.022459,0.0197009,0.12515,0.00686703,0.0434067,0.0158463,0.100668,0.0106257,-0.338818,0.020313,-0.00212973,0.0422859,0.26725,0.04757,0.302247,0.381094,2.40865,0.178852,1.13639,0.12701,-4.04995,0.146242,-0.0153329,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.007,0.00357482,0.00357482,0.0217556,0.0198241,0.121234,0.00690975,0.0420472,0.0159454,0.0975182,0.0102922,-0.328172,0.0203108,-0.0021243,0.0425489,0.25888,0.0478675,0.292791,0.383465,2.33321,0.179971,1.10084,0.123025,-3.92269,0.146226,-0.0152938,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.008,0.00359623,0.00359623,0.0210744,0.0199434,0.117441,0.00695113,0.0407305,0.0160414,0.0944676,0.00996925,-0.31786,0.0203087,-0.00211902,0.0428037,0.250772,0.0481556,0.283632,0.385761,2.26014,0.181054,1.0664,0.119164,-3.79943,0.146211,-0.0152558,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
0.009,0.00361698,0.00361698,0.0204147,0.020059,0.113766,0.00699122,0.0394556,0.0161344,0.0915108,0.00965642,-0.307873,0.0203066,-0.0021139,0.0430505,0.242923,0.0484348,0.274754,0.387986,2.1894,0.182104,1.03303,0.115425,-3.68005,0.146196,-0.0152189,96,40,1.00E-06,1.00E-06,100000,418300,100000,4.98E+06,100000,1.07E+06,100000,89400,458700,100000,1000,418300,218,100000,418300,100000,31.92,100000,31.92,100000,138900,100000,100000,0.3514,100000,0.1166,4.93E+06,100000,1.07E+06,100000,89400,100000,50,10
