environment | time (second),reaction_constants | Na (millimolar)
-70.01,0.00051411
-60.01,0.00054991
-50.01,0.000624109
-40.01,0.000785944
-35.01,0.00158596
-30.01,0.00315935
-25.01,0.00623763
-20.01,0.0121079
-15.01,0.0229082
-10.01,0.0419034
-7.51,0.0558008
-5.01,0.0734273
-2.51,0.0953861
0.01,0.12263
2.51,0.155265
5.01,0.19335
7.51,0.236627
10.01,0.28459
12.51,0.336416
15.01,0.390957
17.51,0.446691
20.01,0.502122
22.51,0.556631
25.01,0.609749
27.51,0.660655
30.01,0.708443
32.51,0.752475
35.01,0.792428
37.51,0.828216
40.01,0.859925
42.51,0.887757
45.01,0.911989
47.51,0.93294
50.01,0.950948
52.51,0.966348
55.01,0.979462
57.51,0.990588
60.01,1
