environment | time (second),reaction_constants | J_Na (flux)
0,7273.04
1,4497.36
2,4565.25
3,4623.39
4,4673.19
5,4715.84
6,4752.37
7,4783.66
8,4810.46
9,4833.42
10,4853.08
11,4869.92
12,4884.34
13,4896.7
14,4907.28
15,4916.34
16,4924.1
17,4930.75
18,4936.44
19,4941.32
20,4945.49
21,4949.07
22,4952.13
23,4954.76
24,4957
25,4958.93
26,4960.58
27,4961.99
28,4963.2
29,4964.23
30,4965.12
31,4965.88
32,4966.53
33,4967.09
34,4967.57
35,4967.97
36,4968.32
37,4968.62
38,4968.88
39,4969.1
40,4969.29
41,4969.45
42,4969.59
43,4969.71
44,4969.81
45,4969.89
46,4969.97
47,4970.03
48,4970.09
49,4970.13
50,4970.17
51,4970.21
52,4970.24
53,4970.26
54,4970.29
55,4970.3
56,4970.32
57,4970.33
58,4970.34
59,4970.35
60,4970.36
61,4970.37
62,4970.38
63,4970.38
64,4970.39
65,4970.39
66,4970.39
67,4970.4
68,4970.4
69,4970.4
70,4970.4
71,4970.4
72,4970.41
73,4970.41
74,4970.41
75,4970.41
76,4970.41
77,4970.41
78,4970.41
79,4970.41
80,4970.41
81,4970.41
82,4970.41
83,4970.41
84,4970.41
85,4970.41
86,4970.41
87,4970.41
88,4970.41
89,4970.41
90,4970.41
91,4970.41
92,4970.41
93,4970.41
94,4970.41
95,4970.41
96,4970.41
97,4970.41
98,4970.41
99,4970.41
100,4970.41
101,4970.41
102,4970.41
103,4970.41
104,4970.41
105,4970.41
106,4970.42
107,4970.42
108,4970.42
109,4970.42
110,4970.42
111,4970.42
112,4970.42
113,4970.42
114,4970.42
115,4970.42
116,4970.42
117,4970.42
118,4970.42
119,4970.42
120,4970.42
121,4970.42
122,4970.42
123,4970.42
124,4970.42
125,4970.42
126,4970.42
127,4970.42
128,4970.42
129,4970.42
130,4970.42
131,4970.42
132,4970.42
133,4970.42
134,4970.42
135,4970.42
136,4970.42
137,4970.42
138,4970.42
139,4970.42
140,4970.42
141,4970.42
142,4970.42
143,4970.42
144,4970.42
145,4970.42
146,4970.42
147,4970.42
148,4970.42
149,4970.42
150,4970.42
151,4970.42
152,4970.42
153,4970.42
154,4970.42
155,4970.42
156,4970.42
157,4970.42
158,4970.42
159,4970.42
160,4970.42
161,4970.42
162,4970.42
163,4970.42
164,4970.42
165,4970.42
166,4970.42
167,4970.42
168,4970.42
169,4970.42
170,4970.42
171,4970.42
172,4970.42
173,4970.42
174,4970.42
175,4970.42
176,4970.42
177,4970.42
178,4970.42
179,4970.42
180,4970.42
181,4970.42
182,4970.42
183,4970.42
184,4970.42
185,4970.42
186,4970.42
187,4970.42
188,4970.42
189,4970.42
190,4970.42
191,4970.42
192,4970.42
