environment | time (second),solute_concentrations | C_m_Na (mmol_per_cm3)
0,0.05
1,0.0498926
2,0.0497864
3,0.049681
4,0.0495762
5,0.0494717
6,0.0493676
7,0.0492638
8,0.0491603
9,0.0490571
10,0.0489541
11,0.0488514
12,0.048749
13,0.0486469
14,0.0485449
15,0.0484433
16,0.0483419
17,0.0482407
18,0.0481398
19,0.0480391
20,0.0479386
21,0.0478384
22,0.0477384
23,0.0476387
24,0.0475392
25,0.04744
26,0.0473409
27,0.0472421
28,0.0471436
29,0.0470452
30,0.0469471
31,0.0468493
32,0.0467516
33,0.0466542
34,0.046557
35,0.0464601
36,0.0463634
37,0.0462669
38,0.0461706
39,0.0460745
40,0.0459787
41,0.0458831
42,0.0457877
43,0.0456926
44,0.0455976
45,0.0455029
46,0.0454084
47,0.0453142
48,0.0452201
49,0.0451263
50,0.0450326
51,0.0449392
52,0.044846
53,0.0447531
54,0.0446603
55,0.0445678
56,0.0444754
57,0.0443833
58,0.0442914
59,0.0441997
60,0.0441082
61,0.044017
62,0.0439259
63,0.043835
64,0.0437444
65,0.043654
66,0.0435637
67,0.0434737
68,0.0433839
69,0.0432943
70,0.0432049
71,0.0431157
72,0.0430267
73,0.0429379
74,0.0428493
75,0.0427609
76,0.0426727
77,0.0425848
78,0.042497
79,0.0424094
80,0.042322
81,0.0422348
82,0.0421479
83,0.0420611
84,0.0419745
85,0.0418881
86,0.0418019
87,0.0417159
88,0.0416301
89,0.0415445
90,0.0414591
91,0.0413739
92,0.0412889
93,0.0412041
94,0.0411194
95,0.041035
96,0.0409507
97,0.0408667
98,0.0407828
99,0.0406991
100,0.0406157
101,0.0405324
102,0.0404493
103,0.0403663
104,0.0402836
105,0.0402011
106,0.0401187
107,0.0400365
108,0.0399546
109,0.0398728
110,0.0397912
111,0.0397097
112,0.0396285
113,0.0395474
114,0.0394666
115,0.0393859
116,0.0393053
117,0.039225
118,0.0391449
119,0.0390649
120,0.0389851
121,0.0389055
122,0.0388261
123,0.0387469
124,0.0386678
125,0.0385889
126,0.0385102
127,0.0384317
128,0.0383533
129,0.0382751
130,0.0381971
131,0.0381193
132,0.0380417
133,0.0379642
134,0.0378869
135,0.0378098
136,0.0377328
137,0.0376561
138,0.0375795
139,0.037503
140,0.0374268
141,0.0373507
142,0.0372748
143,0.037199
144,0.0371235
145,0.0370481
146,0.0369728
147,0.0368978
148,0.0368229
149,0.0367481
150,0.0366736
151,0.0365992
152,0.036525
153,0.0364509
154,0.036377
155,0.0363033
156,0.0362298
157,0.0361564
158,0.0360832
159,0.0360101
160,0.0359372
161,0.0358645
162,0.0357919
163,0.0357195
164,0.0356473
165,0.0355752
166,0.0355033
167,0.0354315
168,0.0353599
169,0.0352885
170,0.0352172
171,0.0351461
172,0.0350752
173,0.0350044
174,0.0349338
175,0.0348633
176,0.034793
177,0.0347228
178,0.0346528
179,0.034583
180,0.0345133
181,0.0344438
182,0.0343744
183,0.0343052
184,0.0342361
185,0.0341672
186,0.0340985
187,0.0340299
188,0.0339614
189,0.0338932
190,0.033825
191,0.033757
192,0.0336892
193,0.0336215
194,0.033554
195,0.0334866
196,0.0334194
197,0.0333524
198,0.0332854
199,0.0332187
200,0.0331521
201,0.0330856
202,0.0330193
203,0.0329531
204,0.0328871
205,0.0328212
206,0.0327555
207,0.0326899
208,0.0326245
209,0.0325592
210,0.0324941
211,0.0324291
212,0.0323642
213,0.0322995
214,0.032235
215,0.0321706
216,0.0321063
217,0.0320422
218,0.0319782
219,0.0319144
220,0.0318507
221,0.0317871
222,0.0317237
223,0.0316605
224,0.0315974
225,0.0315344
226,0.0314715
227,0.0314088
228,0.0313463
229,0.0312839
230,0.0312216
231,0.0311595
232,0.0310975
233,0.0310356
234,0.0309739
235,0.0309123
236,0.0308509
237,0.0307896
238,0.0307284
239,0.0306674
240,0.0306065
241,0.0305457
242,0.0304851
243,0.0304246
244,0.0303643
245,0.0303041
246,0.030244
247,0.0301841
248,0.0301243
249,0.0300646
250,0.0300051
251,0.0299457
252,0.0298864
253,0.0298273
254,0.0297683
255,0.0297094
256,0.0296506
257,0.029592
258,0.0295336
259,0.0294752
260,0.029417
261,0.0293589
262,0.029301
263,0.0292431
264,0.0291854
265,0.0291279
266,0.0290704
267,0.0290131
268,0.028956
269,0.0288989
270,0.028842
271,0.0287852
272,0.0287285
273,0.028672
274,0.0286156
275,0.0285593
276,0.0285031
277,0.0284471
278,0.0283912
279,0.0283354
280,0.0282798
281,0.0282242
282,0.0281688
283,0.0281136
284,0.0280584
285,0.0280034
286,0.0279485
287,0.0278937
288,0.027839
289,0.0277845
290,0.0277301
291,0.0276758
292,0.0276216
293,0.0275675
294,0.0275136
295,0.0274598
296,0.0274061
297,0.0273525
298,0.0272991
299,0.0272458
300,0.0271926
301,0.0271395
302,0.0270865
303,0.0270337
304,0.0269809
305,0.0269283
306,0.0268758
307,0.0268234
308,0.0267712
309,0.026719
310,0.026667
311,0.0266151
312,0.0265633
313,0.0265116
314,0.0264601
315,0.0264086
316,0.0263573
317,0.0263061
318,0.026255
319,0.026204
320,0.0261532
321,0.0261024
322,0.0260518
323,0.0260012
324,0.0259508
325,0.0259005
326,0.0258504
327,0.0258003
328,0.0257503
329,0.0257005
330,0.0256507
331,0.0256011
332,0.0255516
333,0.0255022
334,0.0254529
335,0.0254037
336,0.0253547
337,0.0253057
338,0.0252569
339,0.0252081
340,0.0251595
341,0.025111
342,0.0250626
343,0.0250143
344,0.0249661
345,0.024918
346,0.02487
347,0.0248222
348,0.0247744
349,0.0247268
350,0.0246792
351,0.0246318
352,0.0245845
353,0.0245372
354,0.0244901
355,0.0244431
356,0.0243962
357,0.0243494
358,0.0243027
359,0.0242561
360,0.0242096
361,0.0241633
362,0.024117
363,0.0240708
364,0.0240247
365,0.0239788
366,0.0239329
367,0.0238872
368,0.0238415
369,0.023796
370,0.0237505
371,0.0237052
372,0.0236599
373,0.0236148
374,0.0235697
375,0.0235248
376,0.02348
377,0.0234352
378,0.0233906
379,0.0233461
380,0.0233016
381,0.0232573
382,0.0232131
383,0.0231689
384,0.0231249
385,0.023081
386,0.0230371
387,0.0229934
388,0.0229497
389,0.0229062
390,0.0228628
391,0.0228194
392,0.0227762
393,0.022733
394,0.02269
395,0.022647
396,0.0226041
397,0.0225614
398,0.0225187
399,0.0224762
400,0.0224337
401,0.0223913
402,0.022349
403,0.0223068
404,0.0222647
405,0.0222227
406,0.0221808
407,0.022139
408,0.0220973
409,0.0220557
410,0.0220142
411,0.0219728
412,0.0219314
413,0.0218902
414,0.021849
415,0.021808
416,0.021767
417,0.0217261
418,0.0216853
419,0.0216447
420,0.0216041
421,0.0215636
422,0.0215231
423,0.0214828
424,0.0214426
425,0.0214025
426,0.0213624
427,0.0213224
428,0.0212826
429,0.0212428
430,0.0212031
431,0.0211635
432,0.021124
433,0.0210846
434,0.0210452
435,0.021006
436,0.0209669
437,0.0209278
438,0.0208888
439,0.0208499
440,0.0208111
441,0.0207724
442,0.0207338
443,0.0206952
444,0.0206568
445,0.0206184
446,0.0205802
447,0.020542
448,0.0205039
449,0.0204658
450,0.0204279
451,0.0203901
452,0.0203523
453,0.0203146
454,0.020277
455,0.0202395
456,0.0202021
457,0.0201648
458,0.0201275
459,0.0200903
460,0.0200533
461,0.0200163
462,0.0199793
463,0.0199425
464,0.0199058
465,0.0198691
466,0.0198325
467,0.019796
468,0.0197596
469,0.0197233
470,0.019687
471,0.0196508
472,0.0196148
473,0.0195788
474,0.0195428
475,0.019507
476,0.0194712
477,0.0194355
478,0.0193999
479,0.0193644
480,0.019329
481,0.0192936
482,0.0192583
483,0.0192231
484,0.019188
485,0.019153
486,0.019118
487,0.0190831
488,0.0190483
489,0.0190136
490,0.018979
491,0.0189444
492,0.0189099
493,0.0188755
494,0.0188412
495,0.0188069
496,0.0187727
497,0.0187386
498,0.0187046
499,0.0186707
500,0.0186368
501,0.018603
502,0.0185693
503,0.0185357
504,0.0185021
505,0.0184686
506,0.0184352
507,0.0184019
508,0.0183686
509,0.0183354
510,0.0183023
511,0.0182693
512,0.0182363
513,0.0182035
514,0.0181707
515,0.0181379
516,0.0181053
517,0.0180727
518,0.0180402
519,0.0180077
520,0.0179754
521,0.0179431
522,0.0179109
523,0.0178787
524,0.0178466
525,0.0178146
526,0.0177827
527,0.0177509
528,0.0177191
529,0.0176874
530,0.0176557
531,0.0176242
532,0.0175927
533,0.0175613
534,0.0175299
535,0.0174986
536,0.0174674
537,0.0174363
538,0.0174052
539,0.0173742
540,0.0173433
541,0.0173125
542,0.0172817
543,0.017251
544,0.0172203
545,0.0171898
546,0.0171592
547,0.0171288
548,0.0170984
549,0.0170681
550,0.0170379
551,0.0170078
552,0.0169777
553,0.0169476
554,0.0169177
555,0.0168878
556,0.016858
557,0.0168282
558,0.0167986
559,0.0167689
560,0.0167394
561,0.0167099
562,0.0166805
563,0.0166512
564,0.0166219
565,0.0165927
566,0.0165635
567,0.0165344
568,0.0165054
569,0.0164765
570,0.0164476
571,0.0164188
572,0.01639
573,0.0163613
574,0.0163327
575,0.0163042
576,0.0162757
577,0.0162473
578,0.0162189
579,0.0161906
580,0.0161624
581,0.0161342
582,0.0161061
583,0.0160781
584,0.0160501
585,0.0160222
586,0.0159943
587,0.0159666
588,0.0159388
589,0.0159112
590,0.0158836
