environment | time (second),solute_concentrations | C_m_Na (mmol_per_cm3)
0,75
1,74.8389
2,74.6796
3,74.5215
4,74.3643
5,74.20755
6,74.0514
7,73.8957
8,73.74045
9,73.58565
10,73.43115
11,73.2771
12,73.1235
13,72.97035
14,72.81735
15,72.66495
16,72.51285
17,72.36105
18,72.2097
19,72.05865
20,71.9079
21,71.7576
22,71.6076
23,71.45805
24,71.3088
25,71.16
26,71.01135
27,70.86315
28,70.7154
29,70.5678
30,70.42065
31,70.27395
32,70.1274
33,69.9813
34,69.8355
35,69.69015
36,69.5451
37,69.40035
38,69.2559
39,69.11175
40,68.96805
41,68.82465
42,68.68155
43,68.5389
44,68.3964
45,68.25435
46,68.1126
47,67.9713
48,67.83015
49,67.68945
50,67.5489
51,67.4088
52,67.269
53,67.12965
54,66.99045
55,66.8517
56,66.7131
57,66.57495
58,66.4371
59,66.29955
60,66.1623
61,66.0255
62,65.88885
63,65.7525
64,65.6166
65,65.481
66,65.34555
67,65.21055
68,65.07585
69,64.94145
70,64.80735
71,64.67355
72,64.54005
73,64.40685
74,64.27395
75,64.14135
76,64.00905
77,63.8772
78,63.7455
79,63.6141
80,63.483
81,63.3522
82,63.22185
83,63.09165
84,62.96175
85,62.83215
86,62.70285
87,62.57385
88,62.44515
89,62.31675
90,62.18865
91,62.06085
92,61.93335
93,61.80615
94,61.6791
95,61.5525
96,61.42605
97,61.30005
98,61.1742
99,61.04865
100,60.92355
101,60.7986
102,60.67395
103,60.54945
104,60.4254
105,60.30165
106,60.17805
107,60.05475
108,59.9319
109,59.8092
110,59.6868
111,59.56455
112,59.44275
113,59.3211
114,59.1999
115,59.07885
116,58.95795
117,58.8375
118,58.71735
119,58.59735
120,58.47765
121,58.35825
122,58.23915
123,58.12035
124,58.0017
125,57.88335
126,57.7653
127,57.64755
128,57.52995
129,57.41265
130,57.29565
131,57.17895
132,57.06255
133,56.9463
134,56.83035
135,56.7147
136,56.5992
137,56.48415
138,56.36925
139,56.2545
140,56.1402
141,56.02605
142,55.9122
143,55.7985
144,55.68525
145,55.57215
146,55.4592
147,55.3467
148,55.23435
149,55.12215
150,55.0104
151,54.8988
152,54.7875
153,54.67635
154,54.5655
155,54.45495
156,54.3447
157,54.2346
158,54.1248
159,54.01515
160,53.9058
161,53.79675
162,53.68785
163,53.57925
164,53.47095
165,53.3628
166,53.25495
167,53.14725
168,53.03985
169,52.93275
170,52.8258
171,52.71915
172,52.6128
173,52.5066
174,52.4007
175,52.29495
176,52.1895
177,52.0842
178,51.9792
179,51.8745
180,51.76995
181,51.6657
182,51.5616
183,51.4578
184,51.35415
185,51.2508
186,51.14775
187,51.04485
188,50.9421
189,50.8398
190,50.7375
191,50.6355
192,50.5338
193,50.43225
194,50.331
195,50.2299
196,50.1291
197,50.0286
198,49.9281
199,49.82805
200,49.72815
201,49.6284
202,49.52895
203,49.42965
204,49.33065
205,49.2318
206,49.13325
207,49.03485
208,48.93675
209,48.8388
210,48.74115
211,48.64365
212,48.5463
213,48.44925
214,48.3525
215,48.2559
216,48.15945
217,48.0633
218,47.9673
219,47.8716
220,47.77605
221,47.68065
222,47.58555
223,47.49075
224,47.3961
225,47.3016
226,47.20725
227,47.1132
228,47.01945
229,46.92585
230,46.8324
231,46.73925
232,46.64625
233,46.5534
234,46.46085
235,46.36845
236,46.27635
237,46.1844
238,46.0926
239,46.0011
240,45.90975
241,45.81855
242,45.72765
243,45.6369
244,45.54645
245,45.45615
246,45.366
247,45.27615
248,45.18645
249,45.0969
250,45.00765
251,44.91855
252,44.8296
253,44.74095
254,44.65245
255,44.5641
256,44.4759
257,44.388
258,44.3004
259,44.2128
260,44.1255
261,44.03835
262,43.9515
263,43.86465
