membrane | V (millivolt),background_current | i_b (microA_per_cm2)
-44.99,-0.192709
-42.49,-0.233882
-39.99,-0.280021
-37.49,-0.32923
-34.99,-0.378741
-32.49,-0.425982
-29.99,-0.470108
-27.49,-0.512559
-24.99,-0.555875
-22.49,-0.601916
-19.99,-0.650983
-17.49,-0.702002
-14.99,-0.753123
-12.49,-0.802298
-9.99,-0.847691
-7.49,-0.887905
-4.99,-0.922063
-2.49,-0.949773
0.01,-0.971043
2.51,-0.98617
5.01,-0.995631
7.51,-1
10.01,-0.999881
12.51,-0.995864
15.01,-0.9885
17.51,-0.978287
20.01,-0.965662
22.51,-0.951004
25.01,-0.934638
27.51,-0.916838
30.01,-0.897832
32.51,-0.877814
35.01,-0.856942
37.51,-0.835348
40.01,-0.81314
42.51,-0.790408
45.01,-0.767225
47.51,-0.743653
50.01,-0.719741
52.51,-0.69553
55.01,-0.671055
57.51,-0.646344
60.01,-0.62142
62.51,-0.596302
65.01,-0.571008
67.51,-0.54555
70.01,-0.519941
72.51,-0.49419
75.01,-0.468306
77.51,-0.442297
80.01,-0.416168
