environment | time (second),ion_concentrations | glucose_i (M),ion_concentrations | glucose_o (M),ion_concentrations | Na_i (M),ion_concentrations | Na_o (M),ion_concentrations | V (volt),ion_concentrations | V' (volt/second),kinetic_equations | C_1 (umol),kinetic_equations | C_1' (umol/second),kinetic_equations | C_2 (umol),kinetic_equations | C_2' (umol/second),kinetic_equations | C_3 (umol),kinetic_equations | C_3' (umol/second),kinetic_equations | C_4 (umol),kinetic_equations | C_4' (umol/second),kinetic_equations | C_5 (umol),kinetic_equations | C_5' (umol/second),kinetic_equations | C_6 (umol),kinetic_equations | C_6_temp (umol),kinetic_equations | C_6_temp' (umol/second),king_altman_states | C1 (umol),king_altman_states | C1_sum (per_second5),king_altman_states | C2 (umol),king_altman_states | C2_sum (per_second5),king_altman_states | C3 (umol),king_altman_states | C3_sum (per_second5),king_altman_states | C4 (umol),king_altman_states | C4_sum (per_second5),king_altman_states | C5 (umol),king_altman_states | C5_sum (per_second5),king_altman_states | C6 (umol),king_altman_states | C6_sum (per_second5),king_altman_states | C_sum (per_second5),NBC_current | I_NaGl_pSS (uA),NBC_current | I_NaGl_SS (uA),NBC_current | J_Na (umol_per_second),parameters | alpha_p (dimensionless),parameters | alpha_pp (dimensionless),parameters | area (um2),parameters | C_T (umol),parameters | delta (dimensionless),parameters | F (C_per_mol),parameters | k0_12 (per_M_per_second),parameters | k0_16 (per_second),parameters | k0_21 (per_second),parameters | k0_23 (per_M_per_second),parameters | k0_25 (per_second),parameters | k0_32 (per_second),parameters | k0_34 (per_second),parameters | k0_43 (per_second),parameters | k0_45 (per_second),parameters | k0_52 (per_second),parameters | k0_54 (per_M_per_second),parameters | k0_56 (per_second),parameters | k0_61 (per_second),parameters | k0_65 (per_M_per_second),parameters | mu (dimensionless),parameters | n (dimensionless),parameters | N_Avo (per_mol),parameters | N_C (dimensionless),parameters | R (J_per_K_per_mol),parameters | T (kelvin),parameters | z_c (dimensionless),parameters | z_Na (dimensionless),phenomonological_constants | alpha (M2),phenomonological_constants | beta (M),phenomonological_constants | chi (M),phenomonological_constants | epsilon (per_second),phenomonological_constants | gamma (M2_per_second),phenomonological_constants | Imax_gluc (uA),phenomonological_constants | Imax_Na (uA),phenomonological_constants | Khalf_gluc (M),phenomonological_constants | Khalf_Na (M),phenomonological_constants | lambda (per_M2_per_second5),phenomonological_constants | phi (M_per_second),rate_constants | k0_54_temp (per_M_per_second),rate_constants | k_12 (per_second),rate_constants | k_16 (per_second),rate_constants | k_21 (per_second),rate_constants | k_23 (per_second),rate_constants | k_25 (per_second),rate_constants | k_32 (per_second),rate_constants | k_34 (per_second),rate_constants | k_43 (per_second),rate_constants | k_45 (per_second),rate_constants | k_52 (per_second),rate_constants | k_52_temp (per_second),rate_constants | k_54 (per_second),rate_constants | k_56 (per_second),rate_constants | k_61 (per_second),rate_constants | k_65 (per_second),rate_constants | ks_12 (per_M_per_second),rate_constants | Na_o (M),rate_constants | Na_i (M)
0,0,0.001,0.01,0.1,-0.15,0.0001,3.92E-09,1.04E-09,1.02E-07,5.03E-10,1.52E-08,6.00E-11,8.91E-10,-2.00E-11,1.49E-08,2.18E-10,3.07E-09,3.07E-09,-2.14E-10,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.0687705,-0.0686499,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.6154,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479511,0.00301401,-21.0718,1.09E-09,-0.564487,-0.141505,0.0031172,0.00306272,1.06E+16,-3.00E-05,6.72E+06,4643.45,14.0101,172.286,10,0.01,20,50,50,800,0.168,0.17,0,48,249.82,0.5,46434.5,0.1,0.01
0.001,0,0.001,0.01,0.1,-0.15,0.0001,3.92E-09,3.02E-10,1.02E-07,9.51E-10,1.52E-08,6.28E-11,8.91E-10,-1.20E-11,1.49E-08,2.04E-10,3.07E-09,3.07E-09,-1.71E-10,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.0687641,-0.0686499,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.6154,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479512,0.00301401,-21.0718,1.09E-09,-0.564487,-0.141505,0.0031172,0.00306272,1.06E+16,-3.00E-05,6.72E+06,4643.45,14.0101,172.286,10,0.01,20,50,50,800,0.168,0.17,0,48,249.819,0.5,46434.5,0.1,0.01
0.002,0,0.001,0.01,0.1,-0.15,0.0001,3.92E-09,1.95E-10,1.02E-07,8.34E-10,1.52E-08,6.43E-11,8.91E-10,-7.97E-12,1.49E-08,1.95E-10,3.07E-09,3.07E-09,-1.40E-10,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.0687461,-0.0686499,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.61539,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479512,0.00301401,-21.0718,1.09E-09,-0.564486,-0.141505,0.0031172,0.00306273,1.06E+16,-3.00E-05,6.72E+06,4643.44,14.0101,172.286,10,0.01,20,50,50,800,0.168,0.17,0,48,249.819,0.5,46434.4,0.1,0.01
0.003,0,0.001,0.01,0.1,-0.15,0.0001,3.92E-09,8.70E-11,1.02E-07,7.17E-10,1.52E-08,6.59E-11,8.91E-10,-3.94E-12,1.49E-08,1.85E-10,3.07E-09,3.07E-09,-1.09E-10,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.068728,-0.0686498,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.61539,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479512,0.00301401,-21.0718,1.09E-09,-0.564486,-0.141505,0.0031172,0.00306273,1.06E+16,-3.00E-05,6.72E+06,4643.44,14.0102,172.286,10,0.01,20,50,50,800,0.168,0.17,0,48,249.819,0.5,46434.4,0.1,0.01
0.004,0,0.001,0.01,0.1,-0.15,0.0001,3.92E-09,3.45E-12,1.02E-07,6.23E-10,1.52E-08,6.67E-11,8.91E-10,-7.93E-13,1.49E-08,1.77E-10,3.07E-09,3.07E-09,-8.46E-11,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.0687136,-0.0686498,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.61539,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479512,0.00301401,-21.0718,1.09E-09,-0.564486,-0.141505,0.0031172,0.00306273,1.06E+16,-3.00E-05,6.72E+06,4643.44,14.0102,172.286,10,0.01,20,50,50,800,0.168,0.17,0,48,249.818,0.5,46434.4,0.1,0.01
0.005,0,0.001,0.01,0.1,-0.149999,0.0001,3.92E-09,3.32E-12,1.02E-07,6.04E-10,1.52E-08,6.53E-11,8.91E-10,-7.41E-13,1.49E-08,1.74E-10,3.07E-09,3.07E-09,-8.19E-11,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.0687117,-0.0686498,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.61538,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479513,0.00301401,-21.0718,1.09E-09,-0.564486,-0.141505,0.0031172,0.00306274,1.06E+16,-3.00E-05,6.72E+06,4643.44,14.0102,172.286,10,0.01,20,50,50,800,0.168,0.17,0,48,249.818,0.5,46434.4,0.1,0.01
0.006,0,0.001,0.01,0.1,-0.149999,0.0001,3.92E-09,3.18E-12,1.02E-07,5.85E-10,1.52E-08,6.39E-11,8.91E-10,-6.88E-13,1.49E-08,1.71E-10,3.07E-09,3.07E-09,-7.92E-11,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.0687098,-0.0686498,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.61538,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479513,0.003014,-21.0718,1.09E-09,-0.564486,-0.141505,0.0031172,0.00306274,1.06E+16,-3.00E-05,6.72E+06,4643.43,14.0102,172.286,10,0.01,20,50,50,800,0.168,0.17,0,48,249.818,0.5,46434.3,0.1,0.01
0.007,0,0.001,0.01,0.1,-0.149999,0.0001,3.92E-09,3.05E-12,1.02E-07,5.66E-10,1.52E-08,6.25E-11,8.91E-10,-6.35E-13,1.49E-08,1.68E-10,3.07E-09,3.07E-09,-7.65E-11,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.0687079,-0.0686498,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.61538,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479513,0.003014,-21.0718,1.09E-09,-0.564486,-0.141505,0.0031172,0.00306275,1.06E+16,-3.00E-05,6.72E+06,4643.43,14.0102,172.286,10,0.01,20,50,50,800,0.168,0.17,0,48,249.817,0.5,46434.3,0.1,0.01
0.008,0,0.001,0.01,0.1,-0.149999,0.0001,3.92E-09,2.92E-12,1.02E-07,5.47E-10,1.52E-08,6.10E-11,8.91E-10,-5.83E-13,1.49E-08,1.65E-10,3.07E-09,3.07E-09,-7.38E-11,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.068706,-0.0686498,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.61537,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479514,0.003014,-21.0718,1.09E-09,-0.564486,-0.141505,0.0031172,0.00306275,1.06E+16,-3.00E-05,6.72E+06,4643.43,14.0103,172.286,10,0.01,20,50,50,800,0.168,0.17,0,48,249.817,0.5,46434.3,0.1,0.01
0.009,0,0.001,0.01,0.1,-0.149999,0.0001,3.92E-09,2.78E-12,1.02E-07,5.28E-10,1.52E-08,5.96E-11,8.91E-10,-5.30E-13,1.49E-08,1.62E-10,3.07E-09,3.07E-09,-7.10E-11,3.92E-09,1.23E+11,1.02E-07,3.18E+12,1.52E-08,4.75E+11,8.91E-10,2.79E+10,1.49E-08,4.66E+11,3.07E-09,9.62E+10,4.37E+12,-0.0687041,-0.0686498,7.12E-07,0.3,0,1.00E+06,1.39E-07,0.7,96485.3,20000,100,400,10000,0.01,20,50,50,800,0.17,6.70E+06,48,35,50,-5.61537,1,6.02E+23,8.40E+10,8.314,310,-1,1,1.18E-05,0.000479514,0.003014,-21.0718,1.09E-09,-0.564486,-0.141505,0.0031172,0.00306275,1.06E+16,-3.00E-05,6.72E+06,4643.43,14.0103,172.287,10,0.01,20,50,50,800,0.168,0.17,0,48,249.817,0.5,46434.3,0.1,0.01
