ion_concentrations | V (volt),NBC_current | I_NaGl_SS (uA)
-0.15,-0.0686499
-0.1498,-0.0686411
-0.1496,-0.0686323
-0.1494,-0.0686234
-0.1492,-0.0686146
-0.149,-0.0686057
-0.1488,-0.0685968
-0.1486,-0.0685878
-0.1484,-0.0685789
-0.1482,-0.0685699
-0.148,-0.0685609
-0.1478,-0.0685519
-0.1476,-0.0685428
-0.1474,-0.0685338
-0.1472,-0.0685247
-0.147,-0.0685155
-0.1468,-0.0685064
-0.1466,-0.0684972
-0.1464,-0.068488
-0.1462,-0.0684788
-0.146,-0.0684696
-0.1458,-0.0684603
-0.1456,-0.068451
-0.1454,-0.0684417
-0.1452,-0.0684324
-0.145,-0.068423
-0.1448,-0.0684136
-0.1446,-0.0684042
-0.1444,-0.0683948
-0.1442,-0.0683853
-0.144,-0.0683758
-0.1438,-0.0683663
-0.1436,-0.0683567
-0.1434,-0.0683472
-0.1432,-0.0683376
-0.143,-0.068328
-0.1428,-0.0683183
-0.1426,-0.0683086
-0.1424,-0.0682989
-0.1422,-0.0682892
-0.142,-0.0682795
-0.1418,-0.0682697
-0.1416,-0.0682599
-0.1414,-0.0682501
-0.1412,-0.0682402
-0.141,-0.0682303
-0.1408,-0.0682204
-0.1406,-0.0682105
-0.1404,-0.0682005
-0.1402,-0.0681906
-0.14,-0.0681805
-0.1398,-0.0681705
-0.1396,-0.0681604
-0.1394,-0.0681503
-0.1392,-0.0681402
-0.139,-0.0681301
-0.1388,-0.0681199
-0.1386,-0.0681097
-0.1384,-0.0680994
-0.1382,-0.0680892
-0.138,-0.0680789
-0.1378,-0.0680686
-0.1376,-0.0680582
-0.1374,-0.0680478
-0.1372,-0.0680374
-0.137,-0.068027
-0.1368,-0.0680166
-0.1366,-0.0680061
-0.1364,-0.0679955
-0.1362,-0.067985
-0.136,-0.0679744
-0.1358,-0.0679638
-0.1356,-0.0679532
-0.1354,-0.0679425
-0.1352,-0.0679318
-0.135,-0.0679211
-0.1348,-0.0679104
-0.1346,-0.0678996
-0.1344,-0.0678888
-0.1342,-0.0678779
-0.134,-0.0678671
-0.1338,-0.0678562
-0.1336,-0.0678452
-0.1334,-0.0678343
-0.1332,-0.0678233
-0.133,-0.0678123
-0.1328,-0.0678012
-0.1326,-0.0677901
-0.1324,-0.067779
-0.1322,-0.0677679
-0.132,-0.0677567
-0.1318,-0.0677455
-0.1316,-0.0677343
-0.1314,-0.067723
-0.1312,-0.0677117
-0.131,-0.0677004
-0.1308,-0.067689
-0.1306,-0.0676776
-0.1304,-0.0676662
-0.1302,-0.0676547
-0.13,-0.0676432
-0.1298,-0.0676317
-0.1296,-0.0676201
-0.1294,-0.0676086
-0.1292,-0.0675969
-0.129,-0.0675853
-0.1288,-0.0675736
-0.1286,-0.0675619
-0.1284,-0.0675501
-0.1282,-0.0675383
-0.128,-0.0675265
-0.1278,-0.0675147
-0.1276,-0.0675028
-0.1274,-0.0674909
-0.1272,-0.0674789
-0.127,-0.0674669
-0.1268,-0.0674549
-0.1266,-0.0674428
-0.1264,-0.0674308
-0.1262,-0.0674186
-0.126,-0.0674065
-0.1258,-0.0673943
-0.1256,-0.067382
-0.1254,-0.0673698
-0.1252,-0.0673575
-0.125,-0.0673452
-0.1248,-0.0673328
-0.1246,-0.0673204
-0.1244,-0.0673079
-0.1242,-0.0672955
-0.124,-0.0672829
-0.1238,-0.0672704
-0.1236,-0.0672578
-0.1234,-0.0672452
-0.1232,-0.0672325
-0.123,-0.0672198
-0.1228,-0.0672071
-0.1226,-0.0671944
-0.1224,-0.0671815
-0.1222,-0.0671687
-0.122,-0.0671558
-0.1218,-0.0671429
-0.1216,-0.06713
-0.1214,-0.067117
-0.1212,-0.0671039
-0.121,-0.0670909
-0.1208,-0.0670778
-0.1206,-0.0670646
-0.1204,-0.0670515
-0.1202,-0.0670382
-0.12,-0.067025
-0.1198,-0.0670117
-0.1196,-0.0669983
-0.1194,-0.066985
-0.1192,-0.0669716
-0.119,-0.0669581
-0.1188,-0.0669446
-0.1186,-0.0669311
-0.1184,-0.0669175
-0.1182,-0.0669039
-0.118,-0.0668902
-0.1178,-0.0668766
-0.1176,-0.0668628
-0.1174,-0.066849
-0.1172,-0.0668352
-0.117,-0.0668214
-0.1168,-0.0668075
-0.1166,-0.0667935
-0.1164,-0.0667796
-0.1162,-0.0667655
-0.116,-0.0667515
-0.1158,-0.0667374
-0.1156,-0.0667232
-0.1154,-0.066709
-0.1152,-0.0666948
-0.115,-0.0666805
-0.1148,-0.0666662
-0.1146,-0.0666519
-0.1144,-0.0666375
-0.1142,-0.066623
-0.114,-0.0666085
-0.1138,-0.066594
-0.1136,-0.0665794
-0.1134,-0.0665648
-0.1132,-0.0665501
-0.113,-0.0665354
-0.1128,-0.0665207
-0.1126,-0.0665059
-0.1124,-0.066491
-0.1122,-0.0664762
-0.112,-0.0664612
-0.1118,-0.0664462
-0.1116,-0.0664312
-0.1114,-0.0664162
-0.1112,-0.066401
-0.111,-0.0663859
-0.1108,-0.0663707
-0.1106,-0.0663554
-0.1104,-0.0663401
-0.1102,-0.0663248
-0.11,-0.0663094
-0.1098,-0.0662939
-0.1096,-0.0662785
-0.1094,-0.0662629
-0.1092,-0.0662473
-0.109,-0.0662317
-0.1088,-0.066216
-0.1086,-0.0662003
-0.1084,-0.0661845
-0.1082,-0.0661687
-0.108,-0.0661528
-0.1078,-0.0661369
-0.1076,-0.0661209
-0.1074,-0.0661049
-0.1072,-0.0660888
-0.107,-0.0660727
-0.1068,-0.0660566
-0.1066,-0.0660403
-0.1064,-0.0660241
-0.1062,-0.0660077
-0.106,-0.0659914
-0.1058,-0.065975
-0.1056,-0.0659585
-0.1054,-0.065942
-0.1052,-0.0659254
-0.105,-0.0659087
-0.1048,-0.0658921
-0.1046,-0.0658753
-0.1044,-0.0658585
-0.1042,-0.0658417
-0.104,-0.0658248
-0.1038,-0.0658079
-0.1036,-0.0657909
-0.1034,-0.0657738
-0.1032,-0.0657567
-0.103,-0.0657395
-0.1028,-0.0657223
-0.1026,-0.0657051
-0.1024,-0.0656877
-0.1022,-0.0656704
-0.102,-0.0656529
-0.1018,-0.0656354
-0.1016,-0.0656179
-0.1014,-0.0656003
-0.1012,-0.0655826
-0.101,-0.0655649
-0.1008,-0.0655471
-0.1006,-0.0655293
-0.1004,-0.0655114
-0.1002,-0.0654935
-0.1,-0.0654755
-0.0998,-0.0654574
-0.0996,-0.0654393
-0.0994,-0.0654212
-0.0992,-0.0654029
-0.099,-0.0653846
-0.0988,-0.0653663
-0.0986,-0.0653479
-0.0984,-0.0653294
-0.0982,-0.0653109
-0.098,-0.0652923
-0.0978,-0.0652736
-0.0976,-0.0652549
-0.0974,-0.0652362
-0.0972,-0.0652173
-0.097,-0.0651984
-0.0968,-0.0651795
-0.0966,-0.0651605
-0.0964,-0.0651414
-0.0962,-0.0651223
-0.096,-0.0651031
-0.0958,-0.0650838
-0.0956,-0.0650645
-0.0954,-0.0650451
-0.0952,-0.0650256
-0.095,-0.0650061
-0.0948,-0.0649865
-0.0946,-0.0649669
-0.0944,-0.0649471
-0.0942,-0.0649274
-0.094,-0.0649075
-0.0938,-0.0648876
-0.0936,-0.0648676
-0.0934,-0.0648476
-0.0932,-0.0648275
-0.093,-0.0648073
-0.0928,-0.0647871
-0.0926,-0.0647668
-0.0924,-0.0647464
-0.0922,-0.064726
-0.092,-0.0647055
-0.0918,-0.0646849
-0.0916,-0.0646642
-0.0914,-0.0646435
-0.0912,-0.0646227
-0.091,-0.0646019
-0.0908,-0.0645809
-0.0906,-0.0645599
-0.0904,-0.0645389
-0.0902,-0.0645177
-0.09,-0.0644965
-0.0898,-0.0644753
-0.0896,-0.0644539
