Environment | time (ms),cell | V (mV)
0,-87.1698
1,-73.1307
2,-59.5688
3,11.6922
4,33.9291
5,29.7097
6,25.6738
7,22.4561
8,20.0788
9,18.3775
10,17.178
11,16.3396
12,15.7578
13,15.3581
14,15.0883
15,14.9125
16,14.806
17,14.751
18,14.7353
19,14.7495
20,14.7869
21,14.8421
22,14.9111
23,14.9906
24,15.0779
25,15.1708
26,15.2677
27,15.3669
28,15.4671
29,15.5673
30,15.6664
31,15.7636
32,15.8582
33,15.9495
34,16.0368
35,16.1196
36,16.1974
37,16.2697
38,16.3361
39,16.3963
40,16.4498
41,16.4964
42,16.5357
43,16.5675
44,16.5915
45,16.6076
46,16.6154
47,16.6149
48,16.6059
49,16.5883
50,16.5619
51,16.5267
52,16.4825
53,16.4293
54,16.3671
55,16.2959
56,16.2155
57,16.126
58,16.0275
59,15.9199
60,15.8033
61,15.6776
62,15.5431
63,15.3996
64,15.2473
65,15.0862
66,14.9165
67,14.7382
68,14.5513
69,14.356
70,14.1524
71,13.9406
72,13.7206
73,13.4925
74,13.2565
75,13.0127
76,12.761
77,12.5017
78,12.2348
79,11.9603
80,11.6784
81,11.3891
82,11.0926
83,10.7887
84,10.4777
85,10.1594
86,9.83403
87,9.50152
88,9.16188
89,8.81512
90,8.4612
91,8.10009
92,7.73177
93,7.35622
94,6.9735
95,6.58362
96,6.1866
97,5.78244
98,5.37109
99,4.9525
100,4.52659
101,4.09326
102,3.6524
103,3.20385
104,2.74746
105,2.28303
106,1.81037
107,1.32924
108,0.839395
109,0.340577
110,-0.1675
111,-0.685135
112,-1.21264
113,-1.75034
114,-2.29858
115,-2.85769
116,-3.42803
117,-4.00994
118,-4.60377
119,-5.20986
120,-5.82853
121,-6.46008
122,-7.1048
123,-7.76293
124,-8.43469
125,-9.12024
126,-9.81971
127,-10.5332
128,-11.2606
129,-12.002
130,-12.7572
131,-13.526
132,-14.3082
133,-15.1035
134,-15.9115
135,-16.732
136,-17.5644
137,-18.4085
138,-19.2639
139,-20.1304
140,-21.0078
141,-21.8961
142,-22.7953
143,-23.7057
144,-24.6274
145,-25.561
146,-26.5066
147,-27.4645
148,-28.4348
149,-29.4176
150,-30.4126
151,-31.4194
152,-32.4373
153,-33.4658
154,-34.504
155,-35.5511
156,-36.6063
157,-37.6692
158,-38.7392
159,-39.816
160,-40.8996
161,-41.99
162,-43.0873
163,-44.1917
164,-45.3038
165,-46.4239
166,-47.5525
167,-48.6904
168,-49.8383
169,-50.9968
170,-52.1669
171,-53.3493
172,-54.5446
173,-55.7533
174,-56.9758
175,-58.2121
176,-59.4617
177,-60.7235
178,-61.9961
179,-63.277
180,-64.563
181,-65.8497
182,-67.1319
183,-68.4033
184,-69.6568
185,-70.8846
186,-72.0786
187,-73.2304
188,-74.3325
189,-75.378
190,-76.3613
191,-77.2782
192,-78.1263
193,-78.9048
194,-79.6142
195,-80.2568
196,-80.8354
197,-81.3539
198,-81.8168
199,-82.2286
200,-82.594
201,-82.9178
202,-83.2044
203,-83.4579
204,-83.6822
205,-83.8809
206,-84.0572
207,-84.2139
208,-84.3536
209,-84.4784
210,-84.5904
211,-84.6913
212,-84.7825
213,-84.8653
214,-84.9409
215,-85.0103
216,-85.0742
217,-85.1333
218,-85.1883
219,-85.2397
220,-85.288
221,-85.3335
222,-85.3765
223,-85.4173
224,-85.4563
225,-85.4935
226,-85.5291
227,-85.5634
228,-85.5964
229,-85.6283
230,-85.6591
231,-85.689
232,-85.718
233,-85.7461
234,-85.7735
235,-85.8001
236,-85.826
237,-85.8513
238,-85.876
239,-85.9002
240,-85.9237
241,-85.9467
242,-85.9693
243,-85.9913
244,-86.0128
245,-86.034
246,-86.0546
247,-86.0749
248,-86.0947
249,-86.1142
250,-86.1332
251,-86.1519
252,-86.1702
253,-86.1882
254,-86.2058
255,-86.2231
256,-86.2401
257,-86.2567
258,-86.2731
259,-86.2891
260,-86.3049
261,-86.3203
262,-86.3355
263,-86.3504
264,-86.3651
265,-86.3795
266,-86.3936
267,-86.4075
268,-86.4212
269,-86.4346
270,-86.4478
271,-86.4607
272,-86.4735
273,-86.486
274,-86.4984
275,-86.5105
276,-86.5224
277,-86.5341
278,-86.5457
279,-86.557
280,-86.5682
281,-86.5792
282,-86.59
283,-86.6006
284,-86.6111
285,-86.6214
286,-86.6316
287,-86.6416
288,-86.6515
289,-86.6612
290,-86.6707
291,-86.6801
292,-86.6894
293,-86.6985
294,-86.7076
295,-86.7164
296,-86.7252
297,-86.7338
298,-86.7423
299,-86.7506
300,-86.7589
301,-86.767
302,-86.7751
303,-86.783
304,-86.7908
305,-86.7985
306,-86.8061
307,-86.8135
308,-86.8209
309,-86.8281
310,-86.8353
311,-86.8423
312,-86.8492
313,-86.856
314,-86.8627
315,-86.8693
316,-86.8757
317,-86.8821
318,-86.8883
319,-86.8945
320,-86.9005
321,-86.9065
322,-86.9123
323,-86.918
324,-86.9237
325,-86.9292
326,-86.9347
327,-86.94
328,-86.9453
329,-86.9505
330,-86.9556
331,-86.9606
332,-86.9656
333,-86.9705
334,-86.9752
335,-86.9799
336,-86.9846
337,-86.9891
338,-86.9936
339,-86.998
340,-87.0024
341,-87.0067
342,-87.0109
343,-87.015
344,-87.0191
345,-87.0231
346,-87.0271
347,-87.031
348,-87.0348
349,-87.0386
350,-87.0423
351,-87.046
352,-87.0496
353,-87.0531
354,-87.0566
355,-87.0601
356,-87.0635
357,-87.0669
358,-87.0702
359,-87.0734
360,-87.0766
361,-87.0798
362,-87.0829
363,-87.086
364,-87.089
365,-87.092
366,-87.095
367,-87.0979
368,-87.1007
369,-87.1036
370,-87.1063
371,-87.1091
372,-87.1118
373,-87.1145
374,-87.1171
375,-87.1197
376,-87.1223
377,-87.1248
378,-87.1273
379,-87.1297
380,-87.1322
381,-87.1346
382,-87.1369
383,-87.1393
384,-87.1416
385,-87.1438
386,-87.1461
387,-87.1483
388,-87.1505
389,-87.1526
390,-87.1547
391,-87.1568
392,-87.1589
393,-87.161
394,-87.163
395,-87.165
396,-87.1669
397,-87.1689
398,-87.1708
399,-87.1727
400,-87.1746
401,-87.1764
402,-87.1782
403,-87.18
404,-87.1818
405,-87.1836
406,-87.1853
407,-87.187
408,-87.1887
409,-87.1904
410,-87.192
411,-87.1936
412,-87.1952
413,-87.1968
414,-87.1984
415,-87.2
416,-87.2015
417,-87.203
418,-87.2045
419,-87.206
420,-87.2074
421,-87.2089
422,-87.2103
423,-87.2117
424,-87.2131
425,-87.2145
426,-87.2159
427,-87.2172
428,-87.2185
429,-87.2198
430,-87.2211
431,-87.2224
432,-87.2237
433,-87.2249
434,-87.2262
435,-87.2274
436,-87.2286
437,-87.2298
438,-87.231
439,-87.2322
440,-87.2333
441,-87.2345
442,-87.2356
443,-87.2367
444,-87.2378
445,-87.2389
446,-87.24
447,-87.2411
448,-87.2421
449,-87.2432
450,-87.2442
451,-87.2452
452,-87.2462
453,-87.2472
454,-87.2482
455,-87.2492
456,-87.2502
457,-87.2511
458,-87.2521
459,-87.253
460,-87.2539
461,-87.2548
462,-87.2557
463,-87.2566
464,-87.2575
465,-87.2584
466,-87.2593
467,-87.2601
468,-87.261
469,-87.2618
470,-87.2627
471,-87.2635
472,-87.2643
473,-87.2651
474,-87.2659
475,-87.2667
476,-87.2675
477,-87.2682
478,-87.269
479,-87.2698
480,-87.2705
481,-87.2713
482,-87.272
483,-87.2727
484,-87.2734
485,-87.2742
486,-87.2749
487,-87.2756
488,-87.2763
489,-87.2769
490,-87.2776
491,-87.2783
492,-87.279
493,-87.2796
494,-87.2803
495,-87.2809
496,-87.2816
497,-87.2822
498,-87.2828
499,-87.2834
500,-87.284
501,-87.2847
502,-87.2853
503,-87.2859
504,-87.2864
505,-87.287
506,-87.2876
507,-87.2882
508,-87.2888
509,-87.2893
510,-87.2899
511,-87.2904
512,-87.291
513,-87.2915
514,-87.2921
515,-87.2926
516,-87.2931
517,-87.2937
518,-87.2942
519,-87.2947
520,-87.2952
521,-87.2957
522,-87.2962
523,-87.2967
524,-87.2972
525,-87.2977
526,-87.2982
527,-87.2987
528,-87.2991
529,-87.2996
530,-87.3001
531,-87.3005
532,-87.301
533,-87.3015
534,-87.3019
535,-87.3024
536,-87.3028
537,-87.3032
538,-87.3037
539,-87.3041
540,-87.3045
541,-87.305
542,-87.3054
543,-87.3058
544,-87.3062
545,-87.3066
546,-87.3071
547,-87.3075
548,-87.3079
549,-87.3083
550,-87.3087
551,-87.3091
552,-87.3094
553,-87.3098
554,-87.3102
555,-87.3106
556,-87.311
557,-87.3114
558,-87.3117
559,-87.3121
560,-87.3125
561,-87.3128
562,-87.3132
563,-87.3136
564,-87.3139
565,-87.3143
566,-87.3146
567,-87.315
568,-87.3153
569,-87.3157
570,-87.316
571,-87.3163
572,-87.3167
573,-87.317
574,-87.3174
575,-87.3177
576,-87.318
577,-87.3183
578,-87.3187
579,-87.319
580,-87.3193
581,-87.3196
582,-87.3199
583,-87.3203
584,-87.3206
585,-87.3209
586,-87.3212
587,-87.3215
588,-87.3218
589,-87.3221
590,-87.3224
591,-87.3227
592,-87.323
593,-87.3233
594,-87.3236
595,-87.3239
596,-87.3242
597,-87.3245
598,-87.3247
599,-87.325
600,-87.3253
601,-87.3256
602,-87.3259
603,-87.3262
604,-87.3264
605,-87.3267
606,-87.327
607,-87.3273
608,-87.3275
609,-87.3278
610,-87.3281
611,-87.3283
612,-87.3286
613,-87.3289
614,-87.3291
615,-87.3294
616,-87.3296
617,-87.3299
618,-87.3302
619,-87.3304
620,-87.3307
621,-87.3309
622,-87.3312
623,-87.3314
624,-87.3317
625,-87.3319
626,-87.3322
627,-87.3324
628,-87.3327
629,-87.3329
630,-87.3332
631,-87.3334
632,-87.3337
633,-87.3339
634,-87.3341
635,-87.3344
636,-87.3346
637,-87.3349
638,-87.3351
639,-87.3353
640,-87.3356
641,-87.3358
642,-87.336
643,-87.3363
644,-87.3365
645,-87.3367
646,-87.3369
647,-87.3372
648,-87.3374
649,-87.3376
650,-87.3379
651,-87.3381
652,-87.3383
653,-87.3385
654,-87.3388
655,-87.339
656,-87.3392
657,-87.3394
658,-87.3396
659,-87.3399
660,-87.3401
661,-87.3403
662,-87.3405
663,-87.3407
664,-87.3409
665,-87.3412
666,-87.3414
667,-87.3416
668,-87.3418
669,-87.342
670,-87.3422
671,-87.3424
672,-87.3426
673,-87.3429
674,-87.3431
675,-87.3433
676,-87.3435
677,-87.3437
678,-87.3439
679,-87.3441
680,-87.3443
681,-87.3445
682,-87.3447
683,-87.3449
684,-87.3451
685,-87.3453
686,-87.3455
687,-87.3457
688,-87.3459
689,-87.3461
690,-87.3464
691,-87.3466
692,-87.3468
693,-87.347
694,-87.3472
695,-87.3474
696,-87.3476
697,-87.3478
698,-87.348
699,-87.3481
700,-87.3483
701,-87.3485
702,-87.3487
703,-87.3489
704,-87.3491
705,-87.3493
706,-87.3495
707,-87.3497
708,-87.3499
709,-87.3501
710,-87.3503
711,-87.3505
712,-87.3507
713,-87.3509
714,-87.3511
715,-87.3513
716,-87.3515
717,-87.3517
718,-87.3518
719,-87.352
720,-87.3522
721,-87.3524
722,-87.3526
723,-87.3528
724,-87.353
725,-87.3532
726,-87.3534
727,-87.3536
728,-87.3538
729,-87.3539
730,-87.3541
731,-87.3543
732,-87.3545
733,-87.3547
734,-87.3549
735,-87.3551
736,-87.3553
737,-87.3554
738,-87.3556
739,-87.3558
740,-87.356
741,-87.3562
742,-87.3564
743,-87.3566
744,-87.3567
745,-87.3569
746,-87.3571
747,-87.3573
748,-87.3575
749,-87.3577
750,-87.3579
751,-87.358
752,-87.3582
753,-87.3584
754,-87.3586
755,-87.3588
756,-87.359
757,-87.3591
758,-87.3593
759,-87.3595
760,-87.3597
761,-87.3599
762,-87.3601
763,-87.3602
764,-87.3604
765,-87.3606
766,-87.3608
767,-87.361
768,-87.3612
769,-87.3613
770,-87.3615
771,-87.3617
772,-87.3619
773,-87.3621
774,-87.3622
775,-87.3624
776,-87.3626
777,-87.3628
778,-87.363
779,-87.3632
780,-87.3633
781,-87.3635
782,-87.3637
783,-87.3639
784,-87.3641
785,-87.3642
786,-87.3644
787,-87.3646
788,-87.3648
789,-87.365
790,-87.3651
791,-87.3653
792,-87.3655
793,-87.3657
794,-87.3659
795,-87.366
796,-87.3662
797,-87.3664
798,-87.3666
799,-87.3667
800,-87.3669
801,-87.3671
802,-87.3673
803,-87.3675
804,-87.3676
805,-87.3678
806,-87.368
807,-87.3682
808,-87.3684
809,-87.3685
810,-87.3687
811,-87.3689
812,-87.3691
813,-87.3692
814,-87.3694
815,-87.3696
816,-87.3698
817,-87.37
818,-87.3701
819,-87.3703
820,-87.3705
821,-87.3707
822,-87.3708
823,-87.371
824,-87.3712
825,-87.3714
826,-87.3716
827,-87.3717
828,-87.3719
829,-87.3721
830,-87.3723
831,-87.3724
