cell | V (mV),INa | xina (nA_per_nF)
-87.1698,-2.25E-06
-87.02,-2.35E-06
-86.8705,-2.52E-06
-86.7212,-2.71E-06
-86.5723,-2.92E-06
-86.4236,-3.14E-06
-86.2752,-3.38E-06
-86.1271,-3.63E-06
-85.9792,-3.91E-06
-85.8317,-4.20E-06
-85.6843,-4.52E-06
-85.5373,-4.85E-06
-85.3904,-5.22E-06
-85.2439,-5.60E-06
-85.0975,-6.02E-06
-84.9515,-6.47E-06
-84.8056,-6.95E-06
-84.66,-7.46E-06
-84.5146,-8.01E-06
-84.3695,-8.60E-06
-84.2245,-9.23E-06
-84.0798,-9.91E-06
-83.9353,-1.06E-05
-83.7911,-1.14E-05
-83.647,-1.22E-05
-83.5032,-1.31E-05
-83.3595,-1.41E-05
-83.2161,-1.51E-05
-83.0729,-1.62E-05
-82.9298,-1.73E-05
-82.787,-1.86E-05
-82.6444,-1.99E-05
-82.5019,-2.13E-05
-82.3596,-2.29E-05
-82.2176,-2.45E-05
-82.0757,-2.63E-05
-81.934,-2.81E-05
-81.7924,-3.01E-05
-81.6511,-3.22E-05
-81.5099,-3.45E-05
-81.3688,-3.69E-05
-81.228,-3.95E-05
-81.0873,-4.23E-05
-80.9468,-4.53E-05
-80.8064,-4.84E-05
-80.6662,-5.18E-05
-80.5261,-5.54E-05
-80.3862,-5.93E-05
-80.2464,-6.34E-05
-80.1068,-6.79E-05
-79.9674,-7.26E-05
-79.828,-7.76E-05
-79.6889,-8.29E-05
-79.5498,-8.86E-05
-79.4109,-9.46E-05
-79.2721,-0.000101059
-79.1335,-0.00010795
-78.995,-0.000115317
-78.8566,-0.000123205
-78.7183,-0.000131667
-78.5802,-0.000140694
-78.4421,-0.000150294
-78.3042,-0.000160481
-78.1664,-0.000171245
-78.0288,-0.000182706
-77.8912,-0.000195019
-77.7537,-0.000208256
-77.6164,-0.000222379
-77.4791,-0.000237336
-77.342,-0.000253088
-77.2049,-0.000269888
-77.068,-0.0002879
-76.9311,-0.000307291
-76.7944,-0.000327962
-76.6577,-0.000349829
-76.5211,-0.000372893
-76.3847,-0.000397404
-76.2483,-0.000423673
-76.1119,-0.000451795
-75.9757,-0.000481772
-75.8396,-0.000513605
-75.7035,-0.000547418
-75.5675,-0.000583376
-75.4316,-0.000621649
-75.2957,-0.000662387
-75.16,-0.000705741
-75.0242,-0.000751876
-74.8886,-0.000800963
-74.753,-0.000853181
-74.6175,-0.000908717
-74.4821,-0.000967781
-74.3467,-0.00103059
-74.2114,-0.00109738
-74.0761,-0.0011684
-73.9409,-0.00124391
-73.8057,-0.00132419
-73.6706,-0.00140954
-73.5356,-0.00150025
-73.4006,-0.00159668
-73.2656,-0.00169916
-73.1307,-0.00180807
-72.9958,-0.00192381
-72.861,-0.00204679
-72.7262,-0.00217746
-72.5914,-0.00231628
-72.4567,-0.00246375
-72.322,-0.0026204
-72.1874,-0.00278679
-72.0528,-0.0029635
-71.9182,-0.00315116
-71.7837,-0.00335045
-71.6492,-0.00356205
-71.5147,-0.00378672
-71.3802,-0.00402524
-71.2458,-0.00427845
-71.1113,-0.00454722
-70.9769,-0.00483251
-70.8426,-0.00513529
-70.7082,-0.0054566
-70.5739,-0.00579758
-70.4395,-0.00615938
-70.3052,-0.00654324
-70.1709,-0.00695049
-70.0366,-0.0073825
-69.9024,-0.00784075
-69.7681,-0.00832681
-69.6338,-0.0088423
-69.4996,-0.00938896
-69.3653,-0.00996866
-69.2311,-0.0105833
-69.0968,-0.011235
-68.9626,-0.0119259
-68.8283,-0.0126583
-68.6941,-0.0134346
-68.5598,-0.0142575
-68.4255,-0.0151295
-68.2913,-0.0160536
-68.157,-0.0170328
-68.0227,-0.0180703
-67.8884,-0.0191694
-67.7541,-0.0203339
-67.6197,-0.0215673
-67.4854,-0.0228738
-67.351,-0.0242575
-67.2166,-0.0257229
-67.0822,-0.0272746
-66.9478,-0.0289178
-66.8133,-0.0306575
-66.6788,-0.0324993
-66.5443,-0.0344491
-66.4097,-0.0365129
-66.2751,-0.0386973
-66.1405,-0.0410091
-66.0059,-0.0434556
-65.8712,-0.0460443
-65.7364,-0.0487834
-65.6017,-0.0516812
-65.4668,-0.0547467
-65.332,-0.0579894
-65.197,-0.0614191
-65.0621,-0.0650463
-64.927,-0.0688822
-64.7919,-0.0729384
-64.6568,-0.0772272
-64.5215,-0.0817617
-64.3863,-0.0865555
-64.2509,-0.0916232
-64.1155,-0.09698
-63.9799,-0.102642
-63.8443,-0.108626
-63.7087,-0.11495
-63.5729,-0.121632
-63.437,-0.128692
-63.3011,-0.136152
-63.165,-0.144033
-63.0288,-0.152358
-62.8925,-0.161152
-62.7561,-0.17044
-62.6196,-0.180249
-62.4829,-0.190608
-62.3461,-0.201547
-62.2092,-0.213098
-62.0721,-0.225294
-61.9348,-0.238171
-61.7974,-0.251765
-61.6598,-0.266117
-61.5221,-0.281268
-61.3841,-0.29726
-61.246,-0.314141
-61.1076,-0.331958
-60.9691,-0.350763
-60.8303,-0.37061
-60.6912,-0.391554
-60.5519,-0.413658
-60.4124,-0.436983
-60.2726,-0.461595
-60.1325,-0.487567
-59.9921,-0.514973
-59.8513,-0.54389
-59.7103,-0.574404
-59.5688,-0.606602
-59.4271,-0.640575
-59.2849,-0.676426
-59.1423,-0.714257
-58.9993,-0.754176
-58.8558,-0.796304
-58.7119,-0.840764
-58.5675,-0.887683
-58.4225,-0.937207
-58.277,-0.989478
-58.131,-1.04465
-57.9843,-1.10291
-57.837,-1.16442
-57.689,-1.22938
-57.5403,-1.29798
-57.3909,-1.37043
-57.2406,-1.44695
-57.0896,-1.52778
-56.9376,-1.61317
-56.7848,-1.70339
-56.631,-1.79876
-56.4761,-1.89958
-56.3202,-2.0062
-56.1631,-2.11897
-56.0048,-2.23827
-55.8453,-2.36452
-55.6844,-2.49816
-55.5221,-2.63964
-55.3583,-2.78952
-55.1929,-2.94832
