cell | V (mV),ICaL | xica (nA_per_nF)
-44.99,-0.0287125
-42.49,-0.0369658
-39.99,-0.0475015
-37.49,-0.06084
-34.99,-0.0775508
-32.49,-0.0982001
-29.99,-0.123258
-27.49,-0.153118
-24.99,-0.188958
-22.49,-0.235695
-19.99,-0.299119
-17.49,-0.373989
-14.99,-0.456791
-12.49,-0.545959
-9.99,-0.638601
-7.49,-0.730891
-4.99,-0.817715
-2.49,-0.893046
0.01,-0.951401
2.51,-0.987378
5.01,-1
7.51,-0.989548
10.01,-0.958898
12.51,-0.912347
15.01,-0.854675
17.51,-0.790373
20.01,-0.723196
22.51,-0.656002
25.01,-0.590796
27.51,-0.528866
30.01,-0.470957
32.51,-0.417423
35.01,-0.368361
37.51,-0.323701
40.01,-0.283277
42.51,-0.246865
45.01,-0.214213
47.51,-0.185048
50.01,-0.159094
52.51,-0.136069
55.01,-0.1157
57.51,-0.0977223
60.01,-0.081884
62.51,-0.0679513
65.01,-0.0557109
67.51,-0.044976
70.01,-0.0355975
72.51,-0.0274786
75.01,-0.0205723
77.51,-0.0148433
80.01,-0.0102342
