environment | time (ms),cell | V (mV)
0,-90.7796
1,-76.1605
2,-61.7499
3,10.2583
4,43.7938
5,34.8045
6,25.1182
7,16.9605
8,10.7604
9,6.52681
10,4.09609
11,3.02287
12,2.83284
13,3.16775
14,3.79503
15,4.57296
16,5.41677
17,6.27616
18,7.12105
19,7.93236
20,8.69837
21,9.41256
22,10.0722
23,10.6772
24,11.2296
25,11.7326
26,12.1906
27,12.608
28,12.9896
29,13.3401
30,13.6638
31,13.9645
32,14.2458
33,14.5106
34,14.7615
35,15.0005
36,15.2292
37,15.4491
38,15.6612
39,15.8662
40,16.0646
41,16.2569
42,16.4433
43,16.6239
44,16.7988
45,16.9678
46,17.1311
47,17.2883
48,17.4394
49,17.5843
50,17.7227
51,17.8546
52,17.9797
53,18.098
54,18.2092
55,18.3133
56,18.4101
57,18.4997
58,18.5818
59,18.6564
60,18.7236
61,18.7832
62,18.8353
63,18.8799
64,18.9169
65,18.9466
66,18.9688
67,18.9838
68,18.9915
69,18.9921
70,18.9857
71,18.9724
72,18.9524
73,18.9258
74,18.8927
75,18.8533
76,18.8077
77,18.7562
78,18.699
79,18.636
80,18.5677
81,18.4941
82,18.4154
83,18.3318
84,18.2435
85,18.1506
86,18.0534
87,17.952
88,17.8466
89,17.7373
90,17.6244
91,17.5079
92,17.3881
93,17.2651
94,17.139
95,17.0099
96,16.8781
97,16.7437
98,16.6067
99,16.4673
100,16.3256
101,16.1818
102,16.0359
103,15.888
104,15.7382
105,15.5867
106,15.4335
107,15.2786
108,15.1223
109,14.9645
110,14.8053
111,14.6447
112,14.483
113,14.32
114,14.1559
115,13.9907
116,13.8245
117,13.6573
118,13.4891
119,13.3201
120,13.1502
121,12.9794
122,12.808
123,12.6357
124,12.4628
125,12.2892
126,12.115
127,11.9401
128,11.7647
129,11.5888
130,11.4124
131,11.2355
132,11.0581
133,10.8804
134,10.7022
135,10.5237
136,10.3449
137,10.1659
138,9.98651
139,9.80694
140,9.62717
141,9.44723
142,9.26715
143,9.08696
144,8.90669
145,8.72636
146,8.546
147,8.36564
148,8.18531
149,8.00502
150,7.82481
151,7.6447
152,7.46471
153,7.28485
154,7.10515
155,6.92563
156,6.7463
157,6.56718
158,6.38827
159,6.20959
160,6.03115
161,5.85295
162,5.67499
163,5.49728
164,5.31982
165,5.1426
166,4.96561
167,4.78884
168,4.61229
169,4.43593
170,4.25974
171,4.08371
172,3.90782
173,3.73202
174,3.5563
175,3.38061
176,3.20492
177,3.02919
178,2.85337
179,2.67742
180,2.50128
181,2.3249
182,2.14822
183,1.97119
184,1.79373
185,1.61578
186,1.43727
187,1.25812
188,1.07826
189,0.897601
190,0.716062
191,0.533555
192,0.349989
193,0.165269
194,-0.0207017
195,-0.208024
196,-0.396801
197,-0.58714
198,-0.779151
199,-0.972947
200,-1.16864
201,-1.36636
202,-1.56621
203,-1.76833
204,-1.97283
205,-2.17985
206,-2.38952
207,-2.60197
208,-2.81733
209,-3.03574
210,-3.25733
211,-3.48223
212,-3.71059
213,-3.94254
214,-4.17821
215,-4.41774
216,-4.66126
217,-4.90889
218,-5.16076
