environment | time (millisecond),membrane | V (millivolt)
0,-86.2
1,-86.0441
2,-85.9236
3,-85.8307
4,-85.7591
5,-85.7043
6,-85.6627
7,-85.6318
8,-85.6093
9,-85.5938
10,-85.5837
11,20.6834
12,30.5253
13,22.8228
14,18.0784
15,15.3875
16,13.9105
17,13.183
18,12.944
19,13.0295
20,13.3274
21,13.7577
22,14.2638
23,14.8068
24,15.3615
25,15.9126
26,16.4514
27,16.9732
28,17.4743
29,17.9529
30,18.4084
31,18.8406
32,19.2493
33,19.6342
34,19.9952
35,20.3319
36,20.6441
37,20.9317
38,21.1949
39,21.4337
40,21.6488
41,21.8407
42,22.0103
43,22.1585
44,22.2864
45,22.3954
46,22.4865
47,22.561
48,22.6204
49,22.6657
50,22.6982
51,22.7192
52,22.7297
53,22.7307
54,22.7233
55,22.7082
56,22.6864
57,22.6586
58,22.6254
59,22.5875
60,22.5454
61,22.4996
62,22.4505
63,22.3985
64,22.344
65,22.2873
66,22.2285
67,22.1681
68,22.1061
69,22.0427
70,21.9782
71,21.9126
72,21.8461
73,21.7787
74,21.7106
75,21.6419
76,21.5725
77,21.5026
78,21.4322
79,21.3614
80,21.2902
81,21.2186
82,21.1467
83,21.0744
84,21.0018
85,20.929
86,20.8558
87,20.7825
88,20.7088
89,20.6349
90,20.5608
91,20.4864
92,20.4117
93,20.3369
94,20.2618
95,20.1864
96,20.1109
97,20.0351
98,19.959
99,19.8827
100,19.8061
101,19.7293
102,19.6523
103,19.575
104,19.4974
105,19.4195
106,19.3414
107,19.263
108,19.1843
109,19.1054
110,19.0261
111,18.9465
112,18.8667
113,18.7865
114,18.706
115,18.6251
116,18.544
117,18.4625
118,18.3806
119,18.2984
120,18.2159
121,18.133
122,18.0497
123,17.9661
124,17.882
125,17.7976
126,17.7128
127,17.6275
128,17.5419
129,17.4558
130,17.3693
131,17.2824
132,17.195
133,17.1072
134,17.0189
135,16.9301
136,16.8409
137,16.7512
138,16.661
139,16.5703
140,16.4791
141,16.3874
142,16.2951
143,16.2023
144,16.109
145,16.0151
146,15.9206
147,15.8256
148,15.73
149,15.6338
150,15.537
151,15.4396
152,15.3415
153,15.2429
154,15.1435
155,15.0436
156,14.9429
157,14.8416
158,14.7396
159,14.6369
160,14.5334
161,14.4293
162,14.3244
163,14.2188
164,14.1124
165,14.0052
166,13.8973
167,13.7885
168,13.679
169,13.5686
170,13.4574
171,13.3453
172,13.2324
173,13.1185
174,13.0038
175,12.8882
176,12.7716
177,12.6541
178,12.5357
179,12.4163
180,12.2958
181,12.1744
182,12.052
183,11.9285
184,11.804
185,11.6784
186,11.5517
187,11.4239
188,11.295
189,11.165
190,11.0337
191,10.9013
192,10.7677
193,10.6329
194,10.4969
195,10.3596
196,10.221
197,10.0811
198,9.93991
199,9.79737
200,9.65347
201,9.50819
202,9.36151
203,9.2134
204,9.06384
205,8.91281
206,8.76029
207,8.60625
208,8.45066
209,8.29352
210,8.13479
211,7.97444
212,7.81246
213,7.64881
214,7.48348
215,7.31643
216,7.14765
217,6.9771
218,6.80476
219,6.6306
220,6.4546
221,6.27673
222,6.09696
