fast_sodium_current | i_Na (picoA_per_picoF),membrane | V (millivolt)
0,-86.2
-3.46773e-06,-86.1982
-3.47235e-06,-86.1965
-3.47625e-06,-86.1947
-3.48024e-06,-86.193
-3.4842e-06,-86.1913
-3.4882e-06,-86.1895
-3.49217e-06,-86.1878
-3.49615e-06,-86.186
-3.50012e-06,-86.1843
-3.50409e-06,-86.1826
-3.50805e-06,-86.1809
-3.512e-06,-86.1792
-3.51595e-06,-86.1775
-3.51989e-06,-86.1758
-3.52383e-06,-86.1741
-3.52776e-06,-86.1724
-3.53168e-06,-86.1707
-3.5356e-06,-86.169
-3.53952e-06,-86.1673
-3.54343e-06,-86.1656
-3.54733e-06,-86.1639
-3.55123e-06,-86.1623
-3.55513e-06,-86.1606
-3.55901e-06,-86.1589
-3.5629e-06,-86.1573
-3.56677e-06,-86.1556
-3.57064e-06,-86.154
-3.57451e-06,-86.1523
-3.57837e-06,-86.1507
-3.58222e-06,-86.149
-3.58607e-06,-86.1474
-3.58992e-06,-86.1458
-3.59375e-06,-86.1442
-3.59758e-06,-86.1425
-3.60141e-06,-86.1409
-3.60523e-06,-86.1393
-3.60904e-06,-86.1377
-3.61285e-06,-86.1361
-3.61665e-06,-86.1345
-3.62045e-06,-86.1329
-3.62424e-06,-86.1313
-3.62803e-06,-86.1297
-3.63181e-06,-86.1281
-3.63558e-06,-86.1265
-3.63935e-06,-86.1249
-3.64311e-06,-86.1234
-3.64687e-06,-86.1218
-3.65062e-06,-86.1202
-3.65436e-06,-86.1187
-3.6581e-06,-86.1171
-3.66183e-06,-86.1156
-3.66556e-06,-86.114
-3.66928e-06,-86.1125
-3.67299e-06,-86.1109
-3.6767e-06,-86.1094
-3.6804e-06,-86.1078
-3.6841e-06,-86.1063
-3.68779e-06,-86.1048
-3.69148e-06,-86.1033
-3.69515e-06,-86.1017
-3.69883e-06,-86.1002
-3.70249e-06,-86.0987
-3.70616e-06,-86.0972
-3.70981e-06,-86.0957
-3.71346e-06,-86.0942
-3.7171e-06,-86.0927
-3.72074e-06,-86.0912
-3.72437e-06,-86.0897
-3.72799e-06,-86.0883
-3.73161e-06,-86.0868
-3.73523e-06,-86.0853
-3.73883e-06,-86.0838
-3.74243e-06,-86.0824
-3.74603e-06,-86.0809
-3.74962e-06,-86.0794
-3.7532e-06,-86.078
-3.75678e-06,-86.0765
-3.76035e-06,-86.0751
-3.76391e-06,-86.0736
-3.76747e-06,-86.0722
-3.77102e-06,-86.0707
-3.77457e-06,-86.0693
-3.77811e-06,-86.0679
-3.78165e-06,-86.0664
-3.78517e-06,-86.065
-3.7887e-06,-86.0636
-3.79221e-06,-86.0622
-3.79572e-06,-86.0608
-3.79923e-06,-86.0594
-3.80273e-06,-86.058
-3.80622e-06,-86.0565
-3.80971e-06,-86.0552
-3.81319e-06,-86.0538
-3.81666e-06,-86.0524
-3.82013e-06,-86.051
-3.82359e-06,-86.0496
-3.82705e-06,-86.0482
-3.8305e-06,-86.0468
-3.83394e-06,-86.0455
-3.83738e-06,-86.0441
-3.84081e-06,-86.0427
-3.84424e-06,-86.0414
-3.84766e-06,-86.04
-3.85107e-06,-86.0387
-3.85448e-06,-86.0373
-3.85788e-06,-86.0359
-3.86128e-06,-86.0346
-3.86467e-06,-86.0333
-3.86805e-06,-86.0319
-3.87143e-06,-86.0306
-3.8748e-06,-86.0293
-3.87817e-06,-86.0279
-3.88153e-06,-86.0266
-3.88488e-06,-86.0253
-3.88823e-06,-86.024
-3.89157e-06,-86.0227
-3.89491e-06,-86.0213
-3.89824e-06,-86.02
-3.90156e-06,-86.0187
-3.90488e-06,-86.0174
-3.90819e-06,-86.0161
-3.9115e-06,-86.0148
-3.9148e-06,-86.0136
-3.91809e-06,-86.0123
-3.92138e-06,-86.011
-3.92466e-06,-86.0097
-3.92794e-06,-86.0084
-3.93121e-06,-86.0072
-3.93447e-06,-86.0059
-3.93773e-06,-86.0046
-3.94098e-06,-86.0034
-3.94423e-06,-86.0021
-3.94747e-06,-86.0008
-3.95071e-06,-85.9996
-3.95393e-06,-85.9983
-3.95716e-06,-85.9971
-3.96037e-06,-85.9958
-3.96359e-06,-85.9946
-3.96679e-06,-85.9934
-3.96999e-06,-85.9921
-3.97318e-06,-85.9909
-3.97637e-06,-85.9897
-3.97955e-06,-85.9884
-3.98273e-06,-85.9872
-3.9859e-06,-85.986
-3.98906e-06,-85.9848
-3.99222e-06,-85.9836
-3.99537e-06,-85.9824
-3.99852e-06,-85.9812
-4.00166e-06,-85.98
-4.00479e-06,-85.9788
-4.00792e-06,-85.9776
-4.01104e-06,-85.9764
-4.01416e-06,-85.9752
-4.01727e-06,-85.974
-4.02038e-06,-85.9728
-4.02348e-06,-85.9716
-4.02657e-06,-85.9704
-4.02966e-06,-85.9693
-4.03274e-06,-85.9681
-4.03582e-06,-85.9669
-4.03889e-06,-85.9658
-4.04195e-06,-85.9646
-4.04501e-06,-85.9634
-4.04807e-06,-85.9623
-4.05111e-06,-85.9611
-4.05416e-06,-85.96
-4.05719e-06,-85.9588
-4.06022e-06,-85.9577
-4.06325e-06,-85.9565
-4.06626e-06,-85.9554
-4.06928e-06,-85.9543
-4.07228e-06,-85.9531
-4.07529e-06,-85.952
-4.07828e-06,-85.9509
-4.08127e-06,-85.9498
-4.08426e-06,-85.9486
-4.08723e-06,-85.9475
-4.09021e-06,-85.9464
-4.09317e-06,-85.9453
-4.09614e-06,-85.9442
-4.09909e-06,-85.9431
-4.10204e-06,-85.942
-4.10499e-06,-85.9409
-4.10792e-06,-85.9398
-4.11086e-06,-85.9387
-4.11379e-06,-85.9376
-4.11671e-06,-85.9365
-4.11962e-06,-85.9354
-4.12253e-06,-85.9343
-4.12544e-06,-85.9332
-4.12834e-06,-85.9322
-4.13123e-06,-85.9311
-4.13412e-06,-85.93
-4.137e-06,-85.9289
-4.13988e-06,-85.9279
-4.14275e-06,-85.9268
-4.14561e-06,-85.9257
-4.14847e-06,-85.9247
-4.15133e-06,-85.9236
-4.15418e-06,-85.9226
-4.15702e-06,-85.9215
-4.15986e-06,-85.9205
-4.16269e-06,-85.9194
-4.16552e-06,-85.9184
-4.16834e-06,-85.9174
-4.17115e-06,-85.9163
-4.17396e-06,-85.9153
-4.17677e-06,-85.9142
-4.17957e-06,-85.9132
-4.18236e-06,-85.9122
-4.18515e-06,-85.9112
-4.18793e-06,-85.9101
-4.1907e-06,-85.9091
-4.19348e-06,-85.9081
-4.19624e-06,-85.9071
-4.199e-06,-85.9061
-4.20176e-06,-85.9051
-4.20451e-06,-85.9041
-4.20725e-06,-85.9031
-4.20999e-06,-85.9021
-4.21272e-06,-85.9011
-4.21545e-06,-85.9001
-4.21817e-06,-85.8991
-4.22089e-06,-85.8981
-4.2236e-06,-85.8971
-4.2263e-06,-85.8961
-4.229e-06,-85.8951
-4.2317e-06,-85.8942
-4.23439e-06,-85.8932
-4.23707e-06,-85.8922
-4.23975e-06,-85.8912
-4.24242e-06,-85.8903
-4.24509e-06,-85.8893
-4.24775e-06,-85.8883
-4.25041e-06,-85.8874
-4.25306e-06,-85.8864
-4.25571e-06,-85.8855
-4.25835e-06,-85.8845
-4.26099e-06,-85.8836
-4.26362e-06,-85.8826
-4.26624e-06,-85.8817
-4.26886e-06,-85.8807
-4.27148e-06,-85.8798
-4.27408e-06,-85.8788
-4.27669e-06,-85.8779
-4.27929e-06,-85.877
-4.28188e-06,-85.876
-4.28447e-06,-85.8751
-4.28705e-06,-85.8742
-4.28963e-06,-85.8732
-4.2922e-06,-85.8723
-4.29477e-06,-85.8714
-4.29733e-06,-85.8705
-4.29988e-06,-85.8696
-4.30244e-06,-85.8686
-4.30498e-06,-85.8677
-4.30752e-06,-85.8668
-4.31006e-06,-85.8659
-4.31259e-06,-85.865
-4.31511e-06,-85.8641
-4.31763e-06,-85.8632
-4.32015e-06,-85.8623
-4.32266e-06,-85.8614
-4.32516e-06,-85.8605
-4.32766e-06,-85.8596
-4.33015e-06,-85.8588
-4.33264e-06,-85.8579
-4.33512e-06,-85.857
-4.3376e-06,-85.8561
-4.34008e-06,-85.8552
-4.34254e-06,-85.8543
-4.34501e-06,-85.8535
-4.34746e-06,-85.8526
-4.34992e-06,-85.8517
-4.35236e-06,-85.8509
-4.35481e-06,-85.85
-4.35724e-06,-85.8491
-4.35968e-06,-85.8483
-4.3621e-06,-85.8474
-4.36453e-06,-85.8466
-4.36694e-06,-85.8457
-4.36935e-06,-85.8449
-4.37176e-06,-85.844
-4.37416e-06,-85.8432
-4.37656e-06,-85.8423
-4.37895e-06,-85.8415
-4.38134e-06,-85.8406
-4.38372e-06,-85.8398
-4.3861e-06,-85.839
-4.38847e-06,-85.8381
-4.39083e-06,-85.8373
-4.3932e-06,-85.8365
-4.39555e-06,-85.8356
-4.3979e-06,-85.8348
-4.40025e-06,-85.834
-4.40259e-06,-85.8332
-4.40493e-06,-85.8323
-4.40726e-06,-85.8315
-4.40959e-06,-85.8307
-4.41191e-06,-85.8299
-4.41423e-06,-85.8291
-4.41654e-06,-85.8283
-4.41884e-06,-85.8275
-4.42115e-06,-85.8267
-4.42344e-06,-85.8259
-4.42574e-06,-85.8251
-4.42802e-06,-85.8243
-4.43031e-06,-85.8235
-4.43258e-06,-85.8227
-4.43486e-06,-85.8219
-4.43712e-06,-85.8211
-4.43939e-06,-85.8203
-4.44164e-06,-85.8195
-4.4439e-06,-85.8187
-4.44614e-06,-85.818
-4.44839e-06,-85.8172
-4.45063e-06,-85.8164
-4.45286e-06,-85.8156
-4.45509e-06,-85.8149
-4.45731e-06,-85.8141
-4.45953e-06,-85.8133
-4.46175e-06,-85.8125
-4.46396e-06,-85.8118
-4.46616e-06,-85.811
-4.46836e-06,-85.8103
-4.47056e-06,-85.8095
-4.47275e-06,-85.8087
-4.47493e-06,-85.808
-4.47711e-06,-85.8072
-4.47929e-06,-85.8065
-4.48146e-06,-85.8057
-4.48363e-06,-85.805
-4.48579e-06,-85.8042
-4.48795e-06,-85.8035
-4.4901e-06,-85.8028
-4.49225e-06,-85.802
-4.49439e-06,-85.8013
-4.49653e-06,-85.8005
-4.49866e-06,-85.7998
-4.50079e-06,-85.7991
-4.50291e-06,-85.7983
-4.50503e-06,-85.7976
-4.50715e-06,-85.7969
-4.50926e-06,-85.7962
-4.51136e-06,-85.7954
-4.51346e-06,-85.7947
-4.51556e-06,-85.794
-4.51765e-06,-85.7933
-4.51974e-06,-85.7926
-4.52182e-06,-85.7919
-4.5239e-06,-85.7911
-4.52597e-06,-85.7904
-4.52804e-06,-85.7897
-4.5301e-06,-85.789
-4.53216e-06,-85.7883
-4.53422e-06,-85.7876
-4.53627e-06,-85.7869
-4.53831e-06,-85.7862
-4.54036e-06,-85.7855
-4.54239e-06,-85.7848
-4.54442e-06,-85.7841
-4.54645e-06,-85.7834
-4.54847e-06,-85.7828
-4.55049e-06,-85.7821
-4.5525e-06,-85.7814
-4.55451e-06,-85.7807
-4.55652e-06,-85.78
-4.55852e-06,-85.7793
-4.56051e-06,-85.7787
-4.56251e-06,-85.778
-4.56449e-06,-85.7773
-4.56647e-06,-85.7766
-4.56845e-06,-85.776
-4.57042e-06,-85.7753
-4.57239e-06,-85.7746
-4.57436e-06,-85.774
-4.57632e-06,-85.7733
-4.57827e-06,-85.7726
-4.58022e-06,-85.772
-4.58217e-06,-85.7713
-4.58411e-06,-85.7707
-4.58605e-06,-85.77
-4.58798e-06,-85.7693
-4.58991e-06,-85.7687
-4.59184e-06,-85.768
-4.59376e-06,-85.7674
-4.59567e-06,-85.7668
-4.59758e-06,-85.7661
-4.59949e-06,-85.7655
-4.60139e-06,-85.7648
-4.60329e-06,-85.7642
-4.60518e-06,-85.7635
-4.60707e-06,-85.7629
-4.60896e-06,-85.7623
-4.61084e-06,-85.7616
-4.61271e-06,-85.761
-4.61459e-06,-85.7604
-4.61645e-06,-85.7597
-4.61832e-06,-85.7591
-4.62018e-06,-85.7585
-4.62203e-06,-85.7579
-4.62388e-06,-85.7573
-4.62573e-06,-85.7566
-4.62757e-06,-85.756
-4.62941e-06,-85.7554
-4.63124e-06,-85.7548
-4.63307e-06,-85.7542
-4.63489e-06,-85.7536
-4.63671e-06,-85.7529
-4.63853e-06,-85.7523
-4.64034e-06,-85.7517
-4.64215e-06,-85.7511
-4.64395e-06,-85.7505
-4.64575e-06,-85.7499
-4.64755e-06,-85.7493
-4.64934e-06,-85.7487
-4.65113e-06,-85.7481
-4.65291e-06,-85.7475
-4.65469e-06,-85.7469
-4.65646e-06,-85.7463
-4.65823e-06,-85.7458
-4.66e-06,-85.7452
-4.66176e-06,-85.7446
-4.66352e-06,-85.744
-4.66527e-06,-85.7434
-4.66702e-06,-85.7428
-4.66876e-06,-85.7422
-4.67051e-06,-85.7417
-4.67224e-06,-85.7411
-4.67398e-06,-85.7405
-4.6757e-06,-85.7399
-4.67743e-06,-85.7394
-4.67915e-06,-85.7388
-4.68087e-06,-85.7382
-4.68258e-06,-85.7377
-4.68429e-06,-85.7371
-4.68599e-06,-85.7365
-4.68769e-06,-85.736
-4.68939e-06,-85.7354
-4.69108e-06,-85.7348
-4.69277e-06,-85.7343
-4.69445e-06,-85.7337
-4.69613e-06,-85.7332
-4.6978e-06,-85.7326
-4.69948e-06,-85.732
-4.70114e-06,-85.7315
-4.70281e-06,-85.7309
-4.70447e-06,-85.7304
-4.70612e-06,-85.7298
-4.70777e-06,-85.7293
-4.70942e-06,-85.7288
-4.71107e-06,-85.7282
-4.71271e-06,-85.7277
-4.71434e-06,-85.7271
-4.71597e-06,-85.7266
-4.7176e-06,-85.7261
-4.71923e-06,-85.7255
-4.72085e-06,-85.725
-4.72246e-06,-85.7244
-4.72407e-06,-85.7239
-4.72568e-06,-85.7234
-4.72729e-06,-85.7229
-4.72889e-06,-85.7223
-4.73048e-06,-85.7218
-4.73207e-06,-85.7213
-4.73366e-06,-85.7208
-4.73525e-06,-85.7202
-4.73683e-06,-85.7197
-4.73841e-06,-85.7192
-4.73998e-06,-85.7187
-4.74155e-06,-85.7182
-4.74311e-06,-85.7176
-4.74468e-06,-85.7171
-4.74623e-06,-85.7166
-4.74779e-06,-85.7161
-4.74934e-06,-85.7156
-4.75088e-06,-85.7151
-4.75243e-06,-85.7146
-4.75396e-06,-85.7141
-4.7555e-06,-85.7136
-4.75703e-06,-85.7131
-4.75856e-06,-85.7126
-4.76008e-06,-85.7121
-4.7616e-06,-85.7116
-4.76311e-06,-85.7111
-4.76463e-06,-85.7106
-4.76614e-06,-85.7101
-4.76764e-06,-85.7096
-4.76914e-06,-85.7091
-4.77064e-06,-85.7086
-4.77213e-06,-85.7081
-4.77362e-06,-85.7076
-4.77511e-06,-85.7072
-4.77659e-06,-85.7067
-4.77807e-06,-85.7062
-4.77954e-06,-85.7057
-4.78101e-06,-85.7052
-4.78248e-06,-85.7048
-4.78394e-06,-85.7043
-4.7854e-06,-85.7038
-4.78686e-06,-85.7033
-4.78831e-06,-85.7029
-4.78976e-06,-85.7024
-4.7912e-06,-85.7019
-4.79265e-06,-85.7014
-4.79408e-06,-85.701
-4.79552e-06,-85.7005
-4.79695e-06,-85.7
-4.79838e-06,-85.6996
-4.7998e-06,-85.6991
-4.80122e-06,-85.6986
-4.80263e-06,-85.6982
-4.80405e-06,-85.6977
-4.80546e-06,-85.6973
-4.80686e-06,-85.6968
-4.80826e-06,-85.6964
-4.80966e-06,-85.6959
-4.81105e-06,-85.6954
-4.81245e-06,-85.695
-4.81383e-06,-85.6945
-4.81522e-06,-85.6941
-4.8166e-06,-85.6936
-4.81797e-06,-85.6932
-4.81935e-06,-85.6928
-4.82072e-06,-85.6923
-4.82208e-06,-85.6919
-4.82344e-06,-85.6914
-4.8248e-06,-85.691
-4.82616e-06,-85.6905
-4.82751e-06,-85.6901
-4.82886e-06,-85.6897
-4.8302e-06,-85.6892
-4.83154e-06,-85.6888
-4.83288e-06,-85.6884
-4.83422e-06,-85.6879
-4.83555e-06,-85.6875
-4.83687e-06,-85.6871
-4.8382e-06,-85.6866
-4.83952e-06,-85.6862
-4.84084e-06,-85.6858
-4.84215e-06,-85.6854
-4.84346e-06,-85.6849
-4.84477e-06,-85.6845
-4.84607e-06,-85.6841
-4.84737e-06,-85.6837
-4.84867e-06,-85.6833
-4.84996e-06,-85.6828
-4.85125e-06,-85.6824
-4.85253e-06,-85.682
-4.85382e-06,-85.6816
-4.8551e-06,-85.6812
-4.85637e-06,-85.6808
-4.85765e-06,-85.6804
-4.85891e-06,-85.68
-4.86018e-06,-85.6796
-4.86144e-06,-85.6791
-4.8627e-06,-85.6787
-4.86396e-06,-85.6783
-4.86521e-06,-85.6779
-4.86646e-06,-85.6775
-4.86771e-06,-85.6771
-4.86895e-06,-85.6767
-4.87019e-06,-85.6763
-4.87142e-06,-85.6759
-4.87266e-06,-85.6755
-4.87388e-06,-85.6751
-4.87511e-06,-85.6747
-4.87633e-06,-85.6744
-4.87755e-06,-85.674
-4.87877e-06,-85.6736
-4.87998e-06,-85.6732
-4.88119e-06,-85.6728
-4.8824e-06,-85.6724
-4.8836e-06,-85.672
-4.8848e-06,-85.6716
-4.886e-06,-85.6712
-4.88719e-06,-85.6709
-4.88838e-06,-85.6705
-4.88957e-06,-85.6701
-4.89075e-06,-85.6697
-4.89193e-06,-85.6693
