environment | time (second),Concentrations | C_ext_Na (mM),
-70.01,3.22E-05,
-60.01,9.26E-05,
-50.01,0.000409159,
-40.01,0.00203605,
-35.01,0.0043636,
-30.01,0.00885728,
-25.01,0.0168402,
-20.01,0.0301124,
-15.01,0.0502417,
-10.01,0.0782283,
-7.51,0.0953341,
-5.01,0.114517,
-2.51,0.135731,
0.01,0.159091,
2.51,0.18412,
5.01,0.210877,
7.51,0.239229,
10.01,0.269039,
12.51,0.300166,
15.01,0.332476,
17.51,0.365837,
20.01,0.400122,
22.51,0.435215,
25.01,0.471004,
27.51,0.507387,
30.01,0.54427,
32.51,0.581564,
35.01,0.61919,
37.51,0.657073,
40.01,0.695144,
42.51,0.733342,
45.01,0.771609,
47.51,0.809893,
50.01,0.848145,
52.51,0.88632,
55.01,0.924379,
57.51,0.962283,
60.01,1,
