environment | time (second),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
0,-5.56052e-05
1,-5.48776e-05
2,-5.41515e-05
3,-5.34269e-05
4,-5.27037e-05
5,-5.1982e-05
6,-5.12618e-05
7,-5.05431e-05
8,-4.98258e-05
9,-4.911e-05
10,-4.83956e-05
11,-4.76827e-05
12,-4.69712e-05
13,-4.62612e-05
14,-4.55526e-05
15,-4.48454e-05
16,-4.41396e-05
17,-4.34353e-05
18,-4.27324e-05
19,-4.20309e-05
20,-4.13308e-05
21,-4.06322e-05
22,-3.99349e-05
23,-3.9239e-05
24,-3.85445e-05
25,-3.78514e-05
26,-3.71597e-05
27,-3.64693e-05
28,-3.57804e-05
29,-3.50928e-05
30,-3.44066e-05
31,-3.37217e-05
32,-3.30382e-05
33,-3.23561e-05
34,-3.16753e-05
35,-3.09958e-05
36,-3.03177e-05
37,-2.9641e-05
38,-2.89655e-05
39,-2.82914e-05
40,-2.76187e-05
41,-2.69472e-05
42,-2.62771e-05
43,-2.56083e-05
44,-2.49408e-05
45,-2.42746e-05
46,-2.36097e-05
47,-2.29461e-05
48,-2.22838e-05
49,-2.16228e-05
50,-2.09631e-05
51,-2.03047e-05
52,-1.96476e-05
53,-1.89917e-05
54,-1.83371e-05
55,-1.76838e-05
56,-1.70317e-05
57,-1.6381e-05
58,-1.57314e-05
59,-1.50832e-05
60,-1.44361e-05
61,-1.37904e-05
62,-1.31458e-05
63,-1.25025e-05
64,-1.18605e-05
65,-1.12197e-05
66,-1.05801e-05
67,-9.94174e-06
68,-9.30461e-06
69,-8.6687e-06
70,-8.034e-06
71,-7.40051e-06
72,-6.76824e-06
73,-6.13717e-06
74,-5.5073e-06
75,-4.87863e-06
76,-4.25116e-06
77,-3.62488e-06
78,-2.99979e-06
79,-2.37589e-06
80,-1.75316e-06
81,-1.13162e-06
82,-5.1125e-07
83,1.07947e-07
84,7.25975e-07
85,1.34284e-06
86,1.95854e-06
87,2.57308e-06
88,3.18647e-06
89,3.7987e-06
90,4.40978e-06
91,5.01972e-06
92,5.62852e-06
93,6.23617e-06
94,6.84269e-06
95,7.44808e-06
96,8.05234e-06
97,8.65547e-06
98,9.25747e-06
99,9.85836e-06
100,1.04581e-05
101,1.10568e-05
102,1.16543e-05
103,1.22508e-05
104,1.28461e-05
105,1.34403e-05
106,1.40334e-05
107,1.46255e-05
108,1.52164e-05
109,1.58063e-05
110,1.6395e-05
111,1.69827e-05
112,1.75693e-05
113,1.81548e-05
114,1.87393e-05
115,1.93227e-05
116,1.9905e-05
