Concentrations | pH_ext (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
6,0.000484826
6.02,0.000506862
6.04,0.00052986
6.06,0.000553859
6.08,0.0005789
6.1,0.000605022
6.12,0.000632269
6.14,0.000660683
6.16,0.000690309
6.18,0.000721193
6.2,0.000753382
6.22,0.000786924
6.24,0.000821869
6.26,0.000858265
6.28,0.000896166
6.3,0.000935624
6.32,0.000976692
6.34,0.00101942
6.36,0.00106388
6.38,0.0011101
6.4,0.00115816
6.42,0.00120811
6.44,0.00126
6.46,0.0013139
6.48,0.00136986
6.5,0.00142794
6.52,0.0014882
6.54,0.00155069
6.56,0.00161547
6.58,0.00168261
6.6,0.00175214
6.62,0.00182413
6.64,0.00189862
6.66,0.00197568
6.68,0.00205534
6.7,0.00213765
6.72,0.00222265
6.74,0.00231039
6.76,0.00240091
6.78,0.00249422
6.8,0.00259037
6.82,0.00268937
6.84,0.00279125
6.86,0.00289602
6.88,0.00300369
6.9,0.00311427
6.92,0.00322774
6.94,0.0033441
6.96,0.00346334
6.98,0.00358543
7,0.00371034
7.02,0.00383803
7.04,0.00396846
7.06,0.00410157
7.08,0.0042373
7.1,0.00437559
7.12,0.00451634
7.14,0.00465948
7.16,0.00480492
7.18,0.00495254
7.2,0.00510224
7.22,0.00525391
7.24,0.00540741
7.26,0.00556261
7.28,0.00571939
7.3,0.00587758
7.32,0.00603704
7.34,0.00619762
7.36,0.00635916
7.38,0.00652148
7.4,0.00668443
7.42,0.00684783
7.44,0.00701152
7.46,0.00717531
7.48,0.00733904
7.5,0.00750253
7.52,0.0076656
7.54,0.0078281
7.56,0.00798985
7.58,0.00815068
7.6,0.00831043
7.62,0.00846896
7.64,0.0086261
7.66,0.00878171
7.68,0.00893564
7.7,0.00908778
7.72,0.00923798
7.74,0.00938613
7.76,0.00953212
7.78,0.00967584
7.8,0.00981719
7.82,0.0099561
7.84,0.0100925
7.86,0.0102262
7.88,0.0103573
7.9,0.0104857
7.92,0.0106113
7.94,0.0107341
7.96,0.0108541
7.98,0.0109711
8,0.0110853
