Concentrations | pH_ext (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
6.01E+00,4.68E-04
6.04E+00,4.86E-04
6.07E+00,5.22E-04
6.09E+00,5.41E-04
6.12E+00,5.94E-04
6.20E+00,6.67E-04
6.17E+00,6.48E-04
6.21E+00,7.01E-04
6.24E+00,8.07E-04
6.27E+00,8.43E-04
6.30E+00,8.96E-04
6.33E+00,9.49E-04
6.35E+00,9.85E-04
6.38E+00,1.06E-03
6.41E+00,1.13E-03
6.44E+00,1.20E-03
6.46E+00,1.28E-03
6.49E+00,1.34E-03
6.50E+00,1.41E-03
6.53E+00,1.48E-03
6.56E+00,1.56E-03
6.57E+00,1.64E-03
6.60E+00,1.71E-03
6.62E+00,1.78E-03
6.66E+00,1.86E-03
6.68E+00,1.95E-03
6.70E+00,2.07E-03
6.73E+00,2.13E-03
6.75E+00,2.27E-03
6.77E+00,2.32E-03
6.81E+00,2.46E-03
6.82E+00,2.56E-03
6.83E+00,2.62E-03
6.85E+00,2.69E-03
6.87E+00,2.77E-03
6.88E+00,2.88E-03
6.90E+00,2.95E-03
6.91E+00,3.03E-03
6.92E+00,3.12E-03
6.94E+00,3.24E-03
6.95E+00,3.35E-03
6.97E+00,3.40E-03
6.98E+00,3.45E-03
7.00E+00,3.56E-03
7.02E+00,3.65E-03
7.03E+00,3.73E-03
7.05E+00,3.82E-03
7.06E+00,3.94E-03
7.07E+00,4.01E-03
7.08E+00,4.08E-03
7.09E+00,4.19E-03
7.11E+00,4.27E-03
7.12E+00,4.34E-03
7.15E+00,4.45E-03
7.16E+00,4.59E-03
7.19E+00,4.69E-03
7.19E+00,4.81E-03
7.17E+00,4.69E-03
7.20E+00,4.81E-03
7.20E+00,4.92E-03
7.22E+00,5.06E-03
7.23E+00,5.14E-03
7.23E+00,5.23E-03
7.25E+00,5.35E-03
7.27E+00,5.42E-03
7.29E+00,5.49E-03
7.29E+00,5.61E-03
7.31E+00,5.75E-03
7.32E+00,5.84E-03
7.33E+00,5.94E-03
7.35E+00,6.07E-03
7.36E+00,6.14E-03
7.38E+00,6.22E-03
7.39E+00,6.31E-03
7.40E+00,6.38E-03
7.40E+00,6.45E-03
7.42E+00,6.55E-03
7.43E+00,6.62E-03
7.44E+00,6.73E-03
7.45E+00,6.85E-03
7.46E+00,6.94E-03
7.46E+00,7.01E-03
7.48E+00,7.09E-03
7.49E+00,7.20E-03
7.50E+00,7.27E-03
7.51E+00,7.39E-03
7.53E+00,7.49E-03
7.54E+00,7.60E-03
7.55E+00,7.67E-03
7.56E+00,7.79E-03
7.59E+00,7.90E-03
7.60E+00,8.00E-03
7.61E+00,8.10E-03
7.63E+00,8.24E-03
7.64E+00,8.35E-03
7.65E+00,8.45E-03
7.67E+00,8.59E-03
7.69E+00,8.75E-03
7.70E+00,8.87E-03
7.72E+00,8.99E-03
7.74E+00,9.08E-03
7.76E+00,9.22E-03
7.77E+00,9.38E-03
7.79E+00,9.43E-03
7.81E+00,9.53E-03
7.82E+00,9.69E-03
7.84E+00,9.76E-03
7.86E+00,9.85E-03
7.87E+00,1.00E-02
7.89E+00,1.01E-02
7.92E+00,1.03E-02
7.93E+00,1.04E-02
7.94E+00,1.04E-02
7.96E+00,1.06E-02
7.98E+00,1.06E-02
7.99E+00,1.08E-02
8.01E+00,1.09E-02
8.03E+00,1.09E-02
