Concentrations | C_ext_H (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
1.30E+00,9.83E+01
2.38E+00,1.29E+02
3.24E+00,1.37E+02
4.53E+00,1.55E+02
6.04E+00,1.89E+02
6.69E+00,2.15E+02
8.19E+00,2.33E+02
9.27E+00,2.64E+02
1.04E+01,2.90E+02
1.14E+01,3.05E+02
1.25E+01,3.31E+02
1.36E+01,3.54E+02
1.47E+01,3.75E+02
1.64E+01,4.01E+02
1.75E+01,4.22E+02
1.90E+01,4.66E+02
2.05E+01,4.97E+02
2.15E+01,5.09E+02
2.26E+01,5.25E+02
2.37E+01,5.48E+02
2.50E+01,5.69E+02
2.61E+01,5.95E+02
2.71E+01,6.21E+02
2.87E+01,6.39E+02
3.02E+01,6.80E+02
3.12E+01,7.03E+02
3.25E+01,7.19E+02
3.34E+01,7.42E+02
3.47E+01,7.58E+02
3.55E+01,7.84E+02
3.62E+01,7.89E+02
3.73E+01,8.09E+02
3.79E+01,8.33E+02
3.90E+01,8.46E+02
4.01E+01,8.79E+02
4.09E+01,8.97E+02
4.22E+01,9.18E+02
4.37E+01,9.39E+02
4.52E+01,9.62E+02
4.52E+01,9.78E+02
4.63E+01,9.96E+02
4.74E+01,1.02E+03
4.85E+01,1.05E+03
4.95E+01,1.07E+03
5.02E+01,1.08E+03
5.08E+01,1.10E+03
5.19E+01,1.12E+03
5.30E+01,1.14E+03
5.41E+01,1.15E+03
5.49E+01,1.17E+03
5.62E+01,1.18E+03
5.71E+01,1.21E+03
5.84E+01,1.23E+03
5.92E+01,1.26E+03
6.03E+01,1.28E+03
6.25E+01,1.31E+03
6.27E+01,1.33E+03
6.38E+01,1.35E+03
6.48E+01,1.37E+03
6.63E+01,1.39E+03
6.74E+01,1.42E+03
6.85E+01,1.44E+03
6.96E+01,1.45E+03
7.02E+01,1.48E+03
7.13E+01,1.49E+03
7.24E+01,1.52E+03
7.43E+01,1.53E+03
7.50E+01,1.56E+03
7.60E+01,1.59E+03
7.75E+01,1.62E+03
7.86E+01,1.64E+03
7.93E+01,1.66E+03
8.08E+01,1.67E+03
8.18E+01,1.70E+03
8.25E+01,1.72E+03
8.40E+01,1.74E+03
8.46E+01,1.77E+03
8.57E+01,1.78E+03
8.68E+01,1.81E+03
8.79E+01,1.84E+03
8.94E+01,1.86E+03
9.15E+01,1.89E+03
9.22E+01,1.93E+03
9.33E+01,1.93E+03
9.43E+01,1.95E+03
9.50E+01,1.99E+03
9.69E+01,2.02E+03
9.82E+01,2.04E+03
