Concentrations | C_ext_Na (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
1,58.023
2,59.0784
3,60.1338
4,61.1892
5,62.2446
6,63.3
7,64.3553
8,65.4107
9,66.4661
10,67.5215
11,68.5769
12,69.6323
13,70.6877
14,71.743
15,72.7984
16,73.8538
17,74.9092
18,75.9646
19,77.02
20,78.0753
21,79.1307
22,80.1861
23,81.2415
24,82.2969
25,83.3523
26,84.4077
27,85.463
28,86.5184
29,87.5738
30,88.6292
31,89.6846
32,90.74
33,91.7953
34,92.8507
35,93.9061
36,94.9615
37,96.0169
38,97.0723
39,98.1277
40,99.183
41,100.238
42,101.294
43,102.349
44,103.405
45,104.46
46,105.515
47,106.571
48,107.626
49,108.682
50,109.737
51,110.792
52,111.848
53,112.903
54,113.958
55,115.014
56,116.069
57,117.125
58,118.18
59,119.235
60,120.291
61,121.346
62,122.402
63,123.457
64,124.512
65,125.568
66,126.623
67,127.678
68,128.734
69,129.789
70,130.845
71,131.9
72,132.955
73,134.011
74,135.066
75,136.122
76,137.177
77,138.232
78,139.288
79,140.343
80,141.398
81,142.454
82,143.509
83,144.565
84,145.62
85,146.675
86,147.731
87,148.786
88,149.842
89,150.897
90,151.952
91,153.008
92,154.063
93,155.118
94,156.174
95,157.229
96,158.285
97,159.34
98,160.395
99,161.451
100,162.506
101,163.562
