Concentrations | C_ext_Na (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
1.09E+00,5.80E+01
1.64E+00,5.86E+01
2.46E+00,5.97E+01
3.14E+00,6.02E+01
3.68E+00,6.10E+01
4.23E+00,6.16E+01
4.64E+00,6.18E+01
5.18E+00,6.27E+01
5.73E+00,6.35E+01
6.41E+00,6.40E+01
6.96E+00,6.46E+01
7.64E+00,6.49E+01
8.05E+00,6.57E+01
8.73E+00,6.62E+01
9.41E+00,6.71E+01
1.01E+01,6.79E+01
1.06E+01,6.84E+01
1.13E+01,6.93E+01
1.20E+01,7.01E+01
1.24E+01,7.06E+01
1.30E+01,7.12E+01
1.36E+01,7.17E+01
1.43E+01,7.25E+01
1.47E+01,7.31E+01
1.54E+01,7.39E+01
1.61E+01,7.47E+01
1.66E+01,7.53E+01
1.76E+01,7.58E+01
1.86E+01,7.67E+01
1.91E+01,7.75E+01
1.96E+01,7.80E+01
2.03E+01,7.86E+01
2.09E+01,7.94E+01
2.16E+01,8.02E+01
2.21E+01,8.05E+01
2.26E+01,8.10E+01
2.33E+01,8.16E+01
2.39E+01,8.27E+01
2.47E+01,8.32E+01
2.54E+01,8.38E+01
2.61E+01,8.46E+01
2.66E+01,8.54E+01
2.71E+01,8.60E+01
2.80E+01,8.68E+01
2.86E+01,8.74E+01
2.93E+01,8.82E+01
3.00E+01,8.85E+01
3.04E+01,8.93E+01
3.11E+01,9.01E+01
3.18E+01,9.09E+01
3.26E+01,9.17E+01
3.33E+01,9.23E+01
3.37E+01,9.28E+01
3.42E+01,9.34E+01
3.52E+01,9.45E+01
3.60E+01,9.50E+01
3.67E+01,9.56E+01
3.72E+01,9.64E+01
3.79E+01,9.72E+01
3.86E+01,9.81E+01
3.94E+01,9.89E+01
4.01E+01,9.97E+01
4.11E+01,1.01E+02
4.19E+01,1.01E+02
4.26E+01,1.02E+02
4.32E+01,1.03E+02
4.39E+01,1.03E+02
4.45E+01,1.04E+02
4.49E+01,1.05E+02
4.56E+01,1.05E+02
4.64E+01,1.07E+02
4.71E+01,1.07E+02
4.77E+01,1.08E+02
4.82E+01,1.09E+02
4.88E+01,1.09E+02
4.97E+01,1.10E+02
5.01E+01,1.10E+02
5.06E+01,1.11E+02
5.14E+01,1.12E+02
5.23E+01,1.13E+02
5.32E+01,1.14E+02
5.39E+01,1.15E+02
5.48E+01,1.15E+02
5.57E+01,1.16E+02
5.62E+01,1.17E+02
5.69E+01,1.18E+02
5.81E+01,1.18E+02
5.89E+01,1.19E+02
6.00E+01,1.21E+02
6.10E+01,1.22E+02
6.18E+01,1.23E+02
6.25E+01,1.23E+02
6.30E+01,1.24E+02
6.37E+01,1.25E+02
6.45E+01,1.25E+02
6.52E+01,1.27E+02
6.59E+01,1.27E+02
6.67E+01,1.28E+02
6.77E+01,1.29E+02
6.88E+01,1.30E+02
6.93E+01,1.31E+02
7.00E+01,1.32E+02
7.09E+01,1.32E+02
7.16E+01,1.33E+02
7.24E+01,1.34E+02
7.34E+01,1.35E+02
7.41E+01,1.36E+02
7.48E+01,1.36E+02
7.56E+01,1.37E+02
7.64E+01,1.38E+02
7.71E+01,1.39E+02
7.79E+01,1.41E+02
7.87E+01,1.41E+02
7.97E+01,1.42E+02
8.05E+01,1.42E+02
8.09E+01,1.44E+02
8.16E+01,1.44E+02
8.24E+01,1.45E+02
8.35E+01,1.46E+02
8.42E+01,1.47E+02
8.50E+01,1.47E+02
8.57E+01,1.48E+02
8.66E+01,1.50E+02
8.73E+01,1.50E+02
8.80E+01,1.51E+02
8.87E+01,1.52E+02
8.96E+01,1.52E+02
9.02E+01,1.53E+02
9.09E+01,1.54E+02
9.14E+01,1.55E+02
9.24E+01,1.56E+02
9.33E+01,1.56E+02
9.40E+01,1.57E+02
9.47E+01,1.58E+02
9.52E+01,1.58E+02
9.59E+01,1.59E+02
9.69E+01,1.60E+02
9.77E+01,1.61E+02
9.85E+01,1.62E+02
9.90E+01,1.63E+02
9.96E+01,1.63E+02
