Concentrations | C_ext_Na (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
9.55E-01,1.42E+01
1.77E+00,1.51E+01
2.73E+00,1.56E+01
3.41E+00,1.67E+01
4.23E+00,1.78E+01
5.05E+00,1.86E+01
5.73E+00,1.97E+01
6.41E+00,2.03E+01
7.50E+00,2.14E+01
9.14E+00,2.33E+01
8.46E+00,2.27E+01
9.96E+00,2.36E+01
1.04E+01,2.44E+01
1.12E+01,2.52E+01
1.19E+01,2.63E+01
1.24E+01,2.66E+01
1.31E+01,2.74E+01
1.41E+01,2.85E+01
1.50E+01,2.99E+01
1.58E+01,3.07E+01
1.66E+01,3.10E+01
1.73E+01,3.18E+01
1.81E+01,3.29E+01
1.90E+01,3.40E+01
1.98E+01,3.45E+01
2.05E+01,3.56E+01
2.14E+01,3.64E+01
2.22E+01,3.73E+01
2.33E+01,3.81E+01
2.41E+01,3.92E+01
2.50E+01,4.03E+01
2.59E+01,4.08E+01
2.66E+01,4.19E+01
2.74E+01,4.28E+01
2.86E+01,4.39E+01
2.95E+01,4.47E+01
3.06E+01,4.60E+01
3.18E+01,4.71E+01
3.25E+01,4.80E+01
3.36E+01,4.85E+01
3.44E+01,4.99E+01
3.51E+01,5.10E+01
3.66E+01,5.18E+01
3.74E+01,5.26E+01
3.81E+01,5.37E+01
3.94E+01,5.46E+01
4.01E+01,5.57E+01
4.08E+01,5.65E+01
4.15E+01,5.70E+01
4.22E+01,5.76E+01
4.26E+01,5.84E+01
4.31E+01,5.92E+01
4.37E+01,5.98E+01
4.43E+01,6.03E+01
4.53E+01,6.11E+01
4.58E+01,6.17E+01
4.64E+01,6.22E+01
4.71E+01,6.33E+01
4.75E+01,6.42E+01
4.77E+01,6.42E+01
4.84E+01,6.50E+01
4.91E+01,6.53E+01
4.95E+01,6.58E+01
5.01E+01,6.63E+01
5.06E+01,6.74E+01
5.12E+01,6.83E+01
5.17E+01,6.85E+01
5.24E+01,6.91E+01
5.32E+01,6.99E+01
5.36E+01,7.05E+01
5.43E+01,7.07E+01
5.47E+01,7.16E+01
5.51E+01,7.18E+01
5.59E+01,7.27E+01
5.65E+01,7.32E+01
5.73E+01,7.35E+01
5.77E+01,7.43E+01
5.81E+01,7.46E+01
5.91E+01,7.54E+01
5.99E+01,7.62E+01
6.04E+01,7.68E+01
6.11E+01,7.84E+01
6.19E+01,7.87E+01
6.28E+01,7.98E+01
6.32E+01,8.03E+01
6.37E+01,8.09E+01
6.43E+01,8.14E+01
6.51E+01,8.25E+01
6.58E+01,8.31E+01
6.67E+01,8.36E+01
6.73E+01,8.45E+01
6.78E+01,8.53E+01
6.85E+01,8.61E+01
6.93E+01,8.72E+01
6.98E+01,8.72E+01
7.05E+01,8.80E+01
7.09E+01,8.86E+01
7.16E+01,8.94E+01
7.22E+01,8.99E+01
7.27E+01,9.08E+01
7.35E+01,9.16E+01
7.44E+01,9.19E+01
7.48E+01,9.21E+01
7.52E+01,9.27E+01
7.54E+01,9.32E+01
7.60E+01,9.38E+01
7.64E+01,9.43E+01
7.68E+01,9.49E+01
7.72E+01,9.54E+01
7.78E+01,9.62E+01
7.84E+01,9.68E+01
7.91E+01,9.76E+01
7.97E+01,9.82E+01
8.04E+01,9.90E+01
8.09E+01,9.95E+01
8.14E+01,1.00E+02
8.20E+01,1.01E+02
8.29E+01,1.02E+02
8.35E+01,1.03E+02
8.40E+01,1.03E+02
8.49E+01,1.03E+02
8.55E+01,1.04E+02
8.61E+01,1.04E+02
8.66E+01,1.05E+02
8.72E+01,1.06E+02
8.79E+01,1.06E+02
8.84E+01,1.07E+02
8.89E+01,1.07E+02
8.95E+01,1.08E+02
9.02E+01,1.09E+02
9.07E+01,1.09E+02
9.13E+01,1.10E+02
9.17E+01,1.11E+02
9.24E+01,1.11E+02
9.29E+01,1.12E+02
9.33E+01,1.12E+02
9.39E+01,1.13E+02
9.44E+01,1.14E+02
9.51E+01,1.14E+02
9.56E+01,1.15E+02
9.62E+01,1.15E+02
9.67E+01,1.16E+02
9.74E+01,1.17E+02
9.80E+01,1.18E+02
9.86E+01,1.18E+02
9.93E+01,1.19E+02
