Concentrations | C_ext_NH4 (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
1,582.48
1.39,587.054
1.78,591.627
2.17,596.2
2.56,600.774
2.95,605.347
3.34,609.92
3.73,614.494
4.12,619.067
4.51,623.64
4.9,628.214
5.29,632.787
5.68,637.36
6.07,641.934
6.46,646.507
6.85,651.08
7.24,655.654
7.63,660.227
8.02,664.8
8.41,669.374
8.8,673.947
9.19,678.52
9.58,683.094
9.97,687.667
10.36,692.24
10.75,696.814
11.14,701.387
11.53,705.96
11.92,710.534
12.31,715.107
12.7,719.68
13.09,724.254
13.48,728.827
13.87,733.4
14.26,737.974
14.65,742.547
15.04,747.12
15.43,751.694
15.82,756.267
16.21,760.84
16.6,765.414
16.99,769.987
17.38,774.56
17.77,779.134
18.16,783.707
18.55,788.28
18.94,792.854
19.33,797.427
19.72,802
20.11,806.574
20.5,811.147
20.89,815.72
21.28,820.294
21.67,824.867
22.06,829.44
22.45,834.014
22.84,838.587
23.23,843.16
23.62,847.734
24.01,852.307
24.4,856.88
24.79,861.454
25.18,866.027
25.57,870.6
25.96,875.174
26.35,879.747
26.74,884.32
27.13,888.894
27.52,893.467
27.91,898.04
28.3,902.614
28.69,907.187
29.08,911.76
29.47,916.334
29.86,920.907
30.25,925.48
30.64,930.054
31.03,934.627
31.42,939.2
31.81,943.774
32.2,948.347
32.59,952.92
32.98,957.494
33.37,962.067
33.76,966.64
34.15,971.214
34.54,975.787
34.93,980.36
35.32,984.934
35.71,989.507
36.1,994.08
36.49,998.654
36.88,1003.23
37.27,1007.8
37.66,1012.37
38.05,1016.95
38.44,1021.52
38.83,1026.09
39.22,1030.67
39.61,1035.24
40,1039.81
