Concentrations | C_ext_NH4 (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
1.04E+00,5.76E+02
1.24E+00,5.81E+02
1.55E+00,5.84E+02
1.70E+00,5.87E+02
1.90E+00,5.89E+02
2.16E+00,5.92E+02
2.46E+00,5.95E+02
2.72E+00,5.98E+02
2.97E+00,6.03E+02
3.27E+00,6.06E+02
3.58E+00,6.08E+02
3.93E+00,6.12E+02
4.19E+00,6.16E+02
4.44E+00,6.19E+02
4.64E+00,6.22E+02
4.90E+00,6.25E+02
5.25E+00,6.30E+02
5.56E+00,6.31E+02
5.81E+00,6.38E+02
6.12E+00,6.39E+02
6.27E+00,6.41E+02
6.47E+00,6.44E+02
6.77E+00,6.47E+02
7.13E+00,6.50E+02
7.54E+00,6.55E+02
7.84E+00,6.58E+02
8.09E+00,6.61E+02
8.40E+00,6.64E+02
8.75E+00,6.69E+02
9.06E+00,6.74E+02
9.31E+00,6.75E+02
9.57E+00,6.79E+02
9.92E+00,6.85E+02
1.01E+01,6.86E+02
1.04E+01,6.90E+02
1.07E+01,6.93E+02
1.10E+01,6.99E+02
1.14E+01,7.02E+02
1.16E+01,7.04E+02
1.19E+01,7.10E+02
1.24E+01,7.13E+02
1.27E+01,7.15E+02
1.29E+01,7.21E+02
1.32E+01,7.24E+02
1.35E+01,7.27E+02
1.39E+01,7.34E+02
1.42E+01,7.37E+02
1.44E+01,7.41E+02
1.47E+01,7.43E+02
1.50E+01,7.48E+02
1.54E+01,7.54E+02
1.57E+01,7.57E+02
1.59E+01,7.59E+02
1.61E+01,7.59E+02
1.64E+01,7.65E+02
1.67E+01,7.68E+02
1.71E+01,7.71E+02
1.75E+01,7.76E+02
1.79E+01,7.81E+02
1.81E+01,7.85E+02
1.85E+01,7.89E+02
1.87E+01,7.92E+02
1.91E+01,7.96E+02
1.94E+01,8.00E+02
1.97E+01,8.03E+02
1.99E+01,8.04E+02
2.02E+01,8.11E+02
2.07E+01,8.14E+02
2.09E+01,8.15E+02
2.12E+01,8.22E+02
2.14E+01,8.23E+02
2.17E+01,8.28E+02
2.19E+01,8.31E+02
2.22E+01,8.36E+02
2.26E+01,8.37E+02
2.29E+01,8.42E+02
2.33E+01,8.45E+02
2.37E+01,8.48E+02
2.40E+01,8.55E+02
2.44E+01,8.58E+02
2.46E+01,8.61E+02
2.50E+01,8.67E+02
2.53E+01,8.69E+02
2.56E+01,8.74E+02
2.60E+01,8.77E+02
2.63E+01,8.81E+02
2.65E+01,8.85E+02
2.68E+01,8.88E+02
2.71E+01,8.91E+02
2.75E+01,8.99E+02
2.80E+01,9.05E+02
2.84E+01,9.07E+02
2.87E+01,9.11E+02
2.90E+01,9.18E+02
2.94E+01,9.21E+02
2.96E+01,9.25E+02
3.01E+01,9.29E+02
3.04E+01,9.32E+02
3.07E+01,9.38E+02
3.12E+01,9.41E+02
3.15E+01,9.44E+02
3.18E+01,9.52E+02
3.22E+01,9.55E+02
3.24E+01,9.59E+02
3.29E+01,9.65E+02
3.33E+01,9.70E+02
3.35E+01,9.70E+02
3.38E+01,9.73E+02
3.40E+01,9.77E+02
3.43E+01,9.81E+02
3.47E+01,9.87E+02
3.50E+01,9.88E+02
3.53E+01,9.93E+02
3.56E+01,9.96E+02
3.60E+01,1.00E+03
3.64E+01,1.00E+03
3.66E+01,1.01E+03
3.70E+01,1.01E+03
3.73E+01,1.01E+03
3.76E+01,1.02E+03
3.78E+01,1.02E+03
3.80E+01,1.02E+03
3.82E+01,1.03E+03
3.84E+01,1.03E+03
