Concentrations | C_ext_NH4 (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
1,145.015
1.39,149.589
1.78,154.162
2.17,158.735
2.56,163.309
2.95,167.882
3.34,172.455
3.73,177.029
4.12,181.602
4.51,186.175
4.9,190.749
5.29,195.322
5.68,199.895
6.07,204.469
6.46,209.042
6.85,213.615
7.24,218.189
7.63,222.762
8.02,227.335
8.41,231.909
8.8,236.482
9.19,241.055
9.58,245.629
9.97,250.202
10.36,254.775
10.75,259.349
11.14,263.922
11.53,268.495
11.92,273.069
12.31,277.642
12.7,282.215
13.09,286.789
13.48,291.362
13.87,295.935
14.26,300.509
14.65,305.082
15.04,309.655
15.43,314.229
15.82,318.802
16.21,323.375
16.6,327.949
16.99,332.522
17.38,337.095
17.77,341.669
18.16,346.242
18.55,350.815
18.94,355.389
19.33,359.962
19.72,364.535
20.11,369.109
20.5,373.682
20.89,378.255
21.28,382.829
21.67,387.402
22.06,391.975
22.45,396.549
22.84,401.122
23.23,405.695
23.62,410.269
24.01,414.842
24.4,419.415
24.79,423.989
25.18,428.562
25.57,433.135
25.96,437.709
26.35,442.282
26.74,446.855
27.13,451.429
27.52,456.002
27.91,460.575
28.3,465.149
28.69,469.722
29.08,474.295
29.47,478.869
29.86,483.442
30.25,488.015
30.64,492.589
31.03,497.162
31.42,501.735
31.81,506.309
32.2,510.882
32.59,515.455
32.98,520.029
33.37,524.602
33.76,529.175
34.15,533.749
34.54,538.322
34.93,542.895
35.32,547.469
35.71,552.042
36.1,556.615
36.49,561.189
36.88,565.762
37.27,570.335
37.66,574.909
38.05,579.482
38.44,584.055
38.83,588.629
39.22,593.202
39.61,597.775
40,602.349
