Concentrations | C_ext_NH4 (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
1.06E+00,1.40E+02
1.16E+00,1.46E+02
1.36E+00,1.47E+02
1.57E+00,1.49E+02
1.77E+00,1.52E+02
2.13E+00,1.58E+02
2.43E+00,1.62E+02
2.63E+00,1.63E+02
2.89E+00,1.66E+02
3.14E+00,1.69E+02
3.44E+00,1.73E+02
3.60E+00,1.73E+02
3.95E+00,1.77E+02
4.10E+00,1.79E+02
4.41E+00,1.85E+02
4.76E+00,1.88E+02
5.12E+00,1.91E+02
5.32E+00,1.95E+02
5.63E+00,1.98E+02
5.83E+00,2.01E+02
6.08E+00,2.02E+02
6.39E+00,2.06E+02
6.74E+00,2.09E+02
7.00E+00,2.12E+02
7.25E+00,2.15E+02
7.50E+00,2.18E+02
7.81E+00,2.23E+02
8.06E+00,2.28E+02
8.37E+00,2.32E+02
8.67E+00,2.36E+02
8.97E+00,2.40E+02
9.28E+00,2.45E+02
9.53E+00,2.47E+02
9.84E+00,2.48E+02
1.01E+01,2.51E+02
1.05E+01,2.54E+02
1.08E+01,2.61E+02
1.12E+01,2.69E+02
1.17E+01,2.72E+02
1.20E+01,2.76E+02
1.21E+01,2.76E+02
1.23E+01,2.80E+02
1.25E+01,2.83E+02
1.28E+01,2.87E+02
1.31E+01,2.89E+02
1.34E+01,2.91E+02
1.37E+01,2.94E+02
1.40E+01,3.00E+02
1.43E+01,3.02E+02
1.47E+01,3.03E+02
1.49E+01,3.06E+02
1.52E+01,3.11E+02
1.56E+01,3.16E+02
1.59E+01,3.19E+02
1.62E+01,3.24E+02
1.64E+01,3.25E+02
1.67E+01,3.30E+02
1.70E+01,3.32E+02
1.72E+01,3.36E+02
1.75E+01,3.38E+02
1.77E+01,3.41E+02
1.79E+01,3.43E+02
1.82E+01,3.46E+02
1.84E+01,3.49E+02
1.87E+01,3.54E+02
1.90E+01,3.57E+02
1.93E+01,3.60E+02
1.96E+01,3.65E+02
1.99E+01,3.68E+02
2.02E+01,3.69E+02
2.05E+01,3.76E+02
2.07E+01,3.79E+02
2.10E+01,3.82E+02
2.14E+01,3.87E+02
2.17E+01,3.88E+02
2.20E+01,3.90E+02
2.23E+01,3.95E+02
2.26E+01,4.01E+02
2.30E+01,4.07E+02
2.33E+01,4.09E+02
2.35E+01,4.12E+02
2.38E+01,4.15E+02
2.41E+01,4.20E+02
2.44E+01,4.23E+02
2.47E+01,4.28E+02
2.50E+01,4.32E+02
2.54E+01,4.35E+02
2.58E+01,4.39E+02
2.63E+01,4.46E+02
2.65E+01,4.50E+02
2.68E+01,4.53E+02
2.72E+01,4.57E+02
2.76E+01,4.61E+02
2.79E+01,4.65E+02
2.83E+01,4.67E+02
2.86E+01,4.72E+02
2.89E+01,4.76E+02
2.93E+01,4.83E+02
2.96E+01,4.84E+02
2.99E+01,4.89E+02
3.01E+01,4.92E+02
3.04E+01,4.95E+02
3.07E+01,4.98E+02
3.12E+01,5.03E+02
3.16E+01,5.06E+02
3.20E+01,5.11E+02
3.24E+01,5.17E+02
3.28E+01,5.17E+02
3.30E+01,5.24E+02
3.33E+01,5.27E+02
3.37E+01,5.33E+02
3.39E+01,5.38E+02
3.43E+01,5.41E+02
3.47E+01,5.44E+02
3.50E+01,5.47E+02
3.53E+01,5.50E+02
3.56E+01,5.57E+02
3.60E+01,5.58E+02
3.63E+01,5.63E+02
3.66E+01,5.68E+02
3.69E+01,5.69E+02
3.73E+01,5.74E+02
3.75E+01,5.79E+02
3.79E+01,5.85E+02
3.82E+01,5.87E+02
3.87E+01,5.93E+02
3.91E+01,5.98E+02
3.94E+01,6.01E+02
