Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
4,0.107064
4.005,0.107051
4.01,0.107038
4.015,0.107026
4.02,0.107013
4.025,0.106999
4.03,0.106986
4.035,0.106973
4.04,0.106959
4.045,0.106945
4.05,0.106931
4.055,0.106917
4.06,0.106903
4.065,0.106889
4.07,0.106874
4.075,0.10686
4.08,0.106845
4.085,0.10683
4.09,0.106814
4.095,0.106799
4.1,0.106783
4.105,0.106768
4.11,0.106752
4.115,0.106736
4.12,0.106719
4.125,0.106703
4.13,0.106686
4.135,0.106669
4.14,0.106652
4.145,0.106635
4.15,0.106618
4.155,0.1066
4.16,0.106582
4.165,0.106564
4.17,0.106546
4.175,0.106528
4.18,0.106509
4.185,0.10649
4.19,0.106471
4.195,0.106452
4.2,0.106433
4.205,0.106413
4.21,0.106393
4.215,0.106373
4.22,0.106353
4.225,0.106332
4.23,0.106311
4.235,0.10629
4.24,0.106269
4.245,0.106247
4.25,0.106226
4.255,0.106204
4.26,0.106181
4.265,0.106159
4.27,0.106136
4.275,0.106113
4.28,0.10609
4.285,0.106066
4.29,0.106042
4.295,0.106018
4.3,0.105994
4.305,0.10597
4.31,0.105945
4.315,0.10592
4.32,0.105894
4.325,0.105868
4.33,0.105842
4.335,0.105816
4.34,0.10579
4.345,0.105763
4.35,0.105736
4.355,0.105708
4.36,0.10568
4.365,0.105652
4.37,0.105624
4.375,0.105595
4.38,0.105566
4.385,0.105537
4.39,0.105507
4.395,0.105477
4.4,0.105447
4.405,0.105416
4.41,0.105386
4.415,0.105354
4.42,0.105323
4.425,0.105291
4.43,0.105258
4.435,0.105225
4.44,0.105192
4.445,0.105159
4.45,0.105125
4.455,0.105091
4.46,0.105056
4.465,0.105022
4.47,0.104986
4.475,0.104951
4.48,0.104915
4.485,0.104878
4.49,0.104841
4.495,0.104804
4.5,0.104766
4.505,0.104728
4.51,0.10469
4.515,0.104651
4.52,0.104611
4.525,0.104572
4.53,0.104532
4.535,0.104491
4.54,0.10445
4.545,0.104408
4.55,0.104366
4.555,0.104324
4.56,0.104281
4.565,0.104238
4.57,0.104194
4.575,0.10415
4.58,0.104105
4.585,0.10406
4.59,0.104014
4.595,0.103968
4.6,0.103921
4.605,0.103874
4.61,0.103826
4.615,0.103778
4.62,0.103729
4.625,0.10368
4.63,0.103631
4.635,0.10358
4.64,0.103529
4.645,0.103478
4.65,0.103426
4.655,0.103374
4.66,0.103321
4.665,0.103267
4.67,0.103213
4.675,0.103158
4.68,0.103103
4.685,0.103047
4.69,0.102991
4.695,0.102934
4.7,0.102876
4.705,0.102818
4.71,0.102759
4.715,0.1027
4.72,0.10264
4.725,0.102579
4.73,0.102518
4.735,0.102456
4.74,0.102393
4.745,0.10233
4.75,0.102266
4.755,0.102201
4.76,0.102136
4.765,0.10207
4.77,0.102004
4.775,0.101936
4.78,0.101868
4.785,0.1018
4.79,0.10173
4.795,0.10166
4.8,0.101589
4.805,0.101518
4.81,0.101446
4.815,0.101373
4.82,0.101299
4.825,0.101224
4.83,0.101149
4.835,0.101073
4.84,0.100996
4.845,0.100919
4.85,0.100841
4.855,0.100762
4.86,0.100682
4.865,0.100601
4.87,0.10052
4.875,0.100437
4.88,0.100354
4.885,0.10027
4.89,0.100185
4.895,0.1001
4.9,0.100013
4.905,0.0999261
4.91,0.0998379
4.915,0.0997488
4.92,0.0996589
4.925,0.0995681
4.93,0.0994765
4.935,0.0993839
4.94,0.0992904
4.945,0.099196
4.95,0.0991007
4.955,0.0990045
4.96,0.0989074
4.965,0.0988093
4.97,0.0987103
4.975,0.0986103
4.98,0.0985093
4.985,0.0984074
4.99,0.0983046
4.995,0.0982007
5,0.0980959
5.005,0.0979901
5.01,0.0978833
5.015,0.0977754
5.02,0.0976666
5.025,0.0975567
5.03,0.0974458
5.035,0.0973339
5.04,0.097221
5.045,0.0971069
5.05,0.0969919
5.055,0.0968757
5.06,0.0967585
5.065,0.0966403
5.07,0.0965209
5.075,0.0964005
5.08,0.0962789
5.085,0.0961563
5.09,0.0960325
5.095,0.0959076
5.1,0.0957816
5.105,0.0956545
5.11,0.0955262
5.115,0.0953968
5.12,0.0952663
5.125,0.0951345
5.13,0.0950017
5.135,0.0948676
5.14,0.0947324
5.145,0.0945959
5.15,0.0944583
5.155,0.0943195
5.16,0.0941795
5.165,0.0940383
5.17,0.0938959
5.175,0.0937522
5.18,0.0936073
5.185,0.0934612
5.19,0.0933138
5.195,0.0931652
5.2,0.0930154
5.205,0.0928642
5.21,0.0927118
5.215,0.0925582
5.22,0.0924033
5.225,0.0922471
5.23,0.0920896
5.235,0.0919308
5.24,0.0917707
5.245,0.0916093
5.25,0.0914466
5.255,0.0912826
5.26,0.0911173
5.265,0.0909506
5.27,0.0907827
5.275,0.0906134
5.28,0.0904427
5.285,0.0902707
5.29,0.0900974
5.295,0.0899228
5.3,0.0897467
5.305,0.0895693
5.31,0.0893906
5.315,0.0892105
5.32,0.089029
5.325,0.0888462
5.33,0.0886619
5.335,0.0884763
5.34,0.0882894
5.345,0.088101
5.35,0.0879112
5.355,0.0877201
5.36,0.0875275
5.365,0.0873336
5.37,0.0871383
5.375,0.0869416
5.38,0.0867434
5.385,0.0865439
5.39,0.086343
5.395,0.0861406
5.4,0.0859369
5.405,0.0857317
5.41,0.0855251
5.415,0.0853172
5.42,0.0851078
5.425,0.084897
5.43,0.0846848
5.435,0.0844712
5.44,0.0842561
5.445,0.0840397
5.45,0.0838219
5.455,0.0836026
5.46,0.0833819
5.465,0.0831599
5.47,0.0829364
5.475,0.0827115
5.48,0.0824852
5.485,0.0822576
5.49,0.0820285
5.495,0.081798
5.5,0.0815661
5.505,0.0813329
5.51,0.0810982
5.515,0.0808622
5.52,0.0806248
5.525,0.080386
5.53,0.0801459
5.535,0.0799044
5.54,0.0796615
5.545,0.0794172
5.55,0.0791716
5.555,0.0789247
5.56,0.0786764
5.565,0.0784268
5.57,0.0781758
5.575,0.0779235
5.58,0.0776699
5.585,0.077415
5.59,0.0771588
5.595,0.0769013
5.6,0.0766424
5.605,0.0763824
5.61,0.076121
5.615,0.0758583
5.62,0.0755944
5.625,0.0753293
5.63,0.0750629
5.635,0.0747952
5.64,0.0745264
5.645,0.0742563
5.65,0.073985
5.655,0.0737126
5.66,0.0734389
5.665,0.0731641
5.67,0.0728881
5.675,0.072611
5.68,0.0723327
5.685,0.0720533
5.69,0.0717727
5.695,0.0714911
5.7,0.0712083
5.705,0.0709245
5.71,0.0706396
5.715,0.0703537
5.72,0.0700667
5.725,0.0697787
5.73,0.0694897
5.735,0.0691997
5.74,0.0689087
5.745,0.0686167
5.75,0.0683237
5.755,0.0680298
5.76,0.067735
5.765,0.0674393
5.77,0.0671427
5.775,0.0668452
5.78,0.0665468
5.785,0.0662476
5.79,0.0659475
5.795,0.0656467
5.8,0.065345
5.805,0.0650425
5.81,0.0647393
5.815,0.0644353
5.82,0.0641306
5.825,0.0638252
5.83,0.0635191
5.835,0.0632123
5.84,0.0629049
5.845,0.0625968
5.85,0.0622881
5.855,0.0619788
5.86,0.0616689
5.865,0.0613584
5.87,0.0610474
5.875,0.0607358
5.88,0.0604238
5.885,0.0601113
5.89,0.0597983
5.895,0.0594848
5.9,0.0591709
5.905,0.0588566
5.91,0.0585419
5.915,0.0582269
5.92,0.0579115
5.925,0.0575958
5.93,0.0572797
5.935,0.0569634
5.94,0.0566468
5.945,0.05633
5.95,0.0560129
5.955,0.0556957
5.96,0.0553782
5.965,0.0550606
5.97,0.0547429
5.975,0.054425
5.98,0.054107
5.985,0.053789
5.99,0.0534709
5.995,0.0531528
6,0.0528346
6.005,0.0525165
6.01,0.0521984
6.015,0.0518803
6.02,0.0515623
6.025,0.0512444
6.03,0.0509266
6.035,0.050609
6.04,0.0502915
6.045,0.0499742
6.05,0.049657
6.055,0.0493401
6.06,0.0490235
6.065,0.0487071
6.07,0.0483909
6.075,0.0480751
6.08,0.0477596
6.085,0.0474445
6.09,0.0471297
6.095,0.0468153
6.1,0.0465013
6.105,0.0461877
6.11,0.0458746
6.115,0.0455619
6.12,0.0452497
6.125,0.044938
6.13,0.0446269
6.135,0.0443163
6.14,0.0440062
6.145,0.0436967
6.15,0.0433879
6.155,0.0430796
6.16,0.042772
6.165,0.042465
6.17,0.0421588
6.175,0.0418532
6.18,0.0415483
6.185,0.0412441
6.19,0.0409407
6.195,0.0406381
6.2,0.0403363
6.205,0.0400352
6.21,0.039735
6.215,0.0394356
6.22,0.039137
6.225,0.0388393
6.23,0.0385425
6.235,0.0382466
6.24,0.0379516
6.245,0.0376575
6.25,0.0373644
6.255,0.0370723
6.26,0.0367811
6.265,0.0364909
6.27,0.0362017
6.275,0.0359135
6.28,0.0356264
6.285,0.0353403
6.29,0.0350552
6.295,0.0347713
6.3,0.0344884
6.305,0.0342066
6.31,0.0339259
6.315,0.0336464
6.32,0.033368
6.325,0.0330907
6.33,0.0328146
6.335,0.0325397
6.34,0.0322659
6.345,0.0319933
6.35,0.031722
6.355,0.0314518
6.36,0.0311829
6.365,0.0309152
6.37,0.0306488
6.375,0.0303836
6.38,0.0301197
6.385,0.029857
6.39,0.0295956
6.395,0.0293355
6.4,0.0290767
6.405,0.0288192
6.41,0.028563
6.415,0.0283082
6.42,0.0280546
6.425,0.0278024
6.43,0.0275516
6.435,0.027302
6.44,0.0270539
6.445,0.0268071
6.45,0.0265616
6.455,0.0263175
6.46,0.0260748
6.465,0.0258335
6.47,0.0255936
6.475,0.025355
6.48,0.0251179
6.485,0.0248821
6.49,0.0246477
6.495,0.0244148
6.5,0.0241832
6.505,0.0239531
6.51,0.0237244
6.515,0.0234971
6.52,0.0232712
6.525,0.0230467
6.53,0.0228237
6.535,0.0226021
6.54,0.0223819
6.545,0.0221632
6.55,0.0219458
6.555,0.0217299
6.56,0.0215155
6.565,0.0213025
6.57,0.0210909
6.575,0.0208807
6.58,0.020672
6.585,0.0204647
6.59,0.0202588
6.595,0.0200544
6.6,0.0198514
6.605,0.0196499
6.61,0.0194498
6.615,0.0192511
6.62,0.0190538
6.625,0.018858
6.63,0.0186636
6.635,0.0184706
6.64,0.018279
6.645,0.0180889
6.65,0.0179001
6.655,0.0177128
6.66,0.0175269
6.665,0.0173425
6.67,0.0171594
6.675,0.0169777
6.68,0.0167974
6.685,0.0166186
6.69,0.0164411
6.695,0.016265
6.7,0.0160903
6.705,0.015917
6.71,0.0157451
6.715,0.0155745
6.72,0.0154053
6.725,0.0152375
6.73,0.0150711
6.735,0.014906
6.74,0.0147422
6.745,0.0145798
6.75,0.0144188
6.755,0.0142591
6.76,0.0141007
6.765,0.0139437
6.77,0.013788
6.775,0.0136336
6.78,0.0134806
6.785,0.0133288
6.79,0.0131784
6.795,0.0130292
6.8,0.0128813
6.805,0.0127348
6.81,0.0125895
6.815,0.0124455
6.82,0.0123027
6.825,0.0121613
6.83,0.012021
6.835,0.0118821
6.84,0.0117444
6.845,0.0116079
6.85,0.0114727
6.855,0.0113386
6.86,0.0112059
6.865,0.0110743
6.87,0.0109439
6.875,0.0108148
6.88,0.0106868
6.885,0.01056
6.89,0.0104344
6.895,0.01031
6.9,0.0101868
6.905,0.0100647
6.91,0.00994378
