Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
4.01E+00,1.06E-01
4.04E+00,1.06E-01
4.08E+00,1.05E-01
4.12E+00,1.05E-01
4.15E+00,1.05E-01
4.19E+00,1.05E-01
4.24E+00,1.05E-01
4.30E+00,1.05E-01
4.35E+00,1.05E-01
4.40E+00,1.04E-01
4.43E+00,1.04E-01
4.46E+00,1.04E-01
4.49E+00,1.04E-01
4.55E+00,1.04E-01
4.60E+00,1.03E-01
4.65E+00,1.02E-01
4.68E+00,1.02E-01
4.72E+00,1.01E-01
4.75E+00,1.01E-01
4.81E+00,1.01E-01
4.83E+00,1.00E-01
4.85E+00,9.96E-02
4.87E+00,9.93E-02
4.91E+00,9.88E-02
4.94E+00,9.85E-02
4.97E+00,9.77E-02
4.99E+00,9.74E-02
5.01E+00,9.69E-02
5.04E+00,9.63E-02
5.07E+00,9.57E-02
5.09E+00,9.50E-02
5.13E+00,9.46E-02
5.16E+00,9.35E-02
5.18E+00,9.27E-02
5.21E+00,9.19E-02
5.24E+00,9.13E-02
5.25E+00,9.05E-02
5.28E+00,8.95E-02
5.31E+00,8.87E-02
5.33E+00,8.78E-02
5.36E+00,8.70E-02
5.38E+00,8.61E-02
5.40E+00,8.53E-02
5.42E+00,8.45E-02
5.44E+00,8.34E-02
5.46E+00,8.25E-02
5.48E+00,8.15E-02
5.51E+00,8.04E-02
5.52E+00,7.96E-02
5.55E+00,7.87E-02
5.57E+00,7.77E-02
5.59E+00,7.69E-02
5.60E+00,7.63E-02
5.61E+00,7.55E-02
5.62E+00,7.47E-02
5.64E+00,7.40E-02
5.65E+00,7.32E-02
5.67E+00,7.22E-02
5.70E+00,7.14E-02
5.71E+00,7.05E-02
5.72E+00,6.99E-02
5.73E+00,6.92E-02
5.75E+00,6.84E-02
5.75E+00,6.77E-02
5.77E+00,6.69E-02
5.78E+00,6.59E-02
5.78E+00,6.48E-02
5.80E+00,6.42E-02
5.82E+00,6.31E-02
5.83E+00,6.23E-02
5.84E+00,6.09E-02
5.86E+00,5.99E-02
5.88E+00,5.92E-02
5.90E+00,5.85E-02
5.92E+00,5.77E-02
5.92E+00,5.69E-02
5.94E+00,5.60E-02
5.96E+00,5.49E-02
5.97E+00,5.38E-02
5.99E+00,5.27E-02
6.01E+00,5.19E-02
6.03E+00,5.08E-02
6.03E+00,5.00E-02
6.05E+00,4.88E-02
6.07E+00,4.78E-02
6.08E+00,4.70E-02
6.10E+00,4.59E-02
6.11E+00,4.51E-02
6.12E+00,4.42E-02
6.14E+00,4.34E-02
6.16E+00,4.23E-02
6.18E+00,4.09E-02
6.19E+00,3.98E-02
6.21E+00,3.88E-02
6.23E+00,3.82E-02
6.25E+00,3.74E-02
6.25E+00,3.63E-02
6.27E+00,3.54E-02
6.29E+00,3.43E-02
6.30E+00,3.33E-02
6.33E+00,3.24E-02
6.35E+00,3.16E-02
6.37E+00,3.05E-02
6.38E+00,2.92E-02
6.40E+00,2.85E-02
6.42E+00,2.75E-02
6.43E+00,2.66E-02
6.46E+00,2.51E-02
6.48E+00,2.44E-02
6.51E+00,2.31E-02
6.53E+00,2.22E-02
6.54E+00,2.15E-02
6.58E+00,1.98E-02
6.60E+00,1.87E-02
6.64E+00,1.81E-02
6.67E+00,1.70E-02
6.70E+00,1.59E-02
6.72E+00,1.49E-02
6.75E+00,1.45E-02
6.77E+00,1.38E-02
6.80E+00,1.26E-02
6.82E+00,1.16E-02
6.85E+00,1.08E-02
6.89E+00,1.01E-02
6.92E+00,9.27E-03
6.95E+00,8.64E-03
6.98E+00,8.01E-03
7.01E+00,7.38E-03
7.05E+00,6.28E-03
7.08E+00,5.97E-03
7.12E+00,5.50E-03
7.16E+00,4.87E-03
7.20E+00,4.25E-03
7.24E+00,3.93E-03
7.28E+00,3.31E-03
7.32E+00,2.84E-03
7.36E+00,2.53E-03
7.42E+00,2.22E-03
7.48E+00,1.75E-03
7.53E+00,1.28E-03
7.57E+00,1.13E-03
7.62E+00,8.17E-04
7.67E+00,6.63E-04
7.72E+00,6.68E-04
7.79E+00,5.17E-04
7.85E+00,3.65E-04
7.92E+00,-1.02E-04
