Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
4,0.0540672
4.005,0.054067
4.01,0.0540669
4.015,0.0540667
4.02,0.0540666
4.025,0.0540664
4.03,0.0540663
4.035,0.0540661
4.04,0.0540659
4.045,0.0540658
4.05,0.0540656
4.055,0.0540654
4.06,0.0540653
4.065,0.0540651
4.07,0.0540649
4.075,0.0540648
4.08,0.0540646
4.085,0.0540644
4.09,0.0540642
4.095,0.0540641
4.1,0.0540639
4.105,0.0540637
4.11,0.0540635
4.115,0.0540633
4.12,0.0540631
4.125,0.0540629
4.13,0.0540627
4.135,0.0540625
4.14,0.0540623
4.145,0.0540621
4.15,0.0540619
4.155,0.0540617
4.16,0.0540615
4.165,0.0540613
4.17,0.0540611
4.175,0.0540608
4.18,0.0540606
4.185,0.0540604
4.19,0.0540602
4.195,0.05406
4.2,0.0540597
4.205,0.0540595
4.21,0.0540592
4.215,0.054059
4.22,0.0540588
4.225,0.0540585
4.23,0.0540583
4.235,0.054058
4.24,0.0540578
4.245,0.0540575
4.25,0.0540573
4.255,0.054057
4.26,0.0540567
4.265,0.0540565
4.27,0.0540562
4.275,0.0540559
4.28,0.0540556
4.285,0.0540554
4.29,0.0540551
4.295,0.0540548
4.3,0.0540545
4.305,0.0540542
4.31,0.0540539
4.315,0.0540536
4.32,0.0540533
4.325,0.054053
4.33,0.0540527
4.335,0.0540524
4.34,0.054052
4.345,0.0540517
4.35,0.0540514
4.355,0.0540511
4.36,0.0540507
4.365,0.0540504
4.37,0.05405
4.375,0.0540497
4.38,0.0540494
4.385,0.054049
4.39,0.0540486
4.395,0.0540483
4.4,0.0540479
4.405,0.0540475
4.41,0.0540472
4.415,0.0540468
4.42,0.0540464
4.425,0.054046
4.43,0.0540456
4.435,0.0540452
4.44,0.0540448
4.445,0.0540444
4.45,0.054044
4.455,0.0540436
4.46,0.0540432
4.465,0.0540428
4.47,0.0540423
4.475,0.0540419
4.48,0.0540414
4.485,0.054041
4.49,0.0540406
4.495,0.0540401
4.5,0.0540396
4.505,0.0540392
4.51,0.0540387
4.515,0.0540382
4.52,0.0540377
4.525,0.0540373
4.53,0.0540368
4.535,0.0540363
4.54,0.0540358
4.545,0.0540352
4.55,0.0540347
4.555,0.0540342
4.56,0.0540337
4.565,0.0540331
4.57,0.0540326
4.575,0.054032
4.58,0.0540315
4.585,0.0540309
4.59,0.0540304
4.595,0.0540298
4.6,0.0540292
4.605,0.0540286
4.61,0.054028
4.615,0.0540274
4.62,0.0540268
4.625,0.0540262
4.63,0.0540256
4.635,0.054025
4.64,0.0540243
4.645,0.0540237
4.65,0.054023
4.655,0.0540224
4.66,0.0540217
4.665,0.054021
4.67,0.0540204
4.675,0.0540197
4.68,0.054019
4.685,0.0540183
4.69,0.0540176
4.695,0.0540168
4.7,0.0540161
4.705,0.0540154
4.71,0.0540146
4.715,0.0540139
4.72,0.0540131
4.725,0.0540123
4.73,0.0540115
4.735,0.0540108
4.74,0.05401
4.745,0.0540091
4.75,0.0540083
4.755,0.0540075
4.76,0.0540067
4.765,0.0540058
4.77,0.054005
4.775,0.0540041
4.78,0.0540032
4.785,0.0540023
4.79,0.0540014
4.795,0.0540005
4.8,0.0539996
4.805,0.0539987
4.81,0.0539977
4.815,0.0539968
4.82,0.0539958
4.825,0.0539949
4.83,0.0539939
4.835,0.0539929
4.84,0.0539919
4.845,0.0539909
4.85,0.0539898
4.855,0.0539888
4.86,0.0539877
4.865,0.0539867
4.87,0.0539856
4.875,0.0539845
4.88,0.0539834
4.885,0.0539823
4.89,0.0539811
4.895,0.05398
4.9,0.0539789
4.905,0.0539777
4.91,0.0539765
4.915,0.0539753
4.92,0.0539741
4.925,0.0539729
4.93,0.0539716
4.935,0.0539704
4.94,0.0539691
4.945,0.0539678
4.95,0.0539665
4.955,0.0539652
4.96,0.0539639
4.965,0.0539626
4.97,0.0539612
4.975,0.0539598
4.98,0.0539585
4.985,0.0539571
4.99,0.0539556
4.995,0.0539542
5,0.0539527
5.005,0.0539513
5.01,0.0539498
5.015,0.0539483
5.02,0.0539468
5.025,0.0539452
5.03,0.0539437
5.035,0.0539421
5.04,0.0539405
5.045,0.0539389
5.05,0.0539373
5.055,0.0539356
5.06,0.053934
5.065,0.0539323
5.07,0.0539306
5.075,0.0539288
5.08,0.0539271
5.085,0.0539253
5.09,0.0539235
5.095,0.0539217
5.1,0.0539199
5.105,0.0539181
5.11,0.0539162
5.115,0.0539143
5.12,0.0539124
5.125,0.0539105
5.13,0.0539085
5.135,0.0539065
5.14,0.0539045
5.145,0.0539025
5.15,0.0539005
5.155,0.0538984
5.16,0.0538963
5.165,0.0538942
5.17,0.053892
5.175,0.0538899
5.18,0.0538877
5.185,0.0538855
5.19,0.0538832
5.195,0.0538809
5.2,0.0538786
5.205,0.0538763
5.21,0.053874
5.215,0.0538716
5.22,0.0538692
5.225,0.0538668
5.23,0.0538643
5.235,0.0538618
5.24,0.0538593
5.245,0.0538568
5.25,0.0538542
5.255,0.0538516
5.26,0.053849
5.265,0.0538463
5.27,0.0538436
5.275,0.0538409
5.28,0.0538381
5.285,0.0538353
5.29,0.0538325
5.295,0.0538297
5.3,0.0538268
5.305,0.0538239
5.31,0.0538209
5.315,0.0538179
5.32,0.0538149
5.325,0.0538119
5.33,0.0538088
5.335,0.0538056
5.34,0.0538025
5.345,0.0537993
5.35,0.0537961
5.355,0.0537928
5.36,0.0537895
5.365,0.0537861
5.37,0.0537827
5.375,0.0537793
5.38,0.0537759
5.385,0.0537724
5.39,0.0537688
5.395,0.0537652
5.4,0.0537616
5.405,0.053758
5.41,0.0537542
5.415,0.0537505
5.42,0.0537467
5.425,0.0537429
5.43,0.053739
5.435,0.0537351
5.44,0.0537311
5.445,0.0537271
5.45,0.053723
5.455,0.0537189
5.46,0.0537148
5.465,0.0537106
5.47,0.0537063
5.475,0.053702
5.48,0.0536977
5.485,0.0536933
5.49,0.0536889
5.495,0.0536844
5.5,0.0536798
5.505,0.0536752
5.51,0.0536706
5.515,0.0536659
5.52,0.0536611
5.525,0.0536563
5.53,0.0536514
5.535,0.0536465
5.54,0.0536415
5.545,0.0536365
5.55,0.0536314
5.555,0.0536262
5.56,0.053621
5.565,0.0536158
5.57,0.0536104
5.575,0.0536051
5.58,0.0535996
5.585,0.0535941
5.59,0.0535885
5.595,0.0535829
5.6,0.0535772
5.605,0.0535714
5.61,0.0535656
5.615,0.0535597
5.62,0.0535537
5.625,0.0535477
5.63,0.0535416
5.635,0.0535354
5.64,0.0535292
5.645,0.0535229
5.65,0.0535165
5.655,0.05351
5.66,0.0535035
5.665,0.0534969
5.67,0.0534902
5.675,0.0534835
5.68,0.0534766
5.685,0.0534697
5.69,0.0534627
5.695,0.0534557
5.7,0.0534485
5.705,0.0534413
5.71,0.053434
5.715,0.0534266
5.72,0.0534191
5.725,0.0534116
5.73,0.0534039
5.735,0.0533962
5.74,0.0533884
5.745,0.0533805
5.75,0.0533725
5.755,0.0533644
5.76,0.0533562
5.765,0.053348
5.77,0.0533396
5.775,0.0533312
5.78,0.0533226
5.785,0.053314
5.79,0.0533052
5.795,0.0532964
5.8,0.0532874
5.805,0.0532784
5.81,0.0532693
5.815,0.05326
5.82,0.0532507
5.825,0.0532412
5.83,0.0532317
5.835,0.053222
5.84,0.0532122
5.845,0.0532023
5.85,0.0531923
5.855,0.0531822
5.86,0.053172
5.865,0.0531617
5.87,0.0531512
5.875,0.0531407
5.88,0.05313
5.885,0.0531192
5.89,0.0531082
5.895,0.0530972
5.9,0.053086
5.905,0.0530747
5.91,0.0530633
5.915,0.0530518
5.92,0.0530401
5.925,0.0530283
5.93,0.0530163
5.935,0.0530043
5.94,0.0529921
5.945,0.0529797
5.95,0.0529672
5.955,0.0529546
5.96,0.0529419
5.965,0.052929
5.97,0.0529159
5.975,0.0529028
5.98,0.0528894
5.985,0.0528759
5.99,0.0528623
5.995,0.0528485
6,0.0528346
6.005,0.0528205
6.01,0.0528063
6.015,0.0527919
6.02,0.0527773
6.025,0.0527626
6.03,0.0527477
6.035,0.0527327
6.04,0.0527175
6.045,0.0527021
6.05,0.0526866
6.055,0.0526709
6.06,0.052655
6.065,0.0526389
6.07,0.0526227
6.075,0.0526063
6.08,0.0525897
6.085,0.0525729
6.09,0.0525559
6.095,0.0525388
6.1,0.0525215
6.105,0.0525039
6.11,0.0524862
6.115,0.0524683
6.12,0.0524502
6.125,0.0524319
6.13,0.0524134
6.135,0.0523947
6.14,0.0523758
6.145,0.0523567
6.15,0.0523374
