Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
4.01E+00,5.36E-02
4.03E+00,5.35E-02
4.06E+00,5.35E-02
4.10E+00,5.35E-02
4.18E+00,5.33E-02
4.24E+00,5.33E-02
4.29E+00,5.33E-02
4.32E+00,5.35E-02
4.35E+00,5.35E-02
4.40E+00,5.37E-02
4.44E+00,5.37E-02
4.51E+00,5.37E-02
4.54E+00,5.37E-02
4.59E+00,5.37E-02
4.63E+00,5.38E-02
4.70E+00,5.37E-02
4.74E+00,5.37E-02
4.78E+00,5.38E-02
4.82E+00,5.37E-02
4.88E+00,5.37E-02
4.93E+00,5.37E-02
4.96E+00,5.39E-02
5.01E+00,5.39E-02
5.06E+00,5.39E-02
5.09E+00,5.39E-02
5.14E+00,5.37E-02
5.19E+00,5.36E-02
5.24E+00,5.36E-02
5.30E+00,5.36E-02
5.36E+00,5.37E-02
5.41E+00,5.37E-02
5.47E+00,5.36E-02
5.53E+00,5.36E-02
5.58E+00,5.34E-02
5.64E+00,5.35E-02
5.67E+00,5.35E-02
5.71E+00,5.30E-02
5.77E+00,5.30E-02
5.83E+00,5.30E-02
5.88E+00,5.30E-02
5.94E+00,5.30E-02
5.97E+00,5.29E-02
6.00E+00,5.29E-02
6.06E+00,5.27E-02
6.10E+00,5.27E-02
6.15E+00,5.22E-02
6.20E+00,5.21E-02
6.24E+00,5.19E-02
6.28E+00,5.16E-02
6.31E+00,5.15E-02
6.36E+00,5.12E-02
6.40E+00,5.08E-02
6.45E+00,5.04E-02
6.50E+00,5.01E-02
6.53E+00,4.98E-02
6.56E+00,4.94E-02
6.63E+00,4.87E-02
6.67E+00,4.82E-02
6.71E+00,4.79E-02
6.74E+00,4.73E-02
6.79E+00,4.69E-02
6.81E+00,4.66E-02
6.85E+00,4.58E-02
6.88E+00,4.54E-02
6.91E+00,4.49E-02
6.94E+00,4.43E-02
6.97E+00,4.38E-02
7.01E+00,4.32E-02
7.04E+00,4.29E-02
7.07E+00,4.22E-02
7.09E+00,4.16E-02
7.12E+00,4.10E-02
7.15E+00,4.05E-02
7.17E+00,3.99E-02
7.20E+00,3.91E-02
7.24E+00,3.80E-02
7.27E+00,3.71E-02
7.30E+00,3.59E-02
7.33E+00,3.52E-02
7.35E+00,3.47E-02
7.38E+00,3.38E-02
7.41E+00,3.31E-02
7.45E+00,3.23E-02
7.48E+00,3.12E-02
7.51E+00,3.03E-02
7.54E+00,2.98E-02
7.56E+00,2.94E-02
7.58E+00,2.87E-02
7.61E+00,2.79E-02
7.63E+00,2.72E-02
7.67E+00,2.61E-02
7.71E+00,2.46E-02
7.74E+00,2.35E-02
7.77E+00,2.27E-02
7.80E+00,2.20E-02
7.82E+00,2.12E-02
7.85E+00,2.04E-02
7.89E+00,1.93E-02
7.92E+00,1.85E-02
7.95E+00,1.76E-02
7.97E+00,1.69E-02
7.99E+00,1.61E-02
8.02E+00,1.54E-02
8.06E+00,1.47E-02
8.09E+00,1.39E-02
8.11E+00,1.32E-02
8.15E+00,1.22E-02
8.19E+00,1.14E-02
8.23E+00,1.08E-02
8.26E+00,1.02E-02
8.30E+00,9.55E-03
8.34E+00,8.77E-03
8.37E+00,8.14E-03
8.41E+00,7.67E-03
8.45E+00,6.89E-03
8.49E+00,6.42E-03
8.54E+00,5.79E-03
8.58E+00,5.32E-03
8.62E+00,4.85E-03
8.66E+00,4.54E-03
8.72E+00,4.07E-03
8.76E+00,3.45E-03
8.80E+00,3.14E-03
8.86E+00,2.98E-03
8.91E+00,2.36E-03
8.95E+00,2.36E-03
8.99E+00,2.21E-03
