Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2),NHE3 | J_NHE3_Na2 (nmol_per_s_per_cm2)
6,0.000287474,0.000287474
6.05,0.000266959,0.000283305
6.1,0.000246703,0.000278781
6.15,0.000226851,0.000273888
6.2,0.000207542,0.000268619
6.25,0.0001889,0.000262967
6.3,0.000171038,0.000256935
6.35,0.000154051,0.000250529
6.4,0.000138014,0.000243765
6.45,0.000122988,0.000236666
6.5,0.000109009,0.000229264
6.55,9.61005e-05,0.000221602
6.6,8.42646e-05,0.000213733
6.65,7.34892e-05,0.000205721
6.7,6.3748e-05,0.000197638
6.75,5.50028e-05,0.00018957
6.8,4.72055e-05,0.000181609
6.85,4.03001e-05,0.000173855
6.9,3.42254e-05,0.000166416
6.95,2.89164e-05,0.000159407
7,2.43064e-05,0.000152944
7.05,2.03285e-05,0.000147149
7.1,1.69172e-05,0.000142146
7.15,1.40093e-05,0.000138059
7.2,1.1545e-05,0.000135014
7.25,9.46852e-06,0.000133139
7.3,7.72838e-06,0.000132565
7.35,6.27787e-06,0.000133425
7.4,5.07504e-06,0.000135858
7.45,4.08257e-06,0.000140009
7.5,3.26766e-06,0.000146036
7.55,2.60169e-06,0.000154104
7.6,2.05998e-06,0.000164398
7.65,1.62134e-06,0.00017712
7.7,1.26778e-06,0.000192495
7.75,9.84095e-07,0.000210775
7.8,7.57533e-07,0.000232242
7.85,5.77456e-07,0.000257214
7.9,4.35047e-07,0.000286053
7.95,3.23029e-07,0.000319163
8,2.35431e-07,0.000357004
