Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_H (nmol_per_s_per_cm2),NHE3 | J_NHE3_H2 (nmol_per_s_per_cm2)
6,-0.00028746,-0.00028746
6.05,-0.00026684,-0.000283172
6.1,-0.000246484,-0.000278501
6.15,-0.000226537,-0.000273431
6.2,-0.000207138,-0.000267944
6.25,-0.000188414,-0.000262028
6.3,-0.000170476,-0.000255675
6.35,-0.000153422,-0.00024888
6.4,-0.000137327,-0.000241646
6.45,-0.000122251,-0.000233982
6.5,-0.000108233,-0.000225901
6.55,-9.52932e-05,-0.000217427
6.6,-8.34353e-05,-0.00020859
6.65,-7.26467e-05,-0.000199426
6.7,-6.29006e-05,-0.000189981
6.75,-5.4158e-05,-0.000180305
6.8,-4.63703e-05,-0.000170453
6.85,-3.94809e-05,-0.000160486
6.9,-3.34277e-05,-0.000150465
6.95,-2.81448e-05,-0.000140452
7,-2.35648e-05,-0.00013051
7.05,-1.96199e-05,-0.000120696
7.1,-1.6244e-05,-0.000111065
7.15,-1.3373e-05,-0.000101666
7.2,-1.09466e-05,-9.25392e-05
7.25,-8.9082e-06,-8.37194e-05
7.3,-7.206e-06,-7.52324e-05
7.35,-5.7928e-06,-6.70958e-05
7.4,-4.62626e-06,-5.93188e-05
7.45,-3.66878e-06,-5.1903e-05
7.5,-2.88732e-06,-4.48424e-05
7.55,-2.25311e-06,-3.81244e-05
7.6,-1.74135e-06,-3.17301e-05
7.65,-1.3308e-06,-2.56352e-05
7.7,-1.00344e-06,-1.98105e-05
7.75,-7.44086e-07,-1.42228e-05
7.8,-5.40013e-07,-8.83497e-06
7.85,-3.8065e-07,-3.60661e-06
7.9,-2.57252e-07,1.50567e-06
7.95,-1.6263e-07,6.54817e-06
8,-9.0906e-08,1.157e-05
