Concentrations | pH_int (dimensionless),NHE3 | J_NHE3_NH4 (nmol_per_s_per_cm2),NHE3 | J_NHE3_NH42 (nmol_per_s_per_cm2)
6,-1.37131e-08,-1.37131e-08
6.05,-1.18266e-07,-7.37262e-08
6.1,-2.18853e-07,-1.39942e-07
6.15,-3.1444e-07,-2.12891e-07
6.2,-4.04056e-07,-2.93135e-07
6.25,-4.86827e-07,-3.81259e-07
6.3,-5.61993e-07,-4.77878e-07
6.35,-6.28932e-07,-5.83635e-07
6.4,-6.87168e-07,-6.99201e-07
6.45,-7.36387e-07,-8.25284e-07
6.5,-7.76439e-07,-9.62628e-07
6.55,-8.07333e-07,-1.11203e-06
6.6,-8.29237e-07,-1.27433e-06
6.65,-8.42467e-07,-1.45047e-06
6.7,-8.47469e-07,-1.64145e-06
6.75,-8.44805e-07,-1.84843e-06
6.8,-8.35134e-07,-2.07268e-06
6.85,-8.19186e-07,-2.31568e-06
6.9,-7.97744e-07,-2.57909e-06
6.95,-7.71619e-07,-2.86487e-06
7,-7.41627e-07,-3.17526e-06
7.05,-7.08572e-07,-3.51288e-06
7.1,-6.73223e-07,-3.88073e-06
7.15,-6.36301e-07,-4.28231e-06
7.2,-5.9847e-07,-4.72161e-06
7.25,-5.60321e-07,-5.20324e-06
7.3,-5.22374e-07,-5.73245e-06
7.35,-4.85071e-07,-6.31523e-06
7.4,-4.4878e-07,-6.95839e-06
7.45,-4.13793e-07,-7.66962e-06
7.5,-3.80338e-07,-8.45763e-06
7.55,-3.48579e-07,-9.33224e-06
7.6,-3.18624e-07,-1.03045e-05
7.65,-2.90535e-07,-1.13868e-05
7.7,-2.64334e-07,-1.25931e-05
7.75,-2.40009e-07,-1.39391e-05
7.8,-2.17519e-07,-1.54423e-05
7.85,-1.96807e-07,-1.71225e-05
7.9,-1.77795e-07,-1.90017e-05
7.95,-1.60399e-07,-2.11047e-05
8,-1.44525e-07,-2.34592e-05
