environment | time (second),AE1 | J_Cl (nmol_per_s_per_cm2)
0,2.40993
1,-11.5943
2,-16.3932
3,-17.8928
4,-18.0568
5,-17.6514
6,-17.0074
7,-16.2772
8,-15.533
9,-14.8094
10,-14.122
11,-13.477
12,-12.8757
13,-12.3169
14,-11.7981
15,-11.3166
16,-10.8693
17,-10.4534
18,-10.0661
19,-9.70478
20,-9.36727
21,-9.05142
22,-8.75535
23,-8.47736
24,-8.21594
25,-7.9697
26,-7.7374
27,-7.51795
28,-7.31033
29,-7.11365
30,-6.92707
31,-6.74987
32,-6.58136
33,-6.42093
34,-6.26804
35,-6.12216
36,-5.98283
37,-5.84963
38,-5.72217
39,-5.60009
40,-5.48306
41,-5.37078
42,-5.26296
43,-5.15935
44,-5.05971
45,-4.96382
46,-4.87147
47,-4.78247
48,-4.69664
49,-4.61382
50,-4.53385
51,-4.45659
52,-4.38191
53,-4.30967
54,-4.23977
55,-4.17209
56,-4.10652
57,-4.04297
58,-3.98136
59,-3.92158
60,-3.86356
61,-3.80724
62,-3.75252
63,-3.69935
64,-3.64765
65,-3.59738
66,-3.54847
67,-3.50087
68,-3.45453
69,-3.40939
70,-3.36541
71,-3.32255
72,-3.28077
73,-3.24002
74,-3.20027
75,-3.16147
76,-3.12361
77,-3.08664
78,-3.05053
79,-3.01526
80,-2.98079
81,-2.9471
82,-2.91416
83,-2.88194
84,-2.85043
85,-2.8196
86,-2.78943
87,-2.7599
88,-2.73098
89,-2.70266
90,-2.67492
91,-2.64775
92,-2.62112
93,-2.59502
94,-2.56943
95,-2.54435
96,-2.51974
97,-2.49561
98,-2.47194
99,-2.44871
100,-2.42591
101,-2.40353
102,-2.38156
103,-2.35999
104,-2.3388
105,-2.31799
106,-2.29755
107,-2.27746
108,-2.25773
109,-2.23833
110,-2.21926
111,-2.20051
112,-2.18208
113,-2.16395
114,-2.14612
115,-2.12858
116,-2.11133
117,-2.09435
118,-2.07765
119,-2.0612
120,-2.04502
121,-2.02909
122,-2.0134
123,-1.99796
124,-1.98274
125,-1.96776
126,-1.95301
127,-1.93847
128,-1.92415
129,-1.91004
130,-1.89613
131,-1.88242
132,-1.86891
133,-1.8556
134,-1.84247
135,-1.82952
136,-1.81676
137,-1.80417
138,-1.79176
139,-1.77951
140,-1.76743
141,-1.75552
