environment | time (second),AE1 | Jb_influx (nmol_per_s_per_cm2)
0,2.40993
1,3.10637
2,3.17633
3,3.0584
4,2.88617
5,2.70568
6,2.53336
7,2.37458
8,2.23039
9,2.10017
10,1.98267
11,1.87651
12,1.78039
13,1.6931
14,1.61358
15,1.5409
16,1.47428
17,1.41301
18,1.3565
19,1.30423
20,1.25576
21,1.21071
22,1.16872
23,1.1295
24,1.0928
25,1.05837
26,1.02603
27,0.995582
28,0.966873
29,0.939759
30,0.914111
31,0.889815
32,0.866769
33,0.844877
34,0.824058
35,0.804234
36,0.785336
37,0.767301
38,0.750071
39,0.733595
40,0.717824
41,0.702714
42,0.688224
43,0.674317
44,0.66096
45,0.648119
46,0.635766
47,0.623874
48,0.612417
49,0.601372
50,0.590717
51,0.580432
52,0.570498
53,0.560898
54,0.551615
55,0.542633
56,0.533938
57,0.525517
58,0.517357
59,0.509447
60,0.501773
61,0.494328
62,0.487099
63,0.480079
64,0.473257
65,0.466627
66,0.460179
67,0.453907
68,0.447803
69,0.441861
70,0.436075
71,0.430437
72,0.424944
73,0.419589
74,0.414367
75,0.409273
76,0.404303
77,0.399451
78,0.394715
79,0.39009
80,0.385571
81,0.381156
82,0.376841
83,0.372623
84,0.368497
85,0.364462
86,0.360515
87,0.356651
88,0.35287
89,0.349168
90,0.345543
91,0.341992
92,0.338513
93,0.335105
94,0.331764
95,0.328489
96,0.325278
97,0.32213
98,0.319041
99,0.316011
100,0.313039
101,0.310121
102,0.307257
103,0.304446
104,0.301686
105,0.298975
106,0.296313
107,0.293697
108,0.291127
109,0.288602
110,0.28612
111,0.283681
112,0.281283
113,0.278925
114,0.276606
115,0.274325
116,0.272082
117,0.269875
118,0.267703
119,0.265566
120,0.263463
121,0.261393
122,0.259355
123,0.257349
124,0.255374
125,0.253428
126,0.251512
127,0.249625
128,0.247766
129,0.245934
130,0.244129
131,0.242351
132,0.240598
133,0.238871
134,0.237168
135,0.235489
136,0.233833
137,0.232201
138,0.230592
139,0.229004
140,0.227438
141,0.225894
142,0.22437
143,0.222867
144,0.221384
145,0.21992
146,0.218476
147,0.21705
148,0.215643
149,0.214254
150,0.212883
151,0.211529
152,0.210193
153,0.208873
154,0.207569
155,0.206282
156,0.205011
157,0.203755
158,0.202514
159,0.201289
160,0.200078
161,0.198882
162,0.1977
163,0.196532
164,0.195377
165,0.194236
166,0.193109
167,0.191994
168,0.190892
169,0.189803
170,0.188726
171,0.187661
172,0.186608
173,0.185567
174,0.184538
175,0.183519
176,0.182512
177,0.181516
178,0.180531
179,0.179557
180,0.178593
181,0.177639
182,0.176695
183,0.175761
184,0.174837
185,0.173923
186,0.173018
187,0.172123
188,0.171237
189,0.17036
190,0.169492
191,0.168632
192,0.167782
193,0.16694
194,0.166106
195,0.16528
196,0.164463
197,0.163654
198,0.162853
199,0.162059
200,0.161273
201,0.160495
202,0.159724
203,0.158961
204,0.158205
205,0.157456
206,0.156714
207,0.155979
208,0.155251
209,0.154529
210,0.153815
211,0.153107
212,0.152405
213,0.15171
214,0.151021
215,0.150338
216,0.149662
217,0.148991
218,0.148327
219,0.147668
220,0.147016
221,0.146369
222,0.145727
223,0.145092
224,0.144461
225,0.143837
226,0.143217
227,0.142603
228,0.141994
229,0.141391
230,0.140792
231,0.140199
232,0.13961
233,0.139026
234,0.138448
235,0.137874
236,0.137305
237,0.13674
238,0.13618
239,0.135625
240,0.135074
241,0.134528
242,0.133986
243,0.133448
244,0.132915
245,0.132386
246,0.131861
247,0.13134
248,0.130823
249,0.130311
250,0.129802
251,0.129298
252,0.128797
253,0.1283
254,0.127807
255,0.127318
256,0.126832
257,0.12635
258,0.125872
259,0.125397
260,0.124926
261,0.124459
262,0.123995
263,0.123534
264,0.123077
265,0.122623
266,0.122173
267,0.121726
268,0.121282
269,0.120841
270,0.120404
271,0.119969
272,0.119538
273,0.11911
274,0.118685
275,0.118263
276,0.117844
277,0.117428
278,0.117014
279,0.116604
280,0.116197
281,0.115792
282,0.11539
283,0.114991
284,0.114595
285,0.114202
286,0.113811
287,0.113423
288,0.113037
289,0.112654
290,0.112274
291,0.111896
292,0.111521
293,0.111148
294,0.110778
295,0.11041
296,0.110045
297,0.109682
298,0.109321
299,0.108963
300,0.108607
301,0.108254
302,0.107903
303,0.107554
304,0.107207
305,0.106863
306,0.10652
307,0.10618
308,0.105842
309,0.105506
310,0.105173
311,0.104841
312,0.104512
313,0.104184
314,0.103859
315,0.103536
316,0.103214
317,0.102895
318,0.102578
319,0.102262
320,0.101949
321,0.101637
322,0.101327
323,0.10102
324,0.100714
325,0.10041
326,0.100107
327,0.0998069
328,0.0995083
329,0.0992114
330,0.0989163
331,0.098623
332,0.0983314
333,0.0980415
334,0.0977533
335,0.0974668
336,0.097182
337,0.0968988
338,0.0966173
339,0.0963374
340,0.0960591
341,0.0957825
342,0.0955074
343,0.0952339
344,0.094962
345,0.0946916
346,0.0944227
347,0.0941554
348,0.0938896
349,0.0936252
350,0.0933624
351,0.093101
352,0.0928411
353,0.0925827
354,0.0923256
355,0.09207
356,0.0918158
357,0.091563
358,0.0913116
359,0.0910616
360,0.0908129
361,0.0905656
362,0.0903196
363,0.090075
364,0.0898317
365,0.0895897
366,0.089349
367,0.0891096
368,0.0888714
369,0.0886346
370,0.088399
371,0.0881646
372,0.0879315
373,0.0876996
374,0.087469
375,0.0872395
376,0.0870112
377,0.0867842
378,0.0865583
379,0.0863336
380,0.08611
381,0.0858876
382,0.0856664
383,0.0854463
384,0.0852273
385,0.0850094
386,0.0847927
387,0.084577
388,0.0843625
389,0.084149
390,0.0839366
391,0.0837253
392,0.083515
393,0.0833058
394,0.0830977
395,0.0828906
396,0.0826845
397,0.0824794
398,0.0822753
399,0.0820723
400,0.0818702
401,0.0816692
402,0.0814691
403,0.08127
404,0.0810719
405,0.0808747
406,0.0806785
407,0.0804833
408,0.080289
409,0.0800956
410,0.0799031
411,0.0797116
412,0.079521
413,0.0793313
414,0.0791425
415,0.0789546
416,0.0787676
417,0.0785815
418,0.0783962
419,0.0782119
420,0.0780283
421,0.0778457
422,0.0776639
423,0.0774829
424,0.0773028
425,0.0771236
426,0.0769451
427,0.0767675
428,0.0765907
429,0.0764147
430,0.0762395
431,0.0760651
432,0.0758915
433,0.0757187
434,0.0755467
435,0.0753755
436,0.075205
437,0.0750353
438,0.0748664
439,0.0746983
440,0.0745308
441,0.0743642
442,0.0741983
443,0.0740331
444,0.0738686
445,0.0737049
446,0.0735419
447,0.0733797
448,0.0732181
449,0.0730572
450,0.0728971
451,0.0727377
452,0.0725789
453,0.0724208
454,0.0722635
455,0.0721068
456,0.0719508
457,0.0717954
458,0.0716408
459,0.0714868
460,0.0713334
461,0.0711807
462,0.0710287
463,0.0708773
464,0.0707266
465,0.0705765
466,0.070427
467,0.0702782
468,0.07013
469,0.0699824
470,0.0698354
471,0.0696891
472,0.0695434
473,0.0693982
474,0.0692537
475,0.0691098
476,0.0689665
477,0.0688237
478,0.0686816
479,0.06854
480,0.0683991
481,0.0682587
482,0.0681188
483,0.0679796
484,0.0678409
485,0.0677028
486,0.0675653
487,0.0674283
488,0.0672918
489,0.0671559
490,0.0670206
491,0.0668858
492,0.0667515
493,0.0666178
494,0.0664846
495,0.066352
496,0.0662198
497,0.0660882
498,0.0659572
499,0.0658266
500,0.0656966
501,0.065567
502,0.065438
503,0.0653095
504,0.0651815
505,0.065054
506,0.064927
507,0.0648005
508,0.0646744
509,0.0645489
510,0.0644238
511,0.0642993
512,0.0641752
513,0.0640516
514,0.0639285
515,0.0638058
516,0.0636836
517,0.0635619
518,0.0634406
519,0.0633198
520,0.0631995
521,0.0630796
522,0.0629602
523,0.0628412
524,0.0627227
525,0.0626046
526,0.062487
527,0.0623698
528,0.062253
529,0.0621367
530,0.0620208
531,0.0619054
532,0.0617903
533,0.0616757
534,0.0615616
535,0.0614478
536,0.0613345
537,0.0612216
538,0.0611091
539,0.060997
540,0.0608853
541,0.060774
542,0.0606632
543,0.0605527
544,0.0604427
545,0.060333
546,0.0602237
547,0.0601149
548,0.0600064
549,0.0598983
550,0.0597906
551,0.0596833
552,0.0595764
553,0.0594699
554,0.0593637
555,0.0592579
556,0.0591525
557,0.0590475
558,0.0589428
559,0.0588385
560,0.0587346
561,0.058631
562,0.0585279
563,0.058425
564,0.0583226
565,0.0582205
566,0.0581187
567,0.0580173
568,0.0579163
569,0.0578156
570,0.0577152
571,0.0576152
572,0.0575156
573,0.0574163
574,0.0573173
575,0.0572187
576,0.0571204
577,0.0570225
578,0.0569249
579,0.0568276
580,0.0567307
581,0.056634
582,0.0565378
583,0.0564418
584,0.0563462
585,0.0562508
586,0.0561559
587,0.0560612
588,0.0559668
589,0.0558728
590,0.0557791
591,0.0556857
592,0.0555926
593,0.0554998
594,0.0554073
595,0.0553152
596,0.0552233
597,0.0551318
598,0.0550405
599,0.0549496
600,0.0548589
601,0.0547686
602,0.0546785
603,0.0545888
604,0.0544993
605,0.0544101
606,0.0543213
607,0.0542327
608,0.0541444
609,0.0540564
610,0.0539686
611,0.0538812
612,0.053794
613,0.0537072
614,0.0536206
615,0.0535342
616,0.0534482
617,0.0533624
618,0.0532769
619,0.0531917
620,0.0531068
621,0.0530221
