environment | time (second),AE1 | Jc_influx (nmol_per_s_per_cm2)
0,18.8582
1,24.308
2,24.8555
3,23.9326
4,22.5849
5,21.1725
6,19.8241
7,18.5816
8,17.4533
9,16.4343
10,15.5148
11,14.6841
12,13.932
13,13.2489
14,12.6266
15,12.0579
16,11.5365
17,11.0571
18,10.6149
19,10.2059
20,9.82663
21,9.47404
22,9.14548
23,8.8386
24,8.55138
25,8.28201
26,8.0289
27,7.79065
28,7.56599
29,7.35382
30,7.15312
31,6.963
32,6.78265
33,6.61135
34,6.44843
35,6.29331
36,6.14542
37,6.0043
38,5.86947
39,5.74054
40,5.61713
41,5.49889
42,5.3855
43,5.27668
44,5.17215
45,5.07167
46,4.97501
47,4.88195
48,4.79229
49,4.70587
50,4.62249
51,4.54201
52,4.46427
53,4.38915
54,4.31651
55,4.24622
56,4.17819
57,4.11229
58,4.04844
59,3.98653
60,3.92649
61,3.86822
62,3.81166
63,3.75672
64,3.70334
65,3.65146
66,3.601
67,3.55192
68,3.50416
69,3.45766
70,3.41238
71,3.36827
72,3.32528
73,3.28337
74,3.24251
75,3.20265
76,3.16376
77,3.12579
78,3.08873
79,3.05254
80,3.01718
81,2.98263
82,2.94887
83,2.91585
84,2.88357
85,2.852
86,2.82111
87,2.79088
88,2.76129
89,2.73232
90,2.70395
91,2.67616
92,2.64894
93,2.62227
94,2.59613
95,2.5705
96,2.54537
97,2.52073
98,2.49657
99,2.47286
100,2.4496
101,2.42677
102,2.40436
103,2.38236
104,2.36076
105,2.33955
106,2.31871
107,2.29825
108,2.27814
109,2.25838
110,2.23896
111,2.21987
112,2.2011
113,2.18265
114,2.1645
115,2.14665
116,2.1291
117,2.11183
118,2.09483
119,2.07811
120,2.06166
121,2.04546
122,2.02951
123,2.01381
124,1.99835
125,1.98313
126,1.96814
127,1.95337
128,1.93882
129,1.92449
130,1.91037
131,1.89645
132,1.88273
133,1.86921
134,1.85589
135,1.84275
136,1.8298
137,1.81703
138,1.80443
139,1.79201
140,1.77976
141,1.76767
142,1.75575
143,1.74398
144,1.73238
145,1.72092
146,1.70962
147,1.69847
148,1.68746
149,1.67659
150,1.66586
151,1.65526
152,1.6448
153,1.63448
154,1.62428
155,1.6142
156,1.60425
157,1.59443
158,1.58472
159,1.57513
160,1.56566
161,1.55629
162,1.54704
163,1.5379
164,1.52887
165,1.51994
166,1.51112
167,1.5024
168,1.49377
169,1.48525
170,1.47682
171,1.46849
172,1.46025
173,1.4521
174,1.44405
175,1.43608
176,1.4282
177,1.42041
178,1.4127
179,1.40507
180,1.39753
181,1.39006
182,1.38268
183,1.37537
184,1.36814
185,1.36099
186,1.35391
187,1.3469
188,1.33997
189,1.3331
190,1.32631
191,1.31958
192,1.31293
193,1.30634
194,1.29981
195,1.29336
196,1.28696
197,1.28063
198,1.27436
199,1.26815
200,1.262
201,1.25591
202,1.24988
203,1.2439
204,1.23799
205,1.23213
206,1.22632
207,1.22057
208,1.21487
209,1.20923
210,1.20363
211,1.19809
212,1.1926
213,1.18716
214,1.18177
215,1.17643
216,1.17114
217,1.16589
218,1.16069
219,1.15554
220,1.15043
221,1.14537
222,1.14035
223,1.13537
224,1.13044
225,1.12555
226,1.12071
227,1.1159
228,1.11114
229,1.10641
230,1.10173
231,1.09708
232,1.09248
233,1.08791
234,1.08338
235,1.07889
236,1.07444
237,1.07002
238,1.06564
239,1.06129
240,1.05698
241,1.05271
242,1.04847
243,1.04426
244,1.04009
245,1.03595
246,1.03184
247,1.02776
248,1.02372
249,1.01971
250,1.01573
251,1.01178
252,1.00786
253,1.00398
254,1.00012
255,0.996288
256,0.992489
257,0.988718
258,0.984976
259,0.981262
260,0.977576
261,0.973918
262,0.970287
263,0.966683
264,0.963105
265,0.959554
266,0.956029
267,0.95253
268,0.949056
269,0.945608
270,0.942184
271,0.938785
272,0.935411
273,0.932061
274,0.928735
275,0.925432
276,0.922153
277,0.918897
278,0.915664
279,0.912453
280,0.909265
281,0.906099
282,0.902956
283,0.899833
284,0.896733
285,0.893654
286,0.890595
287,0.887558
288,0.884541
289,0.881545
290,0.878569
291,0.875613
292,0.872677
293,0.86976
294,0.866863
295,0.863985
296,0.861126
297,0.858286
298,0.855465
299,0.852662
300,0.849877
301,0.847111
302,0.844362
303,0.841631
304,0.838918
305,0.836223
306,0.833544
307,0.830883
308,0.828239
309,0.825611
310,0.823
311,0.820405
312,0.817827
313,0.815265
314,0.812719
315,0.810189
316,0.807674
317,0.805175
318,0.802692
319,0.800224
320,0.797771
321,0.795332
322,0.792909
323,0.790501
324,0.788107
325,0.785727
326,0.783362
327,0.781011
328,0.778674
329,0.776351
330,0.774042
331,0.771746
332,0.769465
333,0.767196
334,0.764941
335,0.762699
336,0.76047
337,0.758255
338,0.756052
339,0.753861
340,0.751684
341,0.749519
342,0.747366
343,0.745226
344,0.743098
345,0.740982
346,0.738879
347,0.736787
348,0.734707
349,0.732638
350,0.730581
351,0.728536
352,0.726502
353,0.72448
354,0.722468
355,0.720468
356,0.718479
357,0.716501
358,0.714533
359,0.712577
360,0.710631
361,0.708696
362,0.706771
363,0.704857
364,0.702953
365,0.701059
366,0.699175
367,0.697302
368,0.695439
369,0.693585
370,0.691741
371,0.689908
372,0.688083
373,0.686269
374,0.684464
375,0.682668
376,0.680882
377,0.679105
378,0.677338
379,0.675579
380,0.67383
381,0.67209
382,0.670358
383,0.668636
384,0.666922
385,0.665218
386,0.663521
387,0.661834
388,0.660155
389,0.658485
390,0.656823
391,0.655169
392,0.653524
393,0.651887
394,0.650258
395,0.648637
396,0.647024
397,0.645419
398,0.643823
399,0.642234
400,0.640653
401,0.639079
402,0.637514
403,0.635956
404,0.634405
405,0.632863
406,0.631327
407,0.629799
408,0.628279
409,0.626766
410,0.62526
411,0.623761
412,0.622269
413,0.620785
414,0.619308
415,0.617837
416,0.616374
417,0.614917
418,0.613468
419,0.612025
420,0.610589
421,0.60916
422,0.607737
423,0.606321
424,0.604912
425,0.603509
426,0.602112
427,0.600722
428,0.599339
429,0.597962
430,0.596591
431,0.595226
432,0.593868
433,0.592516
434,0.59117
435,0.58983
436,0.588496
437,0.587168
438,0.585846
439,0.58453
440,0.58322
441,0.581916
442,0.580618
443,0.579325
444,0.578038
445,0.576757
446,0.575482
447,0.574212
448,0.572948
449,0.571689
450,0.570436
451,0.569188
452,0.567946
453,0.566709
454,0.565478
455,0.564251
456,0.563031
457,0.561815
458,0.560605
459,0.5594
460,0.5582
461,0.557005
462,0.555815
463,0.554631
464,0.553451
465,0.552277
466,0.551107
467,0.549942
468,0.548783
469,0.547628
470,0.546478
471,0.545332
472,0.544192
473,0.543056
474,0.541926
475,0.540799
476,0.539678
477,0.538561
478,0.537449
479,0.536341
480,0.535238
481,0.534139
482,0.533045
483,0.531955
484,0.53087
485,0.529789
486,0.528713
487,0.527641
488,0.526573
489,0.52551
490,0.524451
491,0.523396
492,0.522345
493,0.521299
494,0.520257
495,0.519219
496,0.518185
497,0.517155
498,0.516129
499,0.515108
500,0.51409
501,0.513076
502,0.512067
503,0.511061
504,0.51006
505,0.509062
506,0.508068
507,0.507078
508,0.506092
509,0.505109
510,0.504131
511,0.503156
512,0.502185
513,0.501218
514,0.500254
515,0.499294
516,0.498338
517,0.497386
518,0.496437
519,0.495492
520,0.49455
521,0.493612
522,0.492677
523,0.491746
524,0.490819
525,0.489895
526,0.488974
527,0.488057
528,0.487144
529,0.486233
530,0.485327
531,0.484423
532,0.483523
533,0.482626
534,0.481733
535,0.480843
536,0.479956
537,0.479072
538,0.478192
539,0.477315
540,0.476441
541,0.47557
542,0.474703
543,0.473838
544,0.472977
545,0.472119
546,0.471264
547,0.470412
548,0.469563
549,0.468717
550,0.467875
551,0.467035
552,0.466198
