environment | time (second),ion_concentrations | Na_o (M),ion_concentrations | V (volt),phenomonological_constants | alpha (M3),phenomonological_constants | beta (M2),phenomonological_constants | chi (M),phenomonological_constants | epsilon (per_second),phenomonological_constants | gamma (M3_per_second),phenomonological_constants | Imax_gluc (uA),phenomonological_constants | Imax_Na (uA),phenomonological_constants | Khalf_gluc (M),phenomonological_constants | Khalf_Na (M),phenomonological_constants | Khalf_Na_sq (M2),phenomonological_constants | lambda (per_M3_per_second5),phenomonological_constants | phi (M_per_second)
0,0.01,-0.15,3.43813e-08,1.4616e-05,8.25742e-05,-0.292987,9.71249e-08,-2.45739e-07,-1.45818e-08,0.000372014,0.0204051,0.000416369,8.99831e+18,-1.25252e-06
1,0.01,0.05,0.000318231,0.028416,7.8922e-05,-0.00177193,0.00187167,-5.97352e-12,-9.2269e-11,0.01116,2.00804,4.03222,8.33513e+17,-7.575e-09
2,0.01,0.25,5.31488,50.7622,7.88999e-05,-9.38897e-06,31.6012,-1.77807e-17,-4.89045e-13,0.104701,259.543,67362.3,8.81231e+16,-4.01378e-11
3,0.01,0.45,89606.3,90613.5,7.88998e-05,-4.97123e-08,533153,-5.27403e-23,-2.58938e-15,0.988885,33700.1,1.1357e+09,9.32379e+15,-2.1252e-13
4,0.01,0.65,1.51166e+09,1.6175e+08,7.88998e-05,-2.63214e-10,8.99494e+09,-1.56436e-28,-1.37101e-17,9.34566,4.37712e+06,1.91592e+13,9.86501e+14,-1.12524e-15
5,0.01,0.85,2.55033e+13,2.88732e+11,7.88998e-05,-1.39365e-12,1.51756e+14,-4.64012e-34,-7.25913e-20,88.3287,5.68539e+08,3.23237e+17,1.04376e+14,-5.95784e-18
6,0.01,1.05,4.30272e+17,5.15402e+14,7.88998e-05,-7.37899e-15,2.5603e+18,-1.37633e-39,-3.84352e-22,834.828,7.38471e+10,5.45339e+21,1.10435e+13,-3.15452e-20
7,0.01,1.25,7.2592e+21,9.20019e+17,7.88998e-05,-3.90698e-17,4.31954e+22,-4.08241e-45,-2.03504e-24,7890.28,9.59194e+12,9.20053e+25,1.16845e+12,-1.67023e-22
8,0.01,1.45,1.22472e+26,1.64228e+21,7.88998e-05,-2.06864e-19,7.28758e+26,-1.2109e-50,-1.0775e-26,74574,1.24589e+15,1.55224e+30,1.23628e+11,-8.84345e-25
9,0.01,1.65,2.06624e+30,2.93156e+24,7.88998e-05,-1.09529e-21,1.2295e+31,-3.59172e-56,-5.70508e-29,704827,1.61828e+17,2.61882e+34,1.30804e+10,-4.68237e-27
10,0.01,1.85,3.486e+34,5.23299e+27,7.88998e-05,-5.79928e-24,2.07432e+35,-1.06536e-61,-3.02069e-31,6.66159e+06,2.10197e+19,4.41827e+38,1.38397e+09,-2.47919e-29
11,0.01,2.05,5.88131e+38,9.34116e+30,7.88998e-05,-3.07057e-26,3.49963e+39,-3.16002e-67,-1.59938e-33,6.29613e+07,2.73023e+21,7.45415e+42,1.4643e+08,-1.31267e-31
12,0.01,2.25,9.92248e+42,1.66745e+34,7.88998e-05,-1.62578e-28,5.9043e+43,-9.37309e-73,-8.46827e-36,5.95071e+08,3.54627e+23,1.25761e+47,1.5493e+07,-6.95022e-34
13,0.01,2.45,1.67404e+47,2.97648e+37,7.88998e-05,-8.60809e-31,9.96127e+47,-2.7802e-78,-4.48372e-38,5.62424e+09,4.60623e+25,2.12173e+51,1.63923e+06,-3.67996e-36
14,0.01,2.65,2.82431e+51,5.31317e+40,7.88998e-05,-4.55776e-33,1.68059e+52,-8.2465e-84,-2.37401e-40,5.31569e+10,5.98299e+27,3.57962e+55,173438,-1.94844e-38
15,0.01,2.85,4.76496e+55,9.48428e+43,7.88998e-05,-2.41321e-35,2.83535e+56,-2.44604e-89,-1.25698e-42,5.02406e+11,7.77126e+29,6.03925e+59,18350.5,-1.03165e-40
16,0.01,3.05,8.03906e+59,1.69299e+47,7.88998e-05,-1.27773e-37,4.78359e+60,-7.25531e-95,-6.65537e-45,4.74843e+12,1.0094e+32,1.0189e+64,1941.57,-5.46231e-43
17,0.01,3.25,1.35629e+64,3.02208e+50,7.88998e-05,-6.76526e-40,8.07049e+64,-2.15204e-100,-3.52384e-47,4.48792e+13,1.31111e+34,1.719e+68,205.427,-2.89215e-45
18,0.01,3.45,2.28822e+68,5.39458e+53,7.88998e-05,-3.58202e-42,1.36159e+69,-6.38326e-106,-1.86578e-49,4.24171e+14,1.70299e+36,2.90016e+72,21.7352,-1.53132e-47
19,0.01,3.65,3.86051e+72,9.62961e+56,7.88998e-05,-1.89659e-44,2.29717e+73,-1.89337e-111,-9.87881e-52,4.009e+15,2.212e+38,4.89292e+76,2.29968,-8.10791e-50
20,0.01,3.85,6.51314e+76,1.71894e+60,7.88998e-05,-1.00419e-46,3.8756e+77,-5.61603e-117,-5.23057e-54,3.78906e+16,2.87314e+40,8.25495e+80,0.243317,-4.29292e-52
21,0.01,4.05,1.09885e+81,3.06839e+63,7.88998e-05,-5.31694e-49,6.5386e+81,-1.6658e-122,-2.76945e-56,3.58118e+17,3.7319e+42,1.39271e+85,0.0257441,-2.27299e-54
22,0.01,4.25,1.85389e+85,5.47724e+66,7.88998e-05,-2.81518e-51,1.10314e+86,-4.94101e-128,-1.46635e-58,3.38471e+18,4.84734e+44,2.34967e+89,0.00272384,-1.20349e-56
23,0.01,4.45,3.12773e+89,9.77715e+69,7.88998e-05,-1.49056e-53,1.86113e+90,-1.46558e-133,-7.76394e-61,3.19902e+19,6.29617e+46,3.96418e+93,0.000288195,-6.37215e-59
24,0.01,4.65,5.27686e+93,1.74527e+73,7.88998e-05,-7.89213e-56,3.13996e+94,-4.34713e-139,-4.1108e-63,3.02352e+20,8.17805e+48,6.68805e+97,3.04924e-05,-3.37389e-61
