environment | time (second),ion_concentrations | Na_o (M),ion_concentrations | V (volt)
0,0.1,-0.15
1,0.1,-0.1499
2,0.1,-0.1498
3,0.1,-0.1497
4,0.1,-0.1496
5,0.1,-0.1495
6,0.1,-0.1494
7,0.1,-0.1493
8,0.1,-0.1492
9,0.1,-0.1491
10,0.1,-0.149
11,0.1,-0.1489
12,0.1,-0.1488
13,0.1,-0.1487
14,0.1,-0.1486
15,0.1,-0.1485
16,0.1,-0.1484
17,0.1,-0.1483
18,0.1,-0.1482
19,0.1,-0.1481
20,0.1,-0.148
21,0.1,-0.1479
22,0.1,-0.1478
23,0.1,-0.1477
24,0.1,-0.1476
25,0.1,-0.1475
26,0.1,-0.1474
27,0.1,-0.1473
28,0.1,-0.1472
29,0.1,-0.1471
30,0.1,-0.147
31,0.1,-0.1469
32,0.1,-0.1468
33,0.1,-0.1467
34,0.1,-0.1466
35,0.1,-0.1465
36,0.1,-0.1464
37,0.1,-0.1463
38,0.1,-0.1462
39,0.1,-0.1461
40,0.1,-0.146
41,0.1,-0.1459
42,0.1,-0.1458
43,0.1,-0.1457
44,0.1,-0.1456
45,0.1,-0.1455
46,0.1,-0.1454
47,0.1,-0.1453
48,0.1,-0.1452
49,0.1,-0.1451
50,0.1,-0.145
51,0.1,-0.1449
52,0.1,-0.1448
53,0.1,-0.1447
54,0.1,-0.1446
55,0.1,-0.1445
56,0.1,-0.1444
57,0.1,-0.1443
58,0.1,-0.1442
59,0.1,-0.1441
60,0.1,-0.144
61,0.1,-0.1439
62,0.1,-0.1438
63,0.1,-0.1437
64,0.1,-0.1436
65,0.1,-0.1435
66,0.1,-0.1434
67,0.1,-0.1433
68,0.1,-0.1432
69,0.1,-0.1431
70,0.1,-0.143
71,0.1,-0.1429
72,0.1,-0.1428
73,0.1,-0.1427
74,0.1,-0.1426
75,0.1,-0.1425
76,0.1,-0.1424
77,0.1,-0.1423
78,0.1,-0.1422
79,0.1,-0.1421
80,0.1,-0.142
81,0.1,-0.1419
82,0.1,-0.1418
83,0.1,-0.1417
84,0.1,-0.1416
85,0.1,-0.1415
86,0.1,-0.1414
87,0.1,-0.1413
88,0.1,-0.1412
89,0.1,-0.1411
90,0.1,-0.141
91,0.1,-0.1409
92,0.1,-0.1408
