environment | time (second),Concentrations | C_ext_Na (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2)
0,140,-5.56052e-05
1,150,-5.48776e-05
2,160,-5.41515e-05
3,170,-5.34269e-05
4,180,-5.27037e-05
5,190,-5.1982e-05
6,200,-5.12618e-05
7,210,-5.05431e-05
8,220,-4.98258e-05
9,230,-4.911e-05
10,240,-4.83956e-05
11,250,-4.76827e-05
12,260,-4.69712e-05
13,270,-4.62612e-05
14,280,-4.55526e-05
15,290,-4.48454e-05
16,300,-4.41396e-05
17,310,-4.34353e-05
18,320,-4.27324e-05
19,330,-4.20309e-05
20,340,-4.13308e-05
21,350,-4.06322e-05
22,360,-3.99349e-05
23,370,-3.9239e-05
24,380,-3.85445e-05
25,390,-3.78514e-05
26,400,-3.71597e-05
27,410,-3.64693e-05
28,420,-3.57804e-05
29,430,-3.50928e-05
30,440,-3.44066e-05
31,450,-3.37217e-05
32,460,-3.30382e-05
33,470,-3.23561e-05
34,480,-3.16753e-05
35,490,-3.09958e-05
36,500,-3.03177e-05
37,510,-2.9641e-05
38,520,-2.89655e-05
39,530,-2.82914e-05
40,540,-2.76187e-05
41,550,-2.69472e-05
42,560,-2.62771e-05
43,570,-2.56083e-05
44,580,-2.49408e-05
45,590,-2.42746e-05
46,600,-2.36097e-05
47,610,-2.29461e-05
48,620,-2.22838e-05
49,630,-2.16228e-05
50,640,-2.09631e-05
51,650,-2.03047e-05
52,660,-1.96476e-05
53,670,-1.89917e-05
54,680,-1.83371e-05
55,690,-1.76838e-05
56,700,-1.70317e-05
57,710,-1.6381e-05
58,720,-1.57314e-05
59,730,-1.50832e-05
60,740,-1.44361e-05
61,750,-1.37904e-05
62,760,-1.31458e-05
63,770,-1.25025e-05
64,780,-1.18605e-05
65,790,-1.12197e-05
66,800,-1.05801e-05
67,810,-9.94174e-06
68,820,-9.30461e-06
69,830,-8.6687e-06
70,840,-8.034e-06
71,850,-7.40051e-06
72,860,-6.76824e-06
73,870,-6.13717e-06
74,880,-5.5073e-06
75,890,-4.87863e-06
76,900,-4.25116e-06
77,910,-3.62488e-06
78,920,-2.99979e-06
79,930,-2.37589e-06
80,940,-1.75316e-06
81,950,-1.13162e-06
82,960,-5.1125e-07
83,970,1.07947e-07
84,980,7.25975e-07
85,990,1.34284e-06
86,1000,1.95854e-06
87,1010,2.57308e-06
88,1020,3.18647e-06
89,1030,3.7987e-06
90,1040,4.40978e-06
91,1050,5.01972e-06
92,1060,5.62852e-06
93,1070,6.23617e-06
94,1080,6.84269e-06
95,1090,7.44808e-06
96,1100,8.05234e-06
97,1110,8.65547e-06
98,1120,9.25747e-06
99,1130,9.85836e-06
100,1140,1.04581e-05
101,1150,1.10568e-05
102,1160,1.16543e-05
103,1170,1.22508e-05
104,1180,1.28461e-05
105,1190,1.34403e-05
106,1200,1.40334e-05
107,1210,1.46255e-05
108,1220,1.52164e-05
109,1230,1.58063e-05
110,1240,1.6395e-05
111,1250,1.69827e-05
112,1260,1.75693e-05
113,1270,1.81548e-05
114,1280,1.87393e-05
115,1290,1.93227e-05
116,1300,1.9905e-05
117,1310,2.04862e-05
118,1320,2.10664e-05
119,1330,2.16455e-05
120,1340,2.22236e-05
121,1350,2.28006e-05
122,1360,2.33765e-05
123,1370,2.39514e-05
