environment | time (second),Concentrations | C_ext_H (mM),Concentrations | C_ext_Na (mM),Concentrations | C_ext_Na' (mM/second),Concentrations | C_ext_NH4 (mM),Concentrations | C_int_H (mM),Concentrations | C_int_Na (mM),Concentrations | C_int_NH4 (mM),NHE3 | alpha_ext_Na (dimensionless),NHE3 | alpha_int_Na (dimensionless),NHE3 | beta_ext_H (dimensionless),NHE3 | beta_int_H (dimensionless),NHE3 | gamma_ext_NH4 (dimensionless),NHE3 | gamma_int_NH4 (dimensionless),NHE3 | J_NHE3_H (nmol_per_s_per_cm2),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2),NHE3 | J_NHE3_NH4 (nmol_per_s_per_cm2),NHE3 | sum_NHE3 (nmol_per_s_per_cm2),NHE3 | XTxP_NHE3_H (nmol_per_s_per_cm2),NHE3 | XTxP_NHE3_Na (nmol_per_s_per_cm2),NHE3 | XTxP_NHE3_NH4 (nmol_per_s_per_cm2),NHE3_Parameters | K_NHE3_H (mM),NHE3_Parameters | K_NHE3_Na (mM),NHE3_Parameters | K_NHE3_NH4 (mM),NHE3_Parameters | XTxP0_NHE3_H (nmol_per_s_per_cm2),NHE3_Parameters | XTxP0_NHE3_Na (nmol_per_s_per_cm2),NHE3_Parameters | XTxP0_NHE3_NH4 (nmol_per_s_per_cm2),,,,,,NHE3 | C_ext_Na (mM),NHE3 | C_int_Na (mM)
0,0.0495,140,10,0.2,0.001,19.6,0.23,4.66667,0.653333,687.5,13.8889,0.00740741,0.00851852,5.65E-05,-5.56E-05,-8.49E-07,21.1853,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140,19.6
0.001,0.0495,140.01,10,0.2,0.001,19.6,0.23,4.667,0.653333,687.5,13.8889,0.00740741,0.00851852,5.65E-05,-5.56E-05,-8.49E-07,21.1853,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.01,19.6
0.002,0.0495,140.02,10,0.2,0.001,19.6,0.23,4.66733,0.653333,687.5,13.8889,0.00740741,0.00851852,5.65E-05,-5.56E-05,-8.49E-07,21.1854,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.02,19.6
0.003,0.0495,140.03,10,0.2,0.001,19.6,0.23,4.66767,0.653333,687.5,13.8889,0.00740741,0.00851852,5.65E-05,-5.56E-05,-8.49E-07,21.1854,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.03,19.6
0.004,0.0495,140.04,10,0.2,0.001,19.6,0.23,4.668,0.653333,687.5,13.8889,0.00740741,0.00851852,5.65E-05,-5.56E-05,-8.49E-07,21.1854,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.04,19.6
0.005,0.0495,140.05,10,0.2,0.001,19.6,0.23,4.66833,0.653333,687.5,13.8889,0.00740741,0.00851852,5.65E-05,-5.56E-05,-8.49E-07,21.1854,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.05,19.6
0.006,0.0495,140.06,10,0.2,0.001,19.6,0.23,4.66867,0.653333,687.5,13.8889,0.00740741,0.00851852,5.65E-05,-5.56E-05,-8.49E-07,21.1854,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.06,19.6
0.007,0.0495,140.07,10,0.2,0.001,19.6,0.23,4.669,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1855,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.07,19.6
0.008,0.0495,140.08,10,0.2,0.001,19.6,0.23,4.66933,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1855,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.08,19.6
0.009,0.0495,140.09,10,0.2,0.001,19.6,0.23,4.66967,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1855,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.09,19.6
0.01,0.0495,140.1,10,0.2,0.001,19.6,0.23,4.67,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1855,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.1,19.6
0.011,0.0495,140.11,10,0.2,0.001,19.6,0.23,4.67033,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1855,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.11,19.6
0.012,0.0495,140.12,10,0.2,0.001,19.6,0.23,4.67067,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1856,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.12,19.6
0.013,0.0495,140.13,10,0.2,0.001,19.6,0.23,4.671,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1856,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.13,19.6
0.014,0.0495,140.14,10,0.2,0.001,19.6,0.23,4.67133,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1856,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.14,19.6
0.015,0.0495,140.15,10,0.2,0.001,19.6,0.23,4.67167,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1856,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.15,19.6
0.016,0.0495,140.16,10,0.2,0.001,19.6,0.23,4.672,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1857,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.16,19.6
0.017,0.0495,140.17,10,0.2,0.001,19.6,0.23,4.67233,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1857,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.17,19.6
0.018,0.0495,140.18,10,0.2,0.001,19.6,0.23,4.67267,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1857,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.18,19.6
0.019,0.0495,140.19,10,0.2,0.001,19.6,0.23,4.673,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1857,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.19,19.6
0.02,0.0495,140.2,10,0.2,0.001,19.6,0.23,4.67333,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1857,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.2,19.6
0.021,0.0495,140.21,10,0.2,0.001,19.6,0.23,4.67367,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1858,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.21,19.6
0.022,0.0495,140.22,10,0.2,0.001,19.6,0.23,4.674,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1858,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.22,19.6
0.023,0.0495,140.23,10,0.2,0.001,19.6,0.23,4.67433,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1858,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.23,19.6
0.024,0.0495,140.24,10,0.2,0.001,19.6,0.23,4.67467,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1858,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.24,19.6
0.025,0.0495,140.25,10,0.2,0.001,19.6,0.23,4.675,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1859,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.25,19.6
0.026,0.0495,140.26,10,0.2,0.001,19.6,0.23,4.67533,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1859,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.26,19.6
0.027,0.0495,140.27,10,0.2,0.001,19.6,0.23,4.67567,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1859,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.27,19.6
0.028,0.0495,140.28,10,0.2,0.001,19.6,0.23,4.676,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1859,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.28,19.6
0.029,0.0495,140.29,10,0.2,0.001,19.6,0.23,4.67633,0.653333,687.5,13.8889,0.00740741,0.00851852,5.64E-05,-5.56E-05,-8.49E-07,21.1859,0.000959041,0.0031968,0.0031968,7.20E-05,30,27,0.00048,0.0016,0.0016,,,,,,140.29,19.6
