Concentrations | C_ext_NH4 (mM),NHE3 | J_NHE3_Na (nmol_per_s_per_cm2),NHE3 | J_NHE3_Na_Max (nmol_per_s_per_cm2),plot (mM),NHE3 | C_ext_NH4 (mM),,,,,,,,,,,,,,,,,,,
1,-1.27E-06,0.000737724,582.48,1,,,,,,,,,,,,,,,,,,,
1.39,-1.26E-06,0.000737724,587.054,1.39,,,,,,,,,,,,,,,,,,,
1.78,-1.25E-06,0.000737724,591.627,1.78,,,,,,,,,,,,,,,,,,,
2.17,-1.24E-06,0.000737724,596.2,2.17,,,,,,,,,,,,,,,,,,,
2.56,-1.23E-06,0.000737724,600.774,2.56,,,,,,,,,,,,,,,,,,,
2.95,-1.22E-06,0.000737724,605.347,2.95,,,,,,,,,,,,,,,,,,,
3.34,-1.21E-06,0.000737724,609.92,3.34,,,,,,,,,,,,,,,,,,,
3.73,-1.20E-06,0.000737724,614.494,3.73,,,,,,,,,,,,,,,,,,,
4.12,-1.19E-06,0.000737724,619.067,4.12,,,,,,,,,,,,,,,,,,,
4.51,-1.18E-06,0.000737724,623.64,4.51,,,,,,,,,,,,,,,,,,,
4.9,-1.17E-06,0.000737724,628.214,4.9,,,,,,,,,,,,,,,,,,,
5.29,-1.17E-06,0.000737724,632.787,5.29,,,,,,,,,,,,,,,,,,,
5.68,-1.16E-06,0.000737724,637.36,5.68,,,,,,,,,,,,,,,,,,,
6.07,-1.15E-06,0.000737724,641.934,6.07,,,,,,,,,,,,,,,,,,,
6.46,-1.14E-06,0.000737724,646.507,6.46,,,,,,,,,,,,,,,,,,,
6.85,-1.13E-06,0.000737724,651.08,6.85,,,,,,,,,,,,,,,,,,,
7.24,-1.13E-06,0.000737724,655.654,7.24,,,,,,,,,,,,,,,,,,,
7.63,-1.12E-06,0.000737724,660.227,7.63,,,,,,,,,,,,,,,,,,,
8.02,-1.11E-06,0.000737724,664.8,8.02,,,,,,,,,,,,,,,,,,,
8.41,-1.10E-06,0.000737724,669.374,8.41,,,,,,,,,,,,,,,,,,,
8.8,-1.09E-06,0.000737724,673.947,8.8,,,,,,,,,,,,,,,,,,,
9.19,-1.09E-06,0.000737724,678.52,9.19,,,,,,,,,,,,,,,,,,,
9.58,-1.08E-06,0.000737724,683.094,9.58,,,,,,,,,,,,,,,,,,,
9.97,-1.07E-06,0.000737724,687.667,9.97,,,,,,,,,,,,,,,,,,,
10.36,-1.07E-06,0.000737724,692.24,10.36,,,,,,,,,,,,,,,,,,,
10.75,-1.06E-06,0.000737724,696.814,10.75,,,,,,,,,,,,,,,,,,,
11.14,-1.05E-06,0.000737724,701.387,11.14,,,,,,,,,,,,,,,,,,,
11.53,-1.04E-06,0.000737724,705.96,11.53,,,,,,,,,,,,,,,,,,,
11.92,-1.04E-06,0.000737724,710.534,11.92,,,,,,,,,,,,,,,,,,,
12.31,-1.03E-06,0.000737724,715.107,12.31,,,,,,,,,,,,,,,,,,,
12.7,-1.03E-06,0.000737724,719.68,12.7,,,,,,,,,,,,,,,,,,,
13.09,-1.02E-06,0.000737724,724.254,13.09,,,,,,,,,,,,,,,,,,,
13.48,-1.01E-06,0.000737724,728.827,13.48,,,,,,,,,,,,,,,,,,,
